0.9d0
4.5d0 
1.3d0  
1.1d0
-299.89131442d0
240.486d0
 0.434720431798D+02,-0.554668579283D+03, 0.257445901353D+04
-0.213807688288D+04,-0.248886942161D+03, 0.719084654648D+03
-0.785231200932D+03, 0.268844019872D+04,-0.894783391739D+03
-0.357957764652D+04, 0.362675454825D+04, 0.102629622676D+04
 0.795258994983D+03,-0.946936811683D+04, 0.571579383749D+04
 0.934372178824D+03,-0.292732443657D+04, 0.219656326428D+04
-0.676509263255D+04,-0.282505207332D+04, 0.104924792198D+05
-0.658586513846D+04,-0.432459822098D+04, 0.316198143890D+04
-0.337163445639D+04,-0.713571319552D+03,-0.134555448022D+04
-0.150137169111D+04,-0.358000122745D+04, 0.140590867542D+05
-0.459125633418D+04,-0.550769788422D+04, 0.217230838750D+04
-0.632774344127D+03,-0.100999591686D+05, 0.169165667764D+04
 0.167842440492D+04,-0.257911596712D+05, 0.127815645611D+05
-0.537883442310D+03,-0.133764280242D+04,-0.212370345146D+04
 0.161754184625D+05, 0.355956338618D+04, 0.913378256342D+04
 0.610950125310D+04, 0.515181004953D+04,-0.149547604838D+05
 0.447834665993D+04, 0.289335443481D+04,-0.430236737245D+04
 0.115862975164D+05,-0.223649282872D+04,-0.424281221393D+04
 0.607690277921D+04, 0.682307953653D+03,-0.146643434299D+05
-0.995963785829D+04, 0.151656352036D+05,-0.713080950000D+04
 0.992264149235D+04,-0.225192674918D+05,-0.227521700630D+05
 0.356736751019D+03,-0.149009596280D+05, 0.547202199914D+04
-0.562297176466D+04, 0.533482100629D+04, 0.173076951226D+05
-0.470318017955D+04, 0.252423648786D+04, 0.397204506011D+04
 0.149604469867D+05, 0.261468562194D+04, 0.148832634817D+04
-0.525471073088D+04, 0.393212581141D+05,-0.306109210725D+05
 0.721202884138D+04, 0.352945175290D+04,-0.784511969410D+04
 0.201473287242D+03, 0.124609448656D+05,-0.103099257764D+05
 0.123788976352D+04,-0.845440125549D+03,-0.652328346462D+04
-0.397970507273D+04,-0.813327575032D+04,-0.854960333368D+04
-0.146818322655D+05, 0.250112509218D+05,-0.120475653865D+04
 0.894965121433D+03, 0.687552457372D+04,-0.155946821955D+05
-0.556039535294D+03, 0.412239459401D+04,-0.103729683198D+05
 0.120021137587D+04,-0.106685046856D+05, 0.580461159121D+04
 0.323628855252D+05, 0.801279078904D+03,-0.144743305379D+05
 0.245891704416D+05, 0.734963482362D+04, 0.579008306105D+04
-0.209003437783D+05, 0.788390162743D+03, 0.795154017688D+03
-0.218632472140D+05, 0.172512443045D+05, 0.540100143425D+05
 0.338674945681D+04,-0.386001569801D+05, 0.239712386089D+04
-0.613824367400D+04,-0.488209303900D+04, 0.701192258148D+04
 0.167984032510D+05,-0.259650106547D+05, 0.177986468669D+05
 0.150944386869D+05, 0.121802007803D+05,-0.978234467399D+04
 0.184330692467D+05, 0.921531962740D+04, 0.183336479381D+05
 0.587334293511D+02,-0.167218462260D+05,-0.154061569920D+04
-0.198628866071D+05,-0.595045726927D+04,-0.614631655966D+04
-0.643860187595D+04,-0.328961702219D+05,-0.312220303325D+04
-0.117173908650D+05, 0.102108801243D+05,-0.296838514570D+05
 0.316743949442D+05,-0.547675942794D+04,-0.428760549879D+03
-0.281670316262D+03,-0.150670294917D+05,-0.251378269785D+05
-0.109642831245D+05, 0.452857325822D+04, 0.282458960852D+04
 0.177576149909D+04, 0.461479349791D+05, 0.677295737371D+04
-0.544615362371D+04, 0.797407925067D+04, 0.337166459111D+04
 0.531810770795D+04, 0.415106816445D+04, 0.842950842709D+04
 0.131227142369D+05,-0.278620017629D+05,-0.467327134275D+04
-0.274452920819D+04,-0.732936170936D+04, 0.128933968259D+05
 0.500270166783D+04,-0.832810100467D+04, 0.231068303833D+04
 0.736066804875D+04,-0.167133346329D+04, 0.271382328852D+05
-0.299226497133D+04,-0.300405606047D+05,-0.417234719382D+05
-0.925938352157D+04, 0.150738290565D+05, 0.621392381200D+04
-0.250466052381D+05, 0.189034139443D+05, 0.645847033559D+04
-0.122509319704D+04, 0.674497164564D+04, 0.165909951935D+04
 0.314085526715D+05,-0.567978068986D+04, 0.804344254374D+04
 0.718296953579D+04, 0.805081988188D+04, 0.959057200505D+04
 0.173175419540D+05, 0.192224951993D+04,-0.897479623343D+04
 0.489185253916D+04,-0.176425900434D+05, 0.373806080219D+04
-0.499566648122D+04,-0.453676607117D+04,-0.214019574689D+05
-0.760378970714D+04,-0.291704914069D+04, 0.237429310741D+05
-0.111950792650D+05, 0.293253496618D+05, 0.789023058401D+03
-0.424411435768D+04,-0.117087625656D+05, 0.694946236291D+04
-0.149281145977D+05,-0.136623142423D+04,-0.141052998243D+05
-0.102173374749D+05,-0.566906448414D+03, 0.789959020997D+04
-0.391936833293D+04, 0.999203207828D+04, 0.565812874635D+03
-0.882979001006D+04, 0.421173930005D+04,-0.625164802951D+04
 0.142249936194D+04,-0.122348255800D+05, 0.144730122892D+05
 0.716888617746D+02,-0.296205282215D+04,-0.135157525654D+05
 0.282282739575D+04,-0.427724924831D+04, 0.112055827751D+05
 0.570635552195D+04,-0.360280649223D+04, 0.102208442500D+05
 0.102712354122D+05, 0.261880233029D+04, 0.756346425878D+04
 0.164971200139D+05, 0.145688784480D+04, 0.296086198502D+04
-0.312536908014D+04, 0.121650939853D+05,-0.166454887214D+05
 0.812412831947D+02,-0.136497078414D+04, 0.870474131812D+04
-0.368363201039D+05, 0.255189655169D+05, 0.206043389737D+02
 0.488181964434D+03, 0.822653317496D+04, 0.115473149939D+04
 0.180422606051D+05,-0.187109086247D+04, 0.200831958953D+04
-0.144908090443D+05, 0.369931716826D+04,-0.251207665591D+04
-0.378840937076D+04,-0.251019035579D+04,-0.352218080889D+05
-0.157646059642D+04, 0.135390050658D+04,-0.673592136935D+04
 0.513499801117D+04,-0.597893982397D+04,-0.629318425103D+03
-0.327904556063D+04,-0.425819219862D+04, 0.138231691435D+05
 0.442022386425D+04, 0.149938258302D+04, 0.348504332442D+04
-0.561845437718D+04,-0.371238889983D+04, 0.266879264931D+04
-0.241086213543D+04,-0.256487559688D+04, 0.807623594819D+03
-0.146790064277D+05, 0.555226660757D+04, 0.235811102582D+05
-0.139884844872D+05, 0.329907188988D+05,-0.805451894503D+04
-0.103162828961D+05, 0.161264355953D+05, 0.114990797542D+05
-0.462324369583D+04,-0.368515824108D+04,-0.316340302073D+04
 0.515823486141D+03,-0.145836944077D+04,-0.244069295350D+04
 0.486854300243D+04, 0.840847301500D+04, 0.104526133121D+04
 0.884893182738D+03,-0.344498293927D+04,-0.208868965702D+05
-0.420935027569D+04,-0.838893564378D+04, 0.744963159083D+04
-0.542353889751D+04,-0.195893556763D+04,-0.466724683081D+04
 0.275184249484D+04, 0.277522069152D+04,-0.662767970556D+04
-0.319233977664D+03,-0.896417468066D+03, 0.123175057570D+05
-0.139755586021D+05, 0.506568047186D+04,-0.258952868793D+04
 0.264676924023D+04,-0.195443921477D+04,-0.127269946878D+05
 0.828536232661D+04, 0.214896348017D+04,-0.483068390482D+04
 0.565494771451D+04, 0.446561697944D+03, 0.364782524646D+04
 0.376605752474D+03, 0.579822188327D+03,-0.211839304989D+04
-0.472264011837D+04, 0.345025317650D+04,-0.676130963175D+01
 0.269359548788D+04, 0.276503090233D+04, 0.177885809699D+05
-0.586550985360D+03,-0.542475290546D+04, 0.509567352435D+04
 0.113613052156D+04, 0.170984112536D+03, 0.150487958530D+04
-0.753940462606D+03, 0.169631995550D+04,-0.121674596114D+05
 0.285415113429D+04,-0.922400820349D+04, 0.204864026100D+04
-0.871423146423D+03, 0.248567624983D+04, 0.614342185794D+04
-0.187662157284D+04,-0.857978013673D+04,-0.414781715613D+04
 0.357346302603D+04, 0.214164315004D+04,-0.590074931550D+04
 0.120405323962D+04, 0.645612000769D+03, 0.136516824296D+04
-0.169012829652D+04, 0.800622583324D+04, 0.992615757371D+03
 0.290405325075D+04,-0.598813578191D+03,-0.161195626593D+04
 0.545457796504D+03,-0.340800286247D+04,-0.377880997467D+03
 0.198426234996D+04, 0.705249584289D+04, 0.909789266216D+03
-0.119710848734D+04, 0.662721663144D+04,-0.388094987001D+04
-0.120538116588D+04, 0.121038056363D+04,-0.108996864000D+04
-0.554436730351D+04, 0.136234762955D+04,-0.474165011293D+04
-0.106383826047D+04, 0.212555444736D+04,-0.236013258835D+04
-0.301482092993D+04, 0.264793530210D+02,-0.205207581287D+04
-0.173304927521D+04,-0.581724015357D+03, 0.736106916388D+03
-0.862989104295D+03,-0.240480120333D+04, 0.344863969249D+04
 0.673930809805D+03, 0.538758861001D+03, 0.147967846147D+03
-0.189845771577D+04,-0.343381266242D+03, 0.226151971199D+04
-0.348165990383D+04,-0.137886410095D+04,-0.452426797538D+04
-0.546311644413D+02,-0.480113520257D+02,-0.260536444352D+03
-0.133327190832D+04, 0.632765868126D+03,-0.661117799374D+03
 0.172506945261D+04,-0.615072273819D+03,-0.383815665429D+03
 0.169025584445D+04,-0.808965608264D+03, 0.593728899296D+03
 0.119569641767D+04, 0.430656118447D+03, 0.587203407297D+04
-0.773418173876D+03, 0.204092911587D+03, 0.198285065744D+04
-0.145843638158D+04, 0.154180304340D+04,-0.113615015119D+03
 0.341159952346D+03, 0.128014772782D+03,-0.241151083483D+04
-0.888711069985D+03,-0.255786858400D+03,-0.516753605238D+03
 0.952501144399D+03, 0.734163721480D+03,-0.103271529318D+04
 0.212633590214D+03, 0.303411042713D+03, 0.409859079006D+03
-0.144512479307D+03 
