# Bin  Energy [eV]
   1    -11.094
   2     -8.256
   3     -6.682
   4     -5.467
   5     -4.462
   6     -3.604
   7     -2.859
   8     -2.206
   9     -1.629
  10     -1.125
  11     -0.695
  12     -0.338
  13      0.000
  14      0.141
  15      0.881
