# Bin  Energy [eV]
   1    -11.094
   2    -10.390
   3     -9.686
   4     -8.982
   5     -8.278
   6     -7.574
   7     -6.870
   8     -6.167
   9     -5.463
  10     -4.759
  11     -4.055
  12     -3.351
  13     -2.647
  14     -1.943
  15     -1.239
  16     -0.535
  17      0.000
  18      0.873
  19      1.577
  20      2.281
