# Level/Bin Ratio,       Part. Func,      Energy [eV]
 9.7550683950E-001, 9.5459001416E+001, 1.2715828436E-001
 2.3680080943E-002, 2.3172332461E+000, 5.8172065191E-001
 7.7997754963E-004, 7.6325326486E-002, 9.9905483434E-001
 3.1527588653E-005, 3.0851573849E-003, 1.3911805940E+000
 1.4880002008E-006, 1.4560944888E-004, 1.7645117277E+000
 8.0905568641E-008, 7.9170790801E-006, 2.1210706789E+000
 5.0962863505E-009, 4.9870117384E-007, 2.4604962403E+000
 3.7762696905E-010, 3.6952988861E-008, 2.7812395691E+000
 3.3599198607E-011, 3.2878764326E-009, 3.0811676731E+000
 3.6761824257E-012, 3.5973576932E-010, 3.3578841045E+000
 5.0777889776E-013, 4.9689109863E-011, 3.6088172659E+000
 9.1043621573E-014, 8.9091463522E-012, 3.8305970094E+000
 2.1719937636E-014, 2.1254218562E-012, 4.0171127081E+000
 6.8099131702E-015, 6.6638949584E-013, 4.1546562960E+000
 2.6161745715E-015, 2.5600785357E-013, 4.2398321712E+000
 9.6082809200E-016, 9.4022600847E-014, 4.2793890605E+000
 1.7674538517E-016, 1.7295560922E-014, 4.2948784473E+000
