#Idx,EeV,g,rIn,v,J,ECB,Group
3096,-8.103254e-01,5.000000e-01,1.815313e+00,28,0,8.103254e-01,15
3097,-8.100853e-01,1.500000e+00,1.815325e+00,28,1,8.100870e-01,15
3098,-8.096053e-01,2.500000e+00,1.815351e+00,28,2,8.096135e-01,15
3099,-8.088853e-01,3.500000e+00,1.815389e+00,28,3,8.089082e-01,15
3100,-8.084344e-01,6.050000e+01,1.857587e+00,24,60,9.125256e-01,15
3101,-8.079253e-01,4.500000e+00,1.815440e+00,28,4,8.079740e-01,15
3102,-8.070896e-01,3.050000e+01,1.825579e+00,27,30,8.196360e-01,15
3103,-8.067258e-01,5.500000e+00,1.815504e+00,28,5,8.068143e-01,15
3104,-8.066235e-01,5.250000e+01,1.846676e+00,25,52,8.746950e-01,15
3105,-8.052864e-01,6.500000e+00,1.815580e+00,28,6,8.054311e-01,15
3106,-8.039307e-01,1.185000e+02,2.006744e+00,13,118,1.380726e+00,13
3107,-8.036074e-01,7.500000e+00,1.815669e+00,28,7,8.038278e-01,15
3108,-8.035968e-01,8.050000e+01,1.892946e+00,21,80,1.027290e+00,14
3109,-8.034479e-01,7.450000e+01,1.880884e+00,22,74,9.867286e-01,14
3110,-8.029198e-01,1.225000e+02,2.023885e+00,12,122,1.427295e+00,13
3111,-8.016890e-01,8.500000e+00,1.815771e+00,28,8,8.020066e-01,15
3112,-8.013815e-01,9.650000e+01,1.931782e+00,18,96,1.152698e+00,14
3113,-8.011777e-01,9.150000e+01,1.918439e+00,19,91,1.109441e+00,14
3114,-8.008906e-01,1.145000e+02,1.990602e+00,14,114,1.332183e+00,13
3115,-8.005853e-01,1.475000e+02,2.177733e+00,5,147,1.771676e+00,12
3116,-8.005467e-01,4.350000e+01,1.836308e+00,26,43,8.361487e-01,15
3117,-7.995782e-01,3.150000e+01,1.825976e+00,27,31,8.133295e-01,15
3118,-7.995314e-01,9.500000e+00,1.815886e+00,28,9,7.999703e-01,15
3119,-7.977548e-01,1.265000e+02,2.042132e+00,11,126,1.471821e+00,12
3120,-7.971349e-01,1.050000e+01,1.816014e+00,28,10,7.977219e-01,15
3121,-7.954048e-01,1.015000e+02,1.945945e+00,17,101,1.192739e+00,13
3122,-7.949583e-01,8.650000e+01,1.905869e+00,20,86,1.063073e+00,14
3123,-7.947757e-01,1.375000e+02,2.102809e+00,8,137,1.616684e+00,12
3124,-7.947561e-01,6.850000e+01,1.869645e+00,23,68,9.415446e-01,15
3125,-7.944995e-01,1.150000e+01,1.816154e+00,28,11,7.952636e-01,15
3126,-7.939079e-01,1.105000e+02,1.975372e+00,15,110,1.281738e+00,13
3127,-7.935343e-01,5.350000e+01,1.847364e+00,25,53,8.657457e-01,15
3128,-7.932301e-01,6.150000e+01,1.858385e+00,24,61,9.022911e-01,15
3129,-7.918311e-01,3.250000e+01,1.826387e+00,27,32,8.068597e-01,15
3130,-7.916251e-01,1.250000e+01,1.816307e+00,28,12,7.925974e-01,15
3131,-7.897889e-01,4.450000e+01,1.836877e+00,26,44,8.285472e-01,15
3132,-7.885127e-01,1.350000e+01,1.816473e+00,28,13,7.897269e-01,15
3133,-7.883386e-01,1.305000e+02,2.061615e+00,10,130,1.514244e+00,12
3134,-7.881078e-01,1.445000e+02,2.151145e+00,6,144,1.712925e+00,12
3135,-7.851622e-01,1.450000e+01,1.816652e+00,28,14,7.866542e-01,15
3136,-7.844430e-01,7.550000e+01,1.881881e+00,22,75,9.741847e-01,14
3137,-7.838495e-01,3.350000e+01,1.826811e+00,27,33,8.002297e-01,15
3138,-7.830979e-01,1.065000e+02,1.960980e+00,16,106,1.229475e+00,13
3139,-7.829053e-01,8.150000e+01,1.894031e+00,21,81,1.013721e+00,14
3140,-7.815738e-01,1.550000e+01,1.816844e+00,28,15,7.833817e-01,15
3141,-7.802168e-01,5.450000e+01,1.848067e+00,25,54,8.566718e-01,15
3142,-7.798298e-01,1.605000e+02,2.336446e+00,1,160,1.967042e+00,11
3143,-7.787999e-01,4.550000e+01,1.837458e+00,26,45,8.208379e-01,15
3144,-7.786984e-01,1.635000e+02,2.414130e+00,0,163,2.019499e+00,11
3145,-7.783261e-01,1.575000e+02,2.284970e+00,2,157,1.913366e+00,11
3146,-7.778009e-01,6.250000e+01,1.859197e+00,24,62,8.919358e-01,15
3147,-7.777482e-01,1.650000e+01,1.817048e+00,28,16,7.799120e-01,15
3148,-7.774317e-01,6.950000e+01,1.870555e+00,23,69,9.300334e-01,15
3149,-7.773188e-01,9.250000e+01,1.919694e+00,19,92,1.093958e+00,14
3150,-7.760417e-01,9.750000e+01,1.933118e+00,18,97,1.136323e+00,14
3151,-7.756338e-01,3.450000e+01,1.827248e+00,27,34,7.934429e-01,15
3152,-7.745780e-01,1.345000e+02,2.082494e+00,9,134,1.554509e+00,12
3153,-7.742545e-01,1.545000e+02,2.244341e+00,3,154,1.858517e+00,11
3154,-7.736852e-01,1.750000e+01,1.817266e+00,28,17,7.762477e-01,15
3155,-7.733494e-01,1.415000e+02,2.127051e+00,7,141,1.653203e+00,12
3156,-7.725775e-01,8.750000e+01,1.907045e+00,20,87,1.048492e+00,14
3157,-7.717821e-01,1.195000e+02,2.008476e+00,13,119,1.360276e+00,13
3158,-7.700256e-01,1.155000e+02,1.992256e+00,14,115,1.312501e+00,13
3159,-7.694862e-01,1.235000e+02,2.025699e+00,12,123,1.406084e+00,13
3160,-7.693856e-01,1.850000e+01,1.817496e+00,28,18,7.723913e-01,15
3161,-7.685828e-01,1.025000e+02,1.947364e+00,17,102,1.175482e+00,14
3162,-7.676829e-01,1.515000e+02,2.210098e+00,4,151,1.802542e+00,11
3163,-7.675809e-01,4.650000e+01,1.838054e+00,26,46,8.130144e-01,15
3164,-7.671850e-01,3.550000e+01,1.827699e+00,27,35,7.865026e-01,15
3165,-7.666723e-01,5.550000e+01,1.848783e+00,25,55,8.474743e-01,15
3166,-7.652192e-01,7.650000e+01,1.882892e+00,22,76,9.615309e-01,14
3167,-7.648494e-01,1.950000e+01,1.817739e+00,28,19,7.683450e-01,15
3168,-7.643248e-01,1.115000e+02,1.976951e+00,15,111,1.262831e+00,13
3169,-7.630363e-01,1.275000e+02,2.044033e+00,11,127,1.449859e+00,12
3170,-7.621481e-01,6.350000e+01,1.860024e+00,24,63,8.814619e-01,15
3171,-7.619977e-01,8.250000e+01,1.895132e+00,21,82,1.000048e+00,14
3172,-7.600776e-01,2.050000e+01,1.817996e+00,28,20,7.641120e-01,15
3173,-7.598869e-01,7.050000e+01,1.871481e+00,23,70,9.184090e-01,15
3174,-7.586809e-01,1.485000e+02,2.180200e+00,5,148,1.745491e+00,12
3175,-7.585035e-01,3.650000e+01,1.828162e+00,27,36,7.794129e-01,15
3176,-7.563842e-01,1.385000e+02,2.104976e+00,8,138,1.592566e+00,12
3177,-7.561325e-01,4.750000e+01,1.838663e+00,26,47,8.050725e-01,15
3178,-7.550702e-01,2.150000e+01,1.818265e+00,28,21,7.596945e-01,16
3179,-7.547945e-01,1.075000e+02,1.962487e+00,16,107,1.211348e+00,13
3180,-7.532497e-01,9.350000e+01,1.920965e+00,19,93,1.078382e+00,14
3181,-7.529020e-01,5.650000e+01,1.849514e+00,25,56,8.381544e-01,15
3182,-7.523346e-01,1.315000e+02,2.063606e+00,10,131,1.491540e+00,12
3183,-7.504943e-01,9.850000e+01,1.934471e+00,18,98,1.119859e+00,14
3184,-7.499841e-01,8.850000e+01,1.908238e+00,20,88,1.033813e+00,14
3185,-7.498276e-01,2.250000e+01,1.818547e+00,28,22,7.550947e-01,16
3186,-7.495901e-01,3.750000e+01,1.828640e+00,27,37,7.721788e-01,15
3187,-7.473193e-01,1.455000e+02,2.153512e+00,6,145,1.687415e+00,12
3188,-7.462727e-01,6.450000e+01,1.860865e+00,24,64,8.708701e-01,15
3189,-7.457786e-01,7.750000e+01,1.883920e+00,22,77,9.487701e-01,15
3190,-7.444561e-01,4.850000e+01,1.839286e+00,26,48,7.970108e-01,15
3191,-7.443505e-01,2.350000e+01,1.818842e+00,28,23,7.503153e-01,16
3192,-7.421225e-01,7.150000e+01,1.872421e+00,23,71,9.066724e-01,15
3193,-7.415565e-01,1.035000e+02,1.948801e+00,17,103,1.158142e+00,14
3194,-7.408762e-01,8.350000e+01,1.896249e+00,21,83,9.862733e-01,14
3195,-7.404460e-01,3.850000e+01,1.829130e+00,27,38,7.648064e-01,15
3196,-7.394383e-01,1.205000e+02,2.010228e+00,13,120,1.339761e+00,13
3197,-7.389632e-01,1.165000e+02,1.993929e+00,14,116,1.292749e+00,13
3198,-7.389072e-01,5.750000e+01,1.850259e+00,25,57,8.287137e-01,15
