     1    1944.4890    1943.9280
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.207060    0.772740    0.000000
    0.000000    0.000000  100.000000
     2    1852.2060    1865.9270
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.138920    0.787850    0.000000
    0.000000    0.000000  100.000000
     3    1774.4990    1781.4640
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.069720    0.796960    0.000000
    0.000000    0.000000  100.000000
     4    1714.4140    1720.3480
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.000000    0.800000    0.000000
    0.000000    0.000000  100.000000
     5    1670.7760    1676.9880
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.069720    0.796960    0.000000
    0.000000    0.000000  100.000000
     6    1640.9260    1648.9080
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.138920    0.787850    0.000000
    0.000000    0.000000  100.000000
     7    1623.3060    1634.4220
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.207060    0.772740    0.000000
    0.000000    0.000000  100.000000
     8    1615.3480    1623.8890
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.273620    0.751750    0.000000
    0.000000    0.000000  100.000000
     9    1585.7110    1589.2940
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.338090    0.725050    0.000000
    0.000000    0.000000  100.000000
    10    1547.0720    1557.8960
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.400000    0.692820    0.000000
    0.000000    0.000000  100.000000
    11    1522.5910    1532.8190
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.458860    0.655320    0.000000
    0.000000    0.000000  100.000000
    12    1505.4170    1515.3000
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.514230    0.612840    0.000000
    0.000000    0.000000  100.000000
    13    1494.4830    1504.2180
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.565690    0.565690    0.000000
    0.000000    0.000000  100.000000
    14    1488.8890    1498.6220
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.612840    0.514230    0.000000
    0.000000    0.000000  100.000000
    15    1487.8460    1497.6760
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.655320    0.458860    0.000000
    0.000000    0.000000  100.000000
    16    1490.6260    1500.6070
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.692820    0.400000    0.000000
    0.000000    0.000000  100.000000
    17    1496.5210    1506.6380
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.725050    0.338090    0.000000
    0.000000    0.000000  100.000000
    18    1504.9570    1514.8440
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.751750    0.273620    0.000000
    0.000000    0.000000  100.000000
    19    1514.8390    1524.2640
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.772740    0.207060    0.000000
    0.000000    0.000000  100.000000
    20    1526.8750    1533.0860
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.787850    0.138920    0.000000
    0.000000    0.000000  100.000000
    21    1538.5910    1538.1290
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.796960    0.069720    0.000000
    0.000000    0.000000  100.000000
    22    1864.5000    1862.4720
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.450000    0.779420    0.000000
    0.000000    0.000000  100.000000
    23    1727.0490    1728.1720
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.380360    0.815680    0.000000
    0.000000    0.000000  100.000000
    24    1643.7590    1647.5850
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.307820    0.845720    0.000000
    0.000000    0.000000  100.000000
    25    1557.1510    1575.5870
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.232940    0.869330    0.000000
    0.000000    0.000000  100.000000
    26    1472.2440    1483.1640
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.156280    0.886330    0.000000
    0.000000    0.000000  100.000000
    27    1405.0970    1413.8360
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.078440    0.896580    0.000000
    0.000000    0.000000  100.000000
    28    1355.3730    1363.7430
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
    0.000000    0.900000    0.000000
    0.000000    0.000000  100.000000
    29    1320.5570    1328.9700
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.078440    0.896580    0.000000
    0.000000    0.000000  100.000000
    30    1297.8590    1306.0460
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.156280    0.886330    0.000000
    0.000000    0.000000  100.000000
    31    1283.8350    1291.6630
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.232940    0.869330    0.000000
    0.000000    0.000000  100.000000
    32    1270.0000    1274.6130
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.307820    0.845720    0.000000
    0.000000    0.000000  100.000000
    33    1246.5610    1251.3880
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.380360    0.815680    0.000000
    0.000000    0.000000  100.000000
    34    1223.3510    1230.3460
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.450000    0.779420    0.000000
    0.000000    0.000000  100.000000
    35    1205.5430    1213.6490
    0.000000    0.000000    0.000000
    0.800000    0.000000    0.000000
   -0.516220    0.737240    0.000000
    0.000000    0.000000  100.000000
