Id,Group
1,57
2,57
3,57
4,57
5,57
6,57
7,57
8,57
9,57
10,57
11,57
12,57
13,57
14,26
15,26
16,26
17,26
18,26
19,26
20,26
21,26
22,26
23,26
24,26
25,26
26,26
27,26
28,26
29,26
30,26
31,26
32,26
33,26
34,29
35,29
36,29
37,29
38,29
39,60
40,29
41,29
42,29
43,29
44,29
45,26
46,29
47,29
48,29
49,60
50,22
51,29
52,22
53,60
54,22
55,22
56,60
57,22
58,22
59,60
60,22
61,22
62,60
63,22
64,60
65,22
66,22
67,60
68,22
69,22
70,60
71,22
72,60
73,22
74,22
75,60
76,22
77,60
78,136
79,22
80,60
81,20
82,20
83,20
84,20
85,20
86,20
87,136
88,20
89,20
90,20
91,60
92,20
93,136
94,20
95,20
96,20
97,136
98,60
99,31
100,20
101,31
102,136
103,31
104,60
105,31
106,136
107,31
108,60
109,31
110,136
111,31
112,31
113,136
114,60
115,31
116,31
117,136
118,60
119,31
120,136
121,31
122,60
123,31
124,136
125,31
126,60
127,136
128,31
129,31
130,136
131,102
132,31
133,136
134,143
135,60
136,31
137,136
138,149
139,149
140,149
141,149
142,149
143,149
144,143
145,149
146,149
147,102
148,149
149,149
150,136
151,143
152,149
153,149
154,149
155,102
156,143
157,128
158,136
159,149
160,128
161,143
162,128
163,55
164,102
165,128
166,143
167,128
168,128
169,55
170,143
171,102
172,128
173,128
174,143
175,55
176,128
177,102
178,128
179,143
180,55
181,128
182,143
183,128
184,102
185,128
186,55
187,143
188,128
189,102
190,128
191,55
192,143
193,128
194,143
195,102
196,55
197,128
198,83
199,143
200,55
201,102
202,128
203,19
204,19
205,19
206,143
207,19
208,19
209,19
210,19
211,83
212,19
213,19
214,55
215,19
216,143
217,19
218,102
219,83
220,19
221,19
222,65
223,83
224,55
225,143
226,19
227,65
228,102
229,83
230,65
231,62
232,65
233,55
234,83
235,65
236,65
237,102
238,62
239,83
240,65
241,55
242,65
243,83
244,62
245,65
246,102
247,65
248,55
249,83
250,65
251,62
252,83
253,65
254,102
255,55
256,65
257,62
258,83
259,65
260,55
261,65
262,102
263,83
264,62
265,65
266,83
267,65
268,62
269,55
270,102
271,65
272,83
273,62
274,65
275,50
276,50
277,55
278,50
