Id,v,longitude,latitude,rin,eevvib,eevrot,deltaeintdiss,bin
5626,-42,3,-8.862917,1.606205,8.865811,0.001586,-0.886313,35
5627,0,201,-8.859921,2.262848,0,8.867697,-2.95053,22
5628,-17,152,-8.859227,1.832244,4.42672,4.441046,-1.865944,32
5629,-42,4,-8.852343,1.606242,8.865811,0.002644,-0.88528,35
5630,-20,142,-8.852122,1.794653,5.09995,3.768526,-1.703454,32
5631,-27,116,-8.849044,1.7199,6.537208,2.331576,-1.363604,34
5632,-22,135,-8.849011,1.771608,5.530095,3.338693,-1.600555,32
5633,-26,120,-8.848818,1.729619,6.343844,2.524963,-1.408625,34
5634,-42,5,-8.839128,1.606287,8.865811,0.003965,-0.883996,35
5635,-33,89,-8.826044,1.667592,7.605817,1.265267,-1.119124,33
5636,-42,6,-8.823273,1.606342,8.865811,0.005551,-0.882464,35
5637,-32,94,-8.819697,1.675668,7.439177,1.432542,-1.155628,33
5638,-39,51,-8.80819,1.624661,8.497481,0.375389,-0.933469,35
5639,-28,112,-8.80672,1.710624,6.726384,2.146633,-1.316802,34
5640,-42,7,-8.804781,1.606406,8.865811,0.0074,-0.880687,35
5641,-25,124,-8.804704,1.739794,6.146377,2.726842,-1.451787,34
5642,-37,66,-8.801687,1.638027,8.221968,0.651552,-0.986162,35
5643,-38,59,-8.796292,1.631254,8.362588,0.511472,-0.957886,35
5644,-6,185,-8.795959,2.022978,1.679934,7.194159,-2.532445,22
5645,-41,30,-8.785068,1.612337,8.7493,0.125883,-0.890708,35
5646,-42,8,-8.783653,1.606479,8.865811,0.009513,-0.878668,35
5647,-40,42,-8.771427,1.618472,8.626453,0.250094,-0.90808,35
5648,-34,84,-8.766685,1.660007,7.76757,1.10945,-1.079317,35
5649,-42,9,-8.759892,1.606562,8.865811,0.011889,-0.876409,35
5650,-31,99,-8.74519,1.684251,7.267788,1.611382,-1.188695,33
5651,-42,10,-8.733501,1.606653,8.865811,0.014528,-0.873913,35
