id,Bin
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,7
35,7
36,7
37,7
38,7
39,4
40,7
41,7
42,7
43,7
44,7
45,4
46,7
47,7
48,7
49,4
50,7
51,7
52,7
53,4
54,7
55,7
56,4
57,7
58,7
59,4
60,7
61,7
62,4
63,7
64,4
65,7
66,7
67,4
68,7
69,7
70,4
71,7
72,4
73,7
74,7
75,4
76,7
77,4
78,7
79,7
80,4
81,5
82,5
83,5
84,5
85,5
86,5
87,7
88,5
89,5
90,5
91,4
92,5
93,7
94,5
95,5
96,5
97,7
98,4
99,5
100,5
101,5
102,7
103,5
104,4
105,5
106,7
107,5
108,4
109,5
110,7
111,5
112,5
113,7
114,4
115,5
116,5
117,7
118,4
119,5
120,7
121,5
122,4
123,5
124,7
125,5
126,4
127,7
128,5
129,5
130,7
131,4
132,5
133,7
134,5
135,4
136,5
137,7
138,9
139,9
140,9
141,9
142,9
143,9
144,5
145,9
146,9
147,4
148,9
149,9
150,7
151,5
152,9
153,9
154,9
155,4
156,5
157,9
158,7
159,9
160,9
161,5
162,9
163,7
164,4
165,9
166,5
167,9
168,9
169,7
170,5
171,4
172,9
173,9
174,5
175,7
176,9
177,4
178,9
179,5
180,7
181,9
182,5
183,9
184,4
185,9
186,7
187,5
188,9
189,4
190,9
191,7
192,5
193,9
194,5
195,4
196,7
197,9
198,9
199,5
200,7
201,4
202,9
203,10
204,10
205,10
206,5
207,10
208,10
209,10
210,10
211,9
212,10
213,10
214,7
215,10
216,5
217,10
218,4
219,9
220,10
221,10
222,10
223,9
224,7
225,5
226,10
227,10
228,4
229,9
230,10
231,5
232,10
233,7
234,9
235,10
236,10
237,4
238,5
239,9
240,10
241,7
242,10
243,9
244,5
245,10
246,4
247,10
248,7
249,9
250,10
251,5
252,9
253,10
254,4
255,7
256,10
257,5
258,9
259,10
260,7
261,10
262,4
263,9
264,5
265,10
266,9
267,10
268,5
269,7
270,4
271,10
272,9
273,5
274,10
275,12
276,12
277,7
278,12
279,12
280,12
281,9
282,12
283,4
284,12
285,10
286,12
287,12
288,12
289,5
290,12
291,9
292,10
293,12
294,7
295,12
296,12
297,4
298,10
299,12
300,5
301,9
302,12
303,10
304,12
305,7
306,12
307,9
308,5
309,10
310,12
311,4
312,12
313,7
314,9
315,10
316,12
317,5
318,12
319,10
320,4
321,12
322,9
323,7
324,12
325,10
326,5
327,12
328,9
329,12
330,10
331,4
332,7
333,5
334,12
335,9
336,10
337,12
338,12
339,4
340,10
341,5
342,9
343,7
344,12
345,10
346,12
347,9
348,5
349,4
350,7
351,12
352,10
353,12
354,9
355,8
356,8
357,8
358,8
359,8
360,5
361,8
362,10
363,8
364,8
365,12
366,7
367,8
368,4
369,8
370,9
371,8
372,12
