#Idx,EeV,g,rIn,v,J,ECB,Group
948,-6.617442e+00,1.254000e+03,1.965852e+00,2,104,6.976040e+00,4
949,-6.615250e+00,3.180000e+02,1.760653e+00,11,26,6.623436e+00,3
950,-6.614093e+00,6.540000e+02,1.794503e+00,9,54,6.675056e+00,3
951,-6.610180e+00,8.700000e+02,1.832781e+00,7,72,6.744639e+00,5
952,-6.603300e+00,1.650000e+02,1.760926e+00,11,27,6.612382e+00,3
953,-6.602085e+00,2.610000e+02,1.777404e+00,10,43,6.634498e+00,3
954,-6.601493e+00,7.740000e+02,1.813252e+00,8,64,6.699018e+00,5
955,-6.593781e+00,5.610000e+02,1.903350e+00,4,93,6.860537e+00,5
956,-6.590912e+00,3.420000e+02,1.761209e+00,11,28,6.600947e+00,3
957,-6.590513e+00,9.660000e+02,1.854532e+00,6,80,6.769104e+00,5
958,-6.589806e+00,5.970000e+02,1.932514e+00,3,99,6.904603e+00,4
959,-6.589617e+00,3.330000e+02,1.795072e+00,9,55,6.653769e+00,3
960,-6.587480e+00,6.930000e+02,2.072219e+00,0,115,7.055162e+00,4
961,-6.584139e+00,1.326000e+03,2.009237e+00,1,110,7.000011e+00,4
962,-6.582565e+00,5.340000e+02,1.777855e+00,10,44,6.617098e+00,3
963,-6.581861e+00,5.250000e+02,1.877951e+00,5,87,6.805300e+00,5
964,-6.578086e+00,1.770000e+02,1.761502e+00,11,29,6.589134e+00,3
965,-6.577518e+00,4.410000e+02,1.833556e+00,7,73,6.717091e+00,5
966,-6.572498e+00,3.930000e+02,1.813934e+00,8,65,6.674258e+00,5
967,-6.569812e+00,6.330000e+02,1.967071e+00,2,105,6.937594e+00,4
968,-6.564823e+00,3.660000e+02,1.761806e+00,11,30,6.576945e+00,3
969,-6.564713e+00,6.780000e+02,1.795652e+00,9,56,6.632158e+00,3
970,-6.562613e+00,2.730000e+02,1.778315e+00,10,45,6.599357e+00,3
971,-6.554193e+00,4.890000e+02,1.855406e+00,6,81,6.738826e+00,5
972,-6.551397e+00,1.134000e+03,1.904397e+00,4,94,6.825826e+00,5
973,-6.551124e+00,1.890000e+02,1.762120e+00,11,31,6.564381e+00,3
974,-6.544599e+00,1.206000e+03,1.933650e+00,3,100,6.867878e+00,4
975,-6.544439e+00,8.940000e+02,1.834343e+00,7,74,6.689241e+00,5
976,-6.543080e+00,7.980000e+02,1.814626e+00,8,66,6.649184e+00,5
977,-6.542303e+00,1.062000e+03,1.878915e+00,5,88,6.772642e+00,5
978,-6.542229e+00,5.580000e+02,1.778786e+00,10,46,6.581276e+00,3
979,-6.539384e+00,3.450000e+02,1.796242e+00,9,57,6.610224e+00,3
980,-6.536988e+00,3.900000e+02,1.762444e+00,11,32,6.551445e+00,3
981,-6.534625e+00,1.398000e+03,2.073663e+00,0,116,7.013127e+00,4
982,-6.533699e+00,6.690000e+02,2.010564e+00,1,111,6.959632e+00,4
983,-6.522417e+00,2.010000e+02,1.762779e+00,11,33,6.538139e+00,3
984,-6.521791e+00,1.278000e+03,1.968304e+00,2,106,6.898900e+00,4
985,-6.521415e+00,2.850000e+02,1.779268e+00,10,47,6.562859e+00,3
986,-6.521095e+00,6.000000e+00,1.747150e+00,12,0,6.521095e+00,3
987,-6.520654e+00,9.000000e+00,1.747160e+00,12,1,6.520656e+00,3
988,-6.519774e+00,3.000000e+01,1.747180e+00,12,2,6.519782e+00,3
989,-6.518454e+00,2.100000e+01,1.747210e+00,12,3,6.518476e+00,3
990,-6.517461e+00,9.900000e+02,1.856291e+00,6,82,6.708257e+00,5
991,-6.516693e+00,5.400000e+01,1.747250e+00,12,4,6.516740e+00,3
992,-6.514493e+00,3.300000e+01,1.747300e+00,12,5,6.514577e+00,3
993,-6.513629e+00,7.020000e+02,1.796844e+00,9,58,6.587967e+00,5
994,-6.513243e+00,4.050000e+02,1.815330e+00,8,67,6.623798e+00,5
995,-6.511852e+00,7.800000e+01,1.747360e+00,12,6,6.511990e+00,3
996,-6.510945e+00,4.530000e+02,1.835141e+00,7,75,6.661089e+00,5
997,-6.508772e+00,4.500000e+01,1.747431e+00,12,7,6.508982e+00,3
998,-6.508612e+00,5.730000e+02,1.905457e+00,4,95,6.790846e+00,5
999,-6.507411e+00,4.140000e+02,1.763123e+00,11,34,6.524465e+00,3
1000,-6.505253e+00,1.020000e+02,1.747511e+00,12,8,6.505556e+00,3
1001,-6.502340e+00,5.370000e+02,1.879891e+00,5,89,6.739706e+00,5
1002,-6.501293e+00,5.700000e+01,1.747601e+00,12,9,6.501713e+00,3
1003,-6.500172e+00,5.820000e+02,1.779760e+00,10,48,6.544109e+00,3
1004,-6.498998e+00,6.090000e+02,1.934799e+00,3,101,6.830896e+00,4
1005,-6.496894e+00,1.260000e+02,1.747702e+00,12,10,6.497458e+00,3
1006,-6.492056e+00,6.900000e+01,1.747812e+00,12,11,6.492793e+00,3
1007,-6.491970e+00,2.130000e+02,1.763478e+00,11,35,6.510426e+00,3
1008,-6.487450e+00,3.570000e+02,1.797457e+00,9,59,6.565390e+00,5
1009,-6.486779e+00,1.500000e+02,1.747933e+00,12,12,6.487719e+00,3
1010,-6.482987e+00,8.220000e+02,1.816044e+00,8,68,6.598102e+00,5
