id,v,Longitude,Latitude,rIn,EeVVib,EeVRot,DeltaEintDiss,OriginalLevel
49,0,-3.500000e+01,-4.889500e+01,2.199769e+00,0.000000e+00,2.235467e-01,-4.908817e+00,49
50,1,-1.300000e+01,-4.886993e+01,2.132158e+00,1.940088e-01,3.204442e-02,-4.888207e+00,50
51,1,-1.400000e+01,-4.882067e+01,2.132350e+00,1.940088e-01,3.697083e-02,-4.883559e+00,51
52,1,-1.500000e+01,-4.876790e+01,2.132557e+00,1.940088e-01,4.224810e-02,-4.878597e+00,52
53,0,-3.600000e+01,-4.876782e+01,2.200287e+00,0.000000e+00,2.362639e-01,-4.897692e+00,53
54,1,-1.600000e+01,-4.871162e+01,2.132777e+00,1.940088e-01,4.787601e-02,-4.873325e+00,54
55,1,-1.700000e+01,-4.865183e+01,2.133011e+00,1.940088e-01,5.385429e-02,-4.867746e+00,55
56,0,-3.700000e+01,-4.863718e+01,2.200820e+00,0.000000e+00,2.493280e-01,-4.886307e+00,56
57,1,-1.800000e+01,-4.858855e+01,2.133258e+00,1.940088e-01,6.018276e-02,-4.861861e+00,57
58,1,-1.900000e+01,-4.852176e+01,2.133520e+00,1.940088e-01,6.686115e-02,-4.855672e+00,58
59,0,-3.800000e+01,-4.850308e+01,2.201368e+00,0.000000e+00,2.627384e-01,-4.874668e+00,59
60,1,-2.000000e+01,-4.845148e+01,2.133796e+00,1.940088e-01,7.388917e-02,-4.849183e+00,60
61,1,-2.100000e+01,-4.837771e+01,2.134085e+00,1.940088e-01,8.126653e-02,-4.842395e+00,61
62,0,-3.900000e+01,-4.836552e+01,2.201931e+00,0.000000e+00,2.764946e-01,-4.862782e+00,62
63,1,-2.200000e+01,-4.830045e+01,2.134388e+00,1.940088e-01,8.899295e-02,-4.835312e+00,63
64,0,-4.000000e+01,-4.822450e+01,2.202508e+00,0.000000e+00,2.905960e-01,-4.850659e+00,64
65,1,-2.300000e+01,-4.821970e+01,2.134706e+00,1.940088e-01,9.706809e-02,-4.827934e+00,65
66,1,-2.400000e+01,-4.813546e+01,2.135037e+00,1.940088e-01,1.054917e-01,-4.820265e+00,66
67,0,-4.100000e+01,-4.808004e+01,2.203101e+00,0.000000e+00,3.050421e-01,-4.838314e+00,67
68,1,-2.500000e+01,-4.804774e+01,2.135382e+00,1.940088e-01,1.142633e-01,-4.812307e+00,68
69,1,-2.600000e+01,-4.795655e+01,2.135741e+00,1.940088e-01,1.233826e-01,-4.804062e+00,69
70,0,-4.200000e+01,-4.793214e+01,2.203708e+00,0.000000e+00,3.198322e-01,-4.825781e+00,70
71,1,-2.700000e+01,-4.786188e+01,2.136114e+00,1.940088e-01,1.328493e-01,-4.795532e+00,71
72,0,-4.300000e+01,-4.778081e+01,2.204330e+00,0.000000e+00,3.349658e-01,-4.813683e+00,72
73,1,-2.800000e+01,-4.776375e+01,2.136501e+00,1.940088e-01,1.426629e-01,-4.786719e+00,73
74,1,-2.900000e+01,-4.766215e+01,2.136903e+00,1.940088e-01,1.528231e-01,-4.777626e+00,74
75,0,-4.400000e+01,-4.762604e+01,2.204967e+00,0.000000e+00,3.504423e-01,-4.801362e+00,75
76,1,-3.000000e+01,-4.755708e+01,2.137318e+00,1.940088e-01,1.633293e-01,-4.768255e+00,76
77,0,-4.500000e+01,-4.746785e+01,2.205620e+00,0.000000e+00,3.662610e-01,-4.788823e+00,77
78,1,-3.100000e+01,-4.744856e+01,2.137747e+00,1.940088e-01,1.741814e-01,-4.758608e+00,78
79,1,-3.200000e+01,-4.733659e+01,2.138191e+00,1.940088e-01,1.853786e-01,-4.748688e+00,79
80,0,-4.600000e+01,-4.730625e+01,2.206288e+00,0.000000e+00,3.824213e-01,-4.776059e+00,80
81,2,-0.000000e+00,-4.728231e+01,2.092795e+00,3.848158e-01,0.000000e+00,-4.728231e+00,81
82,2,-1.000000e+00,-4.727882e+01,2.092809e+00,3.848158e-01,3.483900e-04,-4.727884e+00,82
83,2,-2.000000e+00,-4.727185e+01,2.092836e+00,3.848158e-01,1.045140e-03,-4.727194e+00,83
84,2,-3.000000e+00,-4.726140e+01,2.092876e+00,3.848158e-01,2.090190e-03,-4.726163e+00,84
85,2,-4.000000e+00,-4.724747e+01,2.092930e+00,3.848158e-01,3.483550e-03,-4.724796e+00,85
86,2,-5.000000e+00,-4.723005e+01,2.092997e+00,3.848158e-01,5.225160e-03,-4.723094e+00,86
87,1,-3.300000e+01,-4.722117e+01,2.138648e+00,1.940088e-01,1.969207e-01,-4.738497e+00,87
88,2,-6.000000e+00,-4.720916e+01,2.093078e+00,3.848158e-01,7.314910e-03,-4.721060e+00,88
89,2,-7.000000e+00,-4.718478e+01,2.093172e+00,3.848158e-01,9.752730e-03,-4.718698e+00,89
90,2,-8.000000e+00,-4.715692e+01,2.093280e+00,3.848158e-01,1.253855e-02,-4.716010e+00,90
91,0,-4.700000e+01,-4.714124e+01,2.206970e+00,0.000000e+00,3.989225e-01,-4.763064e+00,91
92,2,-9.000000e+00,-4.712558e+01,2.093401e+00,3.848158e-01,1.567221e-02,-4.712997e+00,92
93,1,-3.400000e+01,-4.710231e+01,2.139120e+00,1.940088e-01,2.088071e-01,-4.728040e+00,93
94,2,-1.000000e+01,-4.709077e+01,2.093535e+00,3.848158e-01,1.915361e-02,-4.709664e+00,94
95,2,-1.100000e+01,-4.705248e+01,2.093683e+00,3.848158e-01,2.298258e-02,-4.706012e+00,95
96,2,-1.200000e+01,-4.701072e+01,2.093845e+00,3.848158e-01,2.715898e-02,-4.702044e+00,96
