Id,bin
1,24
2,24
3,24
4,24
5,24
6,24
7,24
8,24
9,24
10,24
11,24
12,24
13,24
14,24
15,24
16,24
17,24
18,24
19,24
20,24
21,24
22,24
23,24
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,24
32,24
33,24
34,11
35,11
36,11
37,11
38,11
39,24
40,11
41,11
42,11
43,11
44,11
45,24
46,11
47,11
48,11
49,24
50,11
51,11
52,11
53,24
54,11
55,11
56,24
57,11
58,11
59,24
60,11
61,11
62,24
63,11
64,24
65,11
66,11
67,24
68,11
69,11
70,24
71,11
72,24
73,11
74,11
75,24
76,11
77,24
78,11
79,11
80,24
81,9
82,9
83,9
84,9
85,9
86,9
87,11
88,9
89,9
90,9
91,24
92,9
93,11
94,9
95,9
96,9
97,11
98,24
99,9
100,9
101,9
102,11
103,9
104,24
105,9
106,11
107,9
108,24
109,9
110,11
111,9
112,9
113,11
114,24
115,9
116,9
117,11
118,24
119,9
120,11
121,9
122,24
123,9
124,11
125,9
126,24
127,11
128,9
129,9
130,11
131,30
132,9
133,11
134,9
135,24
136,9
137,11
138,10
139,10
140,10
141,10
142,10
143,10
144,9
145,10
146,10
147,30
148,10
149,10
150,11
151,9
152,10
153,10
154,10
155,30
156,9
157,10
158,11
159,10
160,10
161,9
162,10
163,11
164,30
165,10
166,9
167,10
168,10
169,11
170,9
171,30
172,10
173,10
174,9
175,11
176,10
177,30
178,10
179,9
180,11
181,10
182,9
183,10
184,30
185,10
186,11
187,9
188,10
189,30
190,10
191,11
192,9
193,10
194,9
195,30
196,11
197,10
198,10
199,9
200,11
201,30
202,10
203,21
204,21
205,21
206,9
207,21
208,21
209,21
210,21
211,10
212,21
213,21
214,30
215,21
216,9
217,21
218,30
219,10
220,21
221,21
222,21
223,10
224,11
225,9
226,21
227,21
228,30
229,10
230,21
231,9
232,21
233,30
234,10
235,21
236,21
237,30
238,9
239,10
240,21
241,30
242,21
243,10
244,9
245,21
246,30
247,21
248,30
249,10
250,21
251,9
252,10
253,21
254,30
255,30
256,21
257,9
258,10
259,21
260,30
261,21
262,30
263,10
264,9
265,21
266,10
267,21
268,9
269,30
270,30
271,21
272,10
273,9
274,21
275,12
276,12
277,30
278,12
279,12
280,12
281,10
282,12
283,30
284,12
285,21
286,12
287,12
288,12
289,9
290,12
291,10
292,21
293,12
294,30
295,12
296,12
297,30
298,21
299,12
300,9
301,10
302,12
303,21
304,12
305,30
306,12
307,10
308,30
309,21
310,12
311,30
312,12
313,30
314,10
315,21
316,12
317,30
318,12
319,21
320,30
321,12
322,10
323,30
324,12
325,21
326,30
327,12
328,10
329,12
330,21
331,30
332,30
333,30
334,12
335,10
336,21
337,12
338,12
339,30
340,21
341,30
342,10
343,30
344,12
345,21
346,12
347,10
348,30
349,30
350,30
351,12
352,21
353,12
354,10
355,15
356,15
357,15
358,15
359,15
360,30
361,15
362,21
363,15
364,15
365,12
366,30
367,15
368,30
369,15
370,10
371,15
372,12
373,21
374,15
375,15
376,30
377,15
378,12
379,15
380,30
381,21
382,10
383,15
384,30
385,12
386,15
387,30
388,15
389,21
390,15
391,12
392,2
393,30
394,15
395,30
396,12
397,15
398,21
399,30
400,15
401,2
402,12
403,15
404,2
405,30
406,15
407,30
408,12
409,30
410,2
411,15
412,21
413,15
414,12
415,30
416,15
417,30
418,2
419,2
420,12
421,30
422,15
423,15
424,12
425,30
426,2
427,2
428,30
429,15
430,12
431,30
432,15
433,2
434,2
435,15
436,30
437,30
438,12
439,15
440,18
441,18
442,18
443,2
444,18
445,18
446,18
447,18
448,12
449,30
450,2
451,18
452,15
453,18
454,18
455,30
456,18
457,30
458,2
459,15
460,18
461,12
462,18
463,2
464,18
465,15
466,18
467,30
468,12
469,18
470,2
471,30
472,18
473,15
474,30
475,18
476,2
477,12
478,18
479,15
480,2
481,18
482,30
483,30
484,18
485,15
486,12
487,30
488,2
489,18
490,2
491,15
492,18
493,12
494,18
495,30
496,15
497,30
498,2
499,18
500,2
501,30
502,12
503,18
504,15
505,18
506,30
507,2
508,2
509,2
510,15
511,18
512,30
513,30
514,18
515,15
516,12
517,2
518,18
519,30
520,2
521,15
522,18
523,30
524,30
525,2
526,2
527,18
528,15
529,2
530,30
531,25
532,18
533,25
534,25
535,25
536,25
537,2
538,25
539,25
540,15
541,25
542,18
543,2
544,25
545,30
546,25
547,30
548,25
549,2
550,25
551,18
552,2
553,30
554,15
555,25
556,25
557,2
558,18
559,25
560,25
561,15
562,2
563,30
564,25
565,2
566,18
567,30
568,25
569,30
570,2
571,25
572,15
573,18
574,2
575,25
576,25
577,2
578,18
579,15
580,30
581,25
582,2
583,30
584,30
585,2
586,25
587,18
588,2
589,25
590,2
591,18
592,25
593,2
594,2
595,30
596,30
597,25
598,15
599,18
600,30
601,25
602,2
603,2
604,18
605,25
606,2
607,2
608,25
609,30
610,30
611,18
612,2
613,25
614,2
615,30
616,2
617,2
618,18
619,25
620,2
621,25
622,30
623,30
624,2
625,18
626,4
627,2
628,4
629,4
630,25
631,4
632,2
633,4
634,4
635,30
636,4
637,2
638,4
639,18
640,4
641,25
642,2
643,4
644,4
645,30
646,4
647,25
648,30
649,2
650,4
651,2
652,18
653,2
654,4
655,4
656,25
657,2
658,30
659,4
660,18
661,4
662,2
663,25
664,2
665,30
666,4
667,30
668,4
669,2
670,18
671,25
672,2
673,4
674,2
675,4
676,25
677,30
678,18
679,2
680,4
681,30
682,2
683,4
684,2
685,25
686,2
687,30
688,4
689,2
690,25
691,4
692,2
693,2
694,2
695,30
696,4
697,18
698,30
699,25
700,2
701,4
702,30
703,4
704,25
705,2
706,2
707,2
708,2
709,4
710,25
711,30
712,2
713,30
714,4
715,2
716,2
717,30
718,2
719,2
720,4
721,25
722,2
723,4
724,2
725,25
726,2
727,30
728,4
729,4
730,4
731,4
732,4
733,4
734,30
735,2
736,4
737,4
738,2
739,4
740,2
741,4
742,25
743,4
744,30
745,4
746,4
747,2
748,4
749,4
750,4
751,2
752,25
753,2
754,2
755,4
756,30
757,2
758,4
759,4
760,4
761,30
762,2
763,25
764,4
765,30
766,4
767,2
768,4
769,2
770,2
771,4
772,4
773,2
774,2
775,30
776,4
777,2
778,2
779,4
780,4
781,30
782,4
783,25
784,2
785,30
786,4
787,4
788,2
789,2
790,2
791,2
792,4
793,2
794,30
795,4
796,4
797,2
798,4
799,2
800,2
801,2
802,4
803,30
804,30
805,4
806,2
807,2
808,4
809,4
810,30
811,2
812,2
813,2
814,2
815,4
816,4
817,4
818,2
819,2
820,2
821,30
822,2
823,30
824,4
825,4
826,2
827,2
828,30
829,4
830,2
831,4
832,2
833,28
834,28
835,28
836,28
837,4
838,28
839,2
840,28
841,2
842,28
843,2
844,28
845,28
846,2
847,2
848,4
849,4
850,30
851,30
852,28
853,28
854,28
855,2
856,30
857,4
858,28
859,4
860,28
861,2
862,2
863,2
864,28
865,4
866,2
867,28
868,2
869,2
870,28
871,4
872,4
873,30
874,28
875,2
876,30
877,30
878,28
879,2
880,4
881,4
882,2
883,28
884,2
885,2
886,28
887,2
888,2
889,4
890,28
891,4
892,28
893,2
894,30
895,4
896,2
897,30
898,30
899,2
900,28
901,2
902,2
903,4
904,28
905,4
906,2
907,28
908,2
909,2
910,2
911,4
912,4
913,28
914,30
915,2
916,2
917,30
918,28
919,4
920,30
921,4
922,2
923,28
924,2
925,2
926,2
927,4
928,28
929,4
930,2
931,2
932,2
933,28
934,4
935,30
936,30
937,2
938,2
939,28
940,30
941,4
942,2
943,6
944,4
945,6
946,6
947,6
948,6
949,2
950,28
951,6
952,6
953,6
954,2
955,6
956,2
957,2
958,28
959,4
960,6
961,4
962,2
963,6
964,6
965,30
966,30
967,2
968,6
969,28
970,6
971,2
972,4
973,4
974,6
975,30
976,28
977,2
978,2
979,6
980,6
981,2
982,2
983,4
984,2
985,28
986,6
987,4
988,6
989,30
990,28
991,30
992,6
993,2
994,4
995,2
996,2
997,6
998,2
999,2
1000,4
1001,30
1002,28
1003,6
1004,2
1005,4
1006,6
1007,28
1008,2
1009,6
1010,2
1011,4
1012,30
1013,1
1014,2
1015,2
1016,6
1017,30
1018,2
1019,28
1020,6
1021,2
1022,1
1023,30
1024,2
1025,28
1026,1
1027,6
1028,2
1029,6
1030,28
1031,2
1032,2
1033,30
1034,2
1035,1
1036,6
1037,4
1038,30
1039,2
1040,2
1041,2
1042,28
1043,6
1044,1
1045,6
1046,30
1047,1
1048,28
1049,2
1050,2
1051,2
1052,6
1053,2
1054,2
1055,30
1056,1
1057,19
1058,19
1059,19
1060,19
1061,1
1062,19
1063,6
1064,2
1065,19
1066,1
1067,19
1068,30
1069,19
1070,19
1071,19
1072,6
1073,2
1074,1
1075,1
1076,2
1077,19
1078,2
1079,19
1080,2
1081,30
1082,19
1083,6
1084,1
1085,19
1086,2
1087,1
1088,19
1089,30
1090,1
1091,2
1092,6
1093,19
1094,2
1095,19
1096,2
1097,30
1098,1
1099,6
1100,2
1101,19
1102,1
1103,2
1104,1
1105,19
1106,6
1107,19
1108,1
1109,30
1110,2
1111,2
1112,19
1113,2
1114,2
1115,1
1116,2
1117,6
1118,1
1119,19
1120,2
1121,1
1122,19
1123,2
1124,30
1125,6
1126,19
1127,2
1128,1
1129,1
1130,1
1131,19
1132,6
1133,2
1134,2
1135,2
1136,2
1137,30
1138,19
1139,2
1140,6
1141,19
1142,1
1143,1
1144,2
1145,2
1146,1
1147,19
1148,30
1149,6
1150,2
1151,1
1152,19
1153,2
1154,1
1155,2
1156,2
1157,1
1158,6
1159,19
1160,2
1161,2
1162,30
1163,2
1164,1
1165,19
1166,6
1167,1
1168,2
1169,19
1170,30
1171,2
1172,1
1173,13
1174,13
1175,13
1176,1
1177,2
1178,13
1179,13
1180,6
1181,13
1182,19
1183,2
1184,13
1185,2
1186,13
1187,1
1188,13
1189,2
1190,13
1191,19
1192,2
1193,13
1194,6
1195,1
1196,13
1197,30
1198,1
1199,2
1200,13
1201,19
1202,2
1203,2
1204,13
1205,1
1206,13
1207,6
1208,30
1209,1
1210,19
1211,13
1212,2
1213,13
1214,2
1215,2
1216,1
1217,13
1218,6
1219,19
1220,2
1221,1
1222,2
1223,13
1224,2
1225,1
1226,2
1227,13
1228,19
1229,30
1230,6
1231,13
1232,1
1233,19
1234,13
1235,2
1236,1
1237,30
1238,1
1239,2
1240,2
1241,2
1242,2
1243,13
1244,6
1245,19
1246,13
1247,2
1248,2
1249,1
1250,1
1251,13
1252,1
1253,6
1254,19
1255,13
1256,30
1257,2
1258,2
1259,2
1260,2
1261,19
1262,13
1263,6
1264,1
1265,30
1266,2
1267,1
1268,1
1269,2
1270,13
1271,19
1272,13
1273,6
1274,2
1275,2
1276,1
1277,2
1278,13
1279,19
1280,1
1281,2
1282,1
1283,2
1284,30
1285,13
1286,6
1287,2
1288,2
1289,19
1290,1
1291,2
1292,13
1293,2
1294,20
1295,20
1296,20
1297,20
1298,1
1299,20
1300,6
1301,2
1302,20
1303,19
1304,13
1305,20
1306,1
1307,2
1308,20
1309,20
1310,1
1311,20
1312,2
1313,13
1314,2
1315,20
1316,19
1317,2
1318,20
1319,6
1320,20
1321,1
1322,30
1323,13
1324,2
1325,2
1326,20
1327,1
1328,20
1329,2
1330,30
1331,1
1332,19
1333,20
1334,13
1335,6
1336,20
1337,2
1338,20
1339,2
1340,1
1341,13
1342,19
1343,2
1344,2
1345,20
1346,2
1347,1
1348,1
1349,6
1350,20
1351,13
1352,2
1353,2
1354,19
1355,20
1356,30
1357,20
1358,1
1359,13
1360,2
1361,1
1362,6
1363,20
1364,19
1365,2
1366,2
1367,2
1368,1
1369,13
1370,2
1371,20
1372,2
1373,2
1374,20
1375,6
1376,1
1377,1
1378,13
1379,1
1380,20
1381,2
1382,20
1383,30
1384,1
1385,13
1386,2
1387,19
1388,2
1389,1
1390,2
1391,2
1392,20
1393,1
1394,1
1395,2
1396,13
1397,2
1398,2
1399,20
1400,1
1401,1
1402,20
1403,1
1404,13
1405,2
1406,1
1407,1
1408,1
1409,20
1410,1
1411,2
1412,2
1413,13
1414,7
1415,1
1416,2
1417,20
1418,2
1419,14
1420,14
1421,14
1422,2
1423,14
1424,14
1425,14
1426,1
1427,2
1428,1
1429,14
1430,1
1431,20
1432,13
1433,14
1434,2
1435,14
1436,1
1437,14
1438,1
1439,14
1440,20
1441,2
1442,14
1443,13
1444,2
1445,1
1446,14
1447,2
1448,20
1449,2
1450,14
1451,1
1452,14
1453,1
1454,13
1455,14
1456,30
1457,1
1458,1
1459,2
1460,20
1461,2
1462,1
1463,1
1464,14
1465,2
1466,14
1467,20
1468,13
1469,1
1470,14
1471,2
1472,2
1473,1
1474,14
1475,2
1476,1
1477,1
1478,20
1479,2
1480,1
1481,14
1482,13
1483,1
1484,14
1485,20
1486,2
1487,1
1488,14
1489,1
1490,1
1491,7
1492,7
1493,13
1494,20
1495,14
1496,2
1497,1
1498,1
1499,2
1500,2
1501,14
1502,2
1503,2
1504,1
1505,20
1506,13
1507,1
1508,1
1509,14
1510,1
1511,14
1512,20
1513,2
1514,13
1515,1
1516,1
1517,1
1518,14
1519,7
1520,1
1521,2
1522,2
1523,20
1524,7
1525,1
1526,14
1527,2
1528,1
1529,13
1530,2
1531,14
1532,2
1533,1
1534,20
1535,1
1536,14
1537,1
1538,1
1539,13
1540,1
1541,2
1542,20
1543,14
1544,2
1545,17
1546,1
1547,17
1548,17
1549,2
1550,17
1551,17
1552,17
1553,1
1554,17
1555,14
1556,17
1557,20
1558,7
1559,13
1560,17
1561,7
1562,1
1563,7
1564,1
1565,2
1566,17
1567,17
1568,1
1569,14
1570,1
1571,2
1572,1
1573,17
1574,20
1575,17
1576,13
1577,17
1578,14
1579,2
1580,1
1581,17
1582,1
1583,1
1584,2
1585,17
1586,20
1587,1
1588,14
1589,1
1590,17
1591,1
1592,13
1593,17
1594,1
1595,2
1596,14
1597,7
1598,7
1599,20
1600,17
1601,7
1602,1
1603,2
1604,17
1605,1
1606,14
1607,13
1608,17
1609,1
1610,1
1611,1
1612,1
1613,20
1614,2
1615,1
1616,17
1617,14
1618,1
1619,17
1620,1
1621,13
1622,1
1623,20
1624,2
1625,17
1626,14
1627,17
1628,1
1629,7
1630,1
1631,7
1632,7
1633,1
1634,14
1635,1
1636,3
1637,13
1638,17
1639,7
1640,1
1641,1
1642,2
1643,1
1644,2
1645,17
1646,14
1647,20
1648,17
1649,3
1650,1
1651,1
1652,1
1653,14
1654,17
1655,1
1656,1
1657,1
1658,1
1659,3
1660,17
1661,7
1662,1
1663,14
1664,7
1665,7
1666,13
1667,1
1668,17
1669,7
1670,1
1671,2
1672,1
1673,3
1674,1
1675,14
1676,1
1677,17
1678,27
1679,27
1680,27
1681,27
1682,27
1683,3
1684,27
1685,2
1686,27
1687,1
1688,27
1689,17
1690,14
1691,27
1692,1
1693,3
1694,1
1695,27
1696,1
1697,27
1698,1
1699,17
1700,27
1701,1
1702,1
1703,7
1704,27
1705,3
1706,7
1707,14
1708,1
1709,7
1710,27
1711,17
1712,3
1713,7
1714,27
1715,7
1716,27
1717,1
1718,14
1719,17
1720,1
1721,27
1722,7
1723,1
1724,3
1725,1
1726,1
1727,27
1728,3
1729,1
1730,17
1731,27
1732,14
1733,1
1734,27
1735,1
1736,1
1737,17
1738,27
1739,3
1740,3
1741,7
1742,7
1743,14
1744,7
1745,27
1746,7
1747,1
1748,1
1749,1
1750,17
1751,1
1752,27
1753,7
1754,1
1755,7
1756,3
1757,1
1758,27
1759,1
1760,14
1761,3
1762,17
1763,27
1764,1
1765,17
1766,1
1767,27
1768,1
1769,14
1770,3
1771,1
1772,1
1773,7
1774,3
1775,27
1776,1
1777,7
1778,7
1779,17
1780,1
1781,1
1782,27
1783,7
1784,14
1785,7
1786,3
1787,17
1788,27
1789,1
1790,1
1791,7
1792,3
1793,1
1794,1
1795,3
1796,27
1797,17
1798,1
1799,1
1800,3
1801,27
1802,1
1803,7
1804,14
1805,7
1806,3
1807,1
1808,1
1809,17
1810,7
1811,27
1812,29
1813,29
1814,29
1815,29
1816,29
1817,1
1818,1
1819,29
1820,7
1821,29
1822,3
1823,7
1824,29
1825,27
1826,29
1827,17
1828,29
1829,3
1830,29
1831,1
1832,1
1833,27
1834,29
1835,3
1836,1
1837,1
1838,7
1839,29
1840,1
1841,17
1842,29
1843,3
1844,1
1845,27
1846,29
1847,3
1848,1
1849,1
1850,29
1851,7
1852,7
1853,27
1854,17
1855,29
1856,3
1857,7
1858,7
1859,29
1860,3
1861,3
1862,1
1863,27
1864,1
1865,1
1866,29
1867,1
1868,7
1869,7
1870,17
1871,1
1872,29
1873,1
1874,27
1875,29
1876,3
1877,3
1878,3
1879,7
1880,1
1881,29
1882,3
1883,27
1884,29
1885,1
1886,1
1887,7
