#Idx,Group
799,11
800,21
801,11
802,10
803,16
804,23
805,18
806,9
807,11
808,19
809,22
810,11
811,10
812,17
813,11
814,21
815,20
816,9
817,23
818,10
819,11
820,11
821,22
822,16
823,19
824,18
825,10
826,9
827,11
828,23
829,21
830,20
831,11
832,17
833,10
834,9
835,11
836,22
837,23
838,11
839,10
840,19
841,18
842,21
843,16
844,9
845,11
846,20
847,10
848,22
849,17
850,11
851,23
852,9
853,11
854,10
855,21
856,19
857,18
858,11
859,22
860,20
861,23
862,16
863,10
864,9
865,11
866,17
867,21
868,10
869,11
870,12
871,12
872,12
873,12
874,23
875,19
876,24
877,12
878,22
879,12
880,12
881,20
882,12
883,11
884,18
885,12
886,10
887,12
888,12
889,16
890,11
891,12
892,24
893,23
894,12
895,21
896,17
897,22
898,12
899,10
900,11
901,12
902,19
903,20
904,12
905,24
906,18
907,12
908,11
909,10
910,23
911,12
912,21
913,22
914,12
915,11
916,16
917,12
918,24
919,10
920,17
921,19
922,12
923,20
924,11
925,23
926,12
927,18
928,22
929,10
930,21
931,12
932,24
933,11
934,12
935,23
936,16
937,11
938,10
939,12
940,20
941,19
942,17
943,24
944,12
945,22
946,11
947,21
948,18
949,12
950,10
951,23
952,12
953,11
954,24
955,20
956,12
957,22
958,19
959,10
960,16
961,17
962,11
963,21
964,12
965,23
966,24
967,18
968,12
969,10
970,11
971,22
972,20
973,12
974,19
975,23
976,24
977,21
978,11
979,10
980,12
981,16
982,17
983,12
984,18
985,11
986,13
987,13
988,13
989,13
990,22
991,13
992,13
993,25
994,24
995,13
996,23
997,13
998,20
999,12
1000,13
1001,21
1002,13
1003,11
1004,19
1005,13
1006,13
1007,12
1008,25
1009,13
1010,24
1011,17
1012,28
1013,13
1014,22
1015,11
1016,23
1017,12
1018,13
1019,18
1020,13
1021,20
1022,21
1023,13
1024,25
1025,12
1026,11
1027,13
1028,19
1029,24
1030,13
1031,12
1032,22
1033,23
1034,13
1035,11
1036,25
1037,17
1038,13
1039,28
1040,12
1041,18
1042,20
1043,24
1044,21
1045,13
1046,11
1047,13
1048,12
1049,23
1050,19
1051,25
1052,22
1053,13
1054,12
1055,24
1056,13
1057,11
1058,17
1059,21
1060,25
1061,13
1062,20
1063,18
1064,28
1065,23
1066,12
1067,13
1068,22
1069,11
1070,19
1071,24
1072,13
1073,12
1074,25
1075,13
1076,11
1077,21
1078,23
1079,12
1080,20
1081,13
1082,17
1083,22
1084,18
1085,24
1086,25
1087,28
1088,13
1089,11
1090,12
1091,19
1092,13
1093,23
1094,21
1095,12
1096,24
1097,25
1098,11
1099,13
1100,20
1101,22
1102,18
1103,17
1104,13
1105,14
1106,14
1107,14
1108,12
1109,14
1110,14
1111,14
1112,14
1113,19
1114,23
1115,28
1116,26
1117,25
1118,14
1119,13
1120,24
1121,14
1122,14
1123,21
1124,12
1125,14
1126,22
1127,14
1128,13
1129,20
1130,14
1131,26
1132,14
1133,25
1134,12
1135,13
1136,14
1137,23
1138,24
1139,18
1140,29
1141,14
1142,19
1143,14
1144,13
1145,26
1146,21
1147,28
1148,22
1149,12
1150,14
1151,25
1152,14
1153,20
1154,13
1155,14
1156,24
1157,23
1158,12
1159,26
1160,14
1161,13
1162,18
1163,14
1164,25
1165,29
1166,19
1167,22
1168,21
1169,14
1170,12
1171,13
1172,26
1173,24
1174,14
1175,28
1176,23
1177,20
1178,14
1179,13
1180,25
1181,12
1182,14
1183,26
1184,22
1185,13
1186,21
1187,18
1188,24
1189,14
1190,19
1191,12
1192,29
1193,23
1194,14
1195,25
1196,13
1197,20
1198,26
1199,14
1200,28
1201,12
1202,13
1203,24
1204,22
1205,14
1206,21
1207,23
1208,25
1209,26
1210,14
1211,18
1212,19
1213,13
1214,12
1215,29
1216,14
1217,20
1218,24
1219,13
1220,14
1221,26
1222,22
1223,25
1224,12
1225,28
1226,23
1227,21
1228,14
1229,14
1230,14
1231,14
1232,14
1233,13
1234,14
1235,14
1236,14
1237,19
1238,30
1239,14
1240,26
1241,14
1242,14
1243,26
1244,24
1245,14
1246,20
1247,25
1248,29
1249,14
1250,13
1251,14
1252,22
1253,14
1254,23
1255,14
1256,14
1257,26
1258,21
1259,14
1260,26
1261,13
1262,14
1263,28
1264,14
1265,24
1266,25
1267,14
1268,19
1269,14
1270,30
1271,26
1272,14
1273,13
1274,20
1275,22
1276,23
1277,14
1278,26
1279,29
1280,14
1281,14
1282,21
1283,25
1284,24
1285,13
1286,14
1287,26
1288,14
1289,14
1290,28
1291,26
1292,14
1293,19
1294,13
1295,23
1296,14
1297,22
1298,20
1299,30
1300,26
1301,14
1302,25
1303,24
1304,14
1305,14
1306,21
1307,29
1308,13
1309,26
1310,14
1311,26
1312,14
1313,14
1314,23
1315,25
1316,22
1317,13
1318,28
1319,19
1320,14
1321,20
1322,24
1323,14
1324,26
1325,30
1326,26
1327,14
1328,21
1329,13
1330,14
1331,14
1332,29
1333,25
1334,23
1335,14
1336,26
1337,22
1338,26
1339,24
1340,14
1341,13
1342,19
1343,20
1344,14
1345,28
1346,30
1347,21
1348,14
1349,25
1350,14
1351,26
1352,13
1353,26
1354,23
1355,15
1356,15
1357,15
1358,24
1359,14
1360,15
1361,15
1362,29
1363,22
1364,14
1365,15
1366,15
1367,15
1368,15
1369,14
1370,27
1371,15
1372,26
1373,20
1374,25
1375,15
1376,30
1377,26
1378,14
1379,15
1380,21
1381,14
1382,15
1383,23
1384,30
1385,28
1386,15
1387,24
1388,27
1389,15
1390,14
1391,14
1392,26
1393,22
1394,15
1395,15
1396,25
1397,26
1398,29
1399,14
1400,15
1401,27
1402,14
1403,20
1404,15
1405,30
1406,21
1407,14
1408,23
1409,26
1410,24
1411,15
1412,15
1413,14
1414,30
1415,26
1416,27
1417,22
1418,25
1419,14
1420,28
1421,15
1422,15
1423,26
1424,14
1425,14
1426,29
1427,15
1428,24
1429,27
1430,20
1431,23
1432,21
1433,26
1434,15
1435,30
1436,14
1437,25
1438,14
1439,15
1440,22
1441,26
1442,30
1443,27
1444,14
1445,15
1446,28
1447,24
1448,14
1449,26
1450,15
1451,23
1452,14
1453,25
1454,26
1455,20
1456,21
1457,15
1458,29
1459,27
1460,30
1461,14
1462,22
1463,14
1464,15
1465,26
1466,15
1467,24
1468,30
1469,26
1470,27
1471,14
1472,14
1473,25
1474,23
1475,15
1476,28
1477,21
1478,20
1479,14
1480,15
1481,26
1482,22
1483,14
1484,27
1485,29
1486,30
1487,26
1488,15
1489,15
1490,15
1491,15
1492,15
1493,15
1494,24
1495,15
1496,14
1497,15
1498,25
1499,15
1500,23
1501,15
1502,15
1503,15
1504,27
1505,30
1506,15
1507,27
1508,15
1509,14
1510,26
1511,26
1512,15
1513,15
1514,21
1515,31
1516,28
1517,15
1518,22
1519,15
1520,27
1521,24
1522,25
1523,15
1524,14
1525,15
1526,30
1527,29
1528,27
1529,15
1530,23
1531,15
1532,26
1533,26
1534,15
1535,27
1536,14
1537,15
1538,30
1539,15
1540,15
1541,21
1542,27
1543,25
1544,24
1545,22
1546,31
1547,15
1548,14
1549,15
1550,26
1551,27
1552,28
1553,15
1554,26
1555,23
1556,30
1557,15
1558,29
1559,15
1560,27
1561,14
1562,15
1563,27
1564,25
1565,15
1566,24
1567,26
1568,15
1569,30
1570,21
1571,22
1572,14
1573,26
1574,15
1575,31
1576,27
1577,15
1578,23
1579,15
1580,27
1581,28
1582,30
1583,15
1584,14
1585,26
1586,25
1587,15
1588,29
1589,15
1590,24
1591,27
1592,26
1593,27
1594,21
1595,22
1596,14
1597,15
1598,15
1599,30
1600,31
1601,23
1602,15
1603,26
1604,15
1605,27
1606,27
1607,25
1608,14
1609,15
1610,26
1611,30
1612,24
1613,28
1614,15
1615,15
1616,29
1617,22
1618,14
1619,21
1620,15
1621,26
1622,27
1623,15
1624,15
1625,15
1626,15
1627,27
1628,15
1629,23
1630,15
1631,15
1632,15
1633,15
1634,31
1635,30
1636,25
1637,15
1638,26
1639,15
1640,15
1641,27
1642,15
1643,24
1644,15
1645,27
1646,15
1647,15
1648,15
1649,26
1650,30
1651,27
1652,15
1653,15
1654,22
1655,28
1656,27
1657,15
1658,31
1659,15
1660,15
1661,23
1662,25
1663,26
1664,29
1665,15
1666,27
1667,15
1668,15
1669,31
1670,27
1671,24
1672,30
1673,26
1674,15
1675,15
1676,27
1677,15
1678,15
1679,27
1680,15
1681,30
1682,26
1683,15
1684,22
1685,25
1686,15
1687,15
1688,23
1689,27
1690,31
1691,27
1692,15
1693,26
1694,28
1695,24
1696,15
1697,29
1698,15
1699,15
1700,27
1701,31
1702,27
1703,15
1704,30
1705,15
1706,26
1707,27
1708,15
1709,25
1710,15
1711,26
1712,22
1713,23
1714,30
1715,27
1716,15
