id,v,Longitude,Latitude,rIn,EeVVib,EeVRot,DeltaEintDiss,Bin
8828,-17,1.980000e+02,1.652953e+01,1.942192e+00,4.426720e+00,6.979922e+00,-3.297597e-01,114
8829,-19,1.940000e+02,1.654335e+01,1.918600e+00,4.879239e+00,6.528786e+00,-2.226639e-01,117
8830,-18,1.960000e+02,1.654426e+01,1.930125e+00,4.654818e+00,6.753297e+00,-2.749514e-01,117
8831,-6,2.210000e+02,1.657526e+01,2.133300e+00,1.679934e+00,9.731280e+00,-1.011483e+00,123
8832,-7,2.190000e+02,1.663628e+01,2.109757e+00,1.947483e+00,9.469834e+00,-9.400946e-01,123
8833,-8,2.170000e+02,1.669762e+01,2.088144e+00,2.211477e+00,9.211974e+00,-8.697910e-01,123
8834,-23,1.870000e+02,1.671989e+01,1.880626e+00,5.739436e+00,5.686242e+00,-2.906652e-02,129
8835,-9,2.150000e+02,1.675833e+01,2.068132e+00,2.471913e+00,8.957609e+00,-8.006502e-01,123
8836,-10,2.130000e+02,1.681740e+01,2.049478e+00,2.728790e+00,8.706639e+00,-7.327581e-01,126
8837,-22,1.890000e+02,1.685830e+01,1.890133e+00,5.530095e+00,5.909425e+00,-6.433915e-02,129
8838,-11,2.110000e+02,1.687372e+01,2.031997e+00,2.982104e+00,8.458958e+00,-6.662093e-01,126
8839,-12,2.090000e+02,1.692613e+01,2.015543e+00,3.231849e+00,8.214453e+00,-6.011070e-01,126
8840,-21,1.910000e+02,1.695315e+01,1.900157e+00,5.316917e+00,6.132088e+00,-1.048873e-01,129
8841,-13,2.070000e+02,1.697333e+01,2.000002e+00,3.478019e+00,7.973003e+00,-5.375652e-01,126
8842,-14,2.050000e+02,1.701393e+01,1.985280e+00,3.720604e+00,7.734478e+00,-4.757095e-01,126
8843,-20,1.930000e+02,1.701718e+01,1.910675e+00,5.099950e+00,6.355456e+00,-1.494480e-01,129
8844,-15,2.030000e+02,1.704640e+01,1.971300e+00,3.959593e+00,7.498736e+00,-4.156803e-01,126
8845,0,2.340000e+02,1.705614e+01,2.391330e+00,0.000000e+00,1.145930e+01,-1.416210e+00,108
8846,-19,1.950000e+02,1.705692e+01,1.921695e+00,4.879239e+00,6.580142e+00,-1.973776e-01,129
8847,-16,2.010000e+02,1.706902e+01,1.957999e+00,4.194971e+00,7.265620e+00,-3.576358e-01,126
8848,-18,1.970000e+02,1.707672e+01,1.933237e+00,4.654818e+00,6.806543e+00,-2.482525e-01,129
8849,-17,1.990000e+02,1.707987e+01,1.945326e+00,4.426720e+00,7.034956e+00,-3.017562e-01,126
8850,-1,2.320000e+02,1.708576e+01,2.315310e+00,2.888725e-01,1.117339e+01,-1.340256e+00,111
8851,-23,1.880000e+02,1.711775e+01,1.883874e+00,5.739436e+00,5.726028e+00,-1.372314e-02,117
8852,-2,2.300000e+02,1.711997e+01,2.265117e+00,5.741937e-01,1.089149e+01,-1.265086e+00,111
8853,-3,2.280000e+02,1.715820e+01,2.225551e+00,8.559607e-01,1.061355e+01,-1.190732e+00,111
8854,-4,2.260000e+02,1.719981e+01,2.192207e+00,1.134173e+00,1.033950e+01,-1.117239e+00,111
8855,-5,2.240000e+02,1.724411e+01,2.163077e+00,1.408831e+00,1.006927e+01,-1.044657e+00,111
8856,-6,2.220000e+02,1.729032e+01,2.137046e+00,1.679934e+00,9.802786e+00,-9.730437e-01,111
8857,-22,1.900000e+02,1.729476e+01,1.893311e+00,5.530095e+00,5.953070e+00,-4.559497e-02,117
8858,-7,2.200000e+02,1.733759e+01,2.113421e+00,1.947483e+00,9.539964e+00,-9.024664e-01,111
8859,-8,2.180000e+02,1.738501e+01,2.091734e+00,2.211477e+00,9.280713e+00,-8.329982e-01,111
8860,-21,1.920000e+02,1.741830e+01,1.903306e+00,5.316917e+00,6.178602e+00,-8.373776e-02,117
8861,-9,2.160000e+02,1.743161e+01,2.071656e+00,2.471913e+00,9.024937e+00,-7.647204e-01,114
8862,-10,2.140000e+02,1.747635e+01,2.052942e+00,2.728790e+00,8.772534e+00,-6.977215e-01,114
8863,-20,1.940000e+02,1.750610e+01,1.913818e+00,5.099950e+00,6.404349e+00,-1.263892e-01,117
8864,-11,2.120000e+02,1.751807e+01,2.035406e+00,2.982104e+00,8.523393e+00,-6.320996e-01,114
8865,-12,2.100000e+02,1.755558e+01,2.018902e+00,3.231849e+00,8.277398e+00,-5.679620e-01,114
8866,-19,1.960000e+02,1.756707e+01,1.924844e+00,4.879239e+00,6.631157e+00,-1.726700e-01,117
8867,-13,2.080000e+02,1.758752e+01,2.003316e+00,3.478019e+00,8.034422e+00,-5.054275e-01,114
8868,-18,1.980000e+02,1.760646e+01,1.936399e+00,4.654818e+00,6.859516e+00,-2.220673e-01,117
8869,-14,2.060000e+02,1.761245e+01,1.988554e+00,3.720604e+00,7.794330e+00,-4.446274e-01,114
8870,-17,2.000000e+02,1.762800e+01,1.948508e+00,4.426720e+00,7.089769e+00,-2.742183e-01,117
8871,-15,2.040000e+02,1.762876e+01,1.974539e+00,3.959593e+00,7.556972e+00,-3.857098e-01,114
8872,-16,2.020000e+02,1.763463e+01,1.961208e+00,4.194971e+00,7.322180e+00,-3.288422e-01,114
8873,-22,1.910000e+02,1.771907e+01,1.896582e+00,5.530095e+00,5.995501e+00,-2.829622e-02,129
8874,0,2.350000e+02,1.785178e+01,2.396081e+00,0.000000e+00,1.153887e+01,-1.373613e+00,123
8875,-1,2.330000e+02,1.786808e+01,2.319765e+00,2.888725e-01,1.125162e+01,-1.298363e+00,123
8876,-21,1.930000e+02,1.787618e+01,1.906527e+00,5.316917e+00,6.224391e+00,-6.354719e-02,129
8877,-2,2.310000e+02,1.788894e+01,2.269381e+00,5.741937e-01,1.096839e+01,-1.223910e+00,123
8878,-3,2.290000e+02,1.791377e+01,2.229666e+00,8.559607e-01,1.068911e+01,-1.150289e+00,123
8879,-4,2.270000e+02,1.794192e+01,2.196199e+00,1.134173e+00,1.041371e+01,-1.077546e+00,123
8880,-5,2.250000e+02,1.797266e+01,2.166964e+00,1.408831e+00,1.014212e+01,-1.005732e+00,123
8881,-20,1.950000e+02,1.798990e+01,1.917023e+00,5.099950e+00,6.452729e+00,-1.040791e-01,129
8882,-6,2.230000e+02,1.800518e+01,2.140840e+00,1.679934e+00,9.874272e+00,-9.349099e-01,123
8883,-7,2.210000e+02,1.803861e+01,2.117132e+00,1.947483e+00,9.610067e+00,-8.651472e-01,123
8884,-8,2.190000e+02,1.807203e+01,2.095372e+00,2.211477e+00,9.349415e+00,-7.965198e-01,126
8885,-19,1.970000e+02,1.807331e+01,1.928049e+00,4.879239e+00,6.681782e+00,-1.485933e-01,129
8886,-9,2.170000e+02,1.810441e+01,2.075226e+00,2.471913e+00,9.092217e+00,-7.291117e-01,126
8887,-22,1.920000e+02,1.812847e+01,1.899962e+00,5.530095e+00,6.036441e+00,-1.272066e-02,117
8888,-18,1.990000e+02,1.813309e+01,1.939614e+00,4.654818e+00,6.912180e+00,-1.964348e-01,129
8889,-10,2.150000e+02,1.813468e+01,2.056452e+00,2.728790e+00,8.838367e+00,-6.630152e-01,126
8890,-11,2.130000e+02,1.816166e+01,2.038861e+00,2.982104e+00,8.587752e+00,-5.983316e-01,126
8891,-17,2.010000e+02,1.817361e+01,1.951742e+00,4.426720e+00,7.144330e+00,-2.471769e-01,129
8892,-12,2.110000e+02,1.818409e+01,2.022308e+00,3.231849e+00,8.340249e+00,-5.351727e-01,126
8893,-16,2.030000e+02,1.819817e+01,1.964465e+00,4.194971e+00,7.378535e+00,-3.005026e-01,126
8894,-13,2.090000e+02,1.820057e+01,2.006677e+00,3.478019e+00,8.095727e+00,-4.736626e-01,126
8895,-15,2.050000e+02,1.820942e+01,1.977826e+00,3.959593e+00,7.615038e+00,-3.561600e-01,126
8896,-14,2.070000e+02,1.820958e+01,1.991875e+00,3.720604e+00,7.854043e+00,-4.139397e-01,126
8897,-21,1.940000e+02,1.832465e+01,1.909831e+00,5.316917e+00,6.269238e+00,-4.453366e-02,117
8898,-20,1.960000e+02,1.846757e+01,1.920296e+00,5.099950e+00,6.500495e+00,-8.262041e-02,117
8899,-19,1.980000e+02,1.857501e+01,1.931315e+00,4.879239e+00,6.731951e+00,-1.252120e-01,117
8900,0,2.360000e+02,1.864746e+01,2.400897e+00,0.000000e+00,1.161844e+01,-1.331332e+00,111
