#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,2
82,2
83,2
84,2
85,2
86,2
87,1
88,2
89,2
90,2
91,1
92,2
93,1
94,2
95,2
96,2
97,1
98,1
99,2
100,2
101,2
102,1
103,2
104,1
105,2
106,1
107,2
108,1
109,2
110,1
111,2
112,2
113,1
114,1
115,2
116,2
117,1
118,1
119,2
120,1
121,2
122,1
123,2
124,1
125,2
126,1
127,1
128,2
129,2
130,1
131,1
132,2
133,1
134,2
135,1
136,2
137,1
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,4
148,2
149,2
150,1
151,2
152,2
153,2
154,2
155,4
156,2
157,2
158,1
159,2
160,2
161,2
162,2
163,1
164,4
165,2
166,2
167,2
168,2
169,1
170,2
171,4
172,2
173,2
174,2
175,1
176,2
177,4
178,2
179,2
180,1
181,2
182,2
183,2
184,4
185,2
186,1
187,2
188,2
189,4
190,2
191,1
192,2
193,2
194,2
195,4
196,1
197,2
198,2
199,2
200,1
201,4
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,4
215,2
216,2
217,2
218,4
219,2
220,2
221,2
222,2
223,2
224,4
225,2
226,2
227,2
228,4
229,2
230,2
231,2
232,2
233,4
234,2
235,2
236,2
237,4
238,2
239,2
240,2
241,4
242,2
243,2
244,2
245,2
246,4
247,2
248,4
249,2
250,2
251,2
252,2
253,2
254,4
255,4
256,2
257,2
258,2
259,2
260,4
261,2
262,4
263,2
264,2
265,2
266,2
267,2
268,2
269,4
270,4
271,2
272,2
273,2
274,2
275,2
276,2
277,4
278,2
279,2
280,2
281,2
282,2
283,4
284,2
285,2
286,2
287,2
288,2
289,4
290,2
291,2
292,2
293,2
294,4
295,2
296,2
297,4
298,2
299,2
300,4
301,2
302,2
303,2
304,2
305,4
306,2
307,2
308,4
309,2
310,2
311,4
312,2
313,4
314,2
315,2
316,2
317,4
318,2
319,2
320,4
321,2
322,2
323,4
324,2
325,2
326,4
327,2
328,2
329,2
330,2
331,4
332,4
333,4
334,2
335,2
336,2
337,2
338,2
339,4
340,2
341,4
342,2
343,4
344,2
345,2
346,2
347,2
348,4
349,4
350,4
351,2
352,2
353,2
354,2
355,3
356,3
357,3
358,3
359,3
360,4
361,3
362,2
363,3
364,3
365,2
366,4
367,3
368,4
369,3
370,5
371,3
372,2
373,2
374,3
375,3
376,4
377,3
378,2
379,3
380,4
381,2
382,5
383,3
384,4
385,2
386,3
387,4
388,3
389,2
390,3
391,2
392,5
393,4
394,3
395,4
396,2
397,3
398,2
399,4
400,3
401,5
402,2
403,3
404,2
405,4
406,3
407,4
408,2
409,4
410,5
411,3
412,2
413,3
414,2
415,4
416,3
417,4
418,5
419,2
420,2
421,4
422,3
423,3
424,2
425,4
426,5
427,2
428,4
429,3
430,2
431,4
432,3
433,2
434,5
435,3
436,4
437,4
438,2
439,3
440,3
441,3
442,3
443,5
444,3
445,3
446,3
447,3
448,2
449,4
450,5
451,3
452,3
453,3
454,3
455,4
456,3
457,4
458,5
459,3
460,3
461,2
462,3
463,5
464,3
465,3
466,3
467,4
468,2
469,3
470,5
471,4
472,3
473,3
474,4
475,3
476,5
477,2
478,3
479,3
480,5
481,3
482,4
483,4
484,3
485,3
486,2
487,4
488,5
489,3
490,5
491,3
492,3
493,2
494,3
495,4
496,3
497,4
498,5
499,3
500,5
501,4
502,2
503,3
504,3
505,3
506,4
507,5
508,5
509,2
510,3
511,3
512,4
513,4
514,3
515,3
516,2
517,5
518,3
519,4
520,5
521,3
522,3
523,4
524,4
525,2
526,5
527,3
528,3
529,5
530,4
531,3
532,3
533,3
534,3
535,3
536,3
537,5
538,3
539,3
540,3
541,3
542,3
543,5
544,3
545,4
546,3
547,4
548,3
549,5
550,3
551,3
552,5
553,4
554,3
555,3
556,3
557,5
558,3
559,3
560,3
561,3
562,5
563,4
564,3
565,5
566,3
567,4
568,3
569,4
570,5
571,3
572,3
573,3
574,5
575,3
576,3
577,5
578,3
579,3
580,4
581,3
582,5
583,4
584,4
585,5
586,3
587,3
588,3
589,3
590,5
591,3
592,3
593,5
594,5
595,4
596,4
597,3
598,3
599,3
600,4
601,3
