R1,R2,R3,R4,R5,R6
2.452865e+00,7.557888e+00,1.002708e+01,7.402976e+00,1.182970e+01,1.700753e+01
2.452865e+00,8.465931e+00,1.095067e+01,8.187597e+00,1.271355e+01,1.889726e+01
2.452865e+00,2.635610e+00,3.373042e+00,5.048505e+00,5.798843e+00,1.511780e+00
2.452865e+00,2.611756e+00,3.436004e+00,5.013031e+00,5.855514e+00,1.700752e+00
2.452865e+00,2.591132e+00,3.500384e+00,4.979097e+00,5.913152e+00,1.889727e+00
2.452865e+00,2.573812e+00,3.566104e+00,4.946735e+00,5.971729e+00,2.078699e+00
2.452865e+00,2.559865e+00,3.633094e+00,4.915977e+00,6.031217e+00,2.267671e+00
2.452865e+00,2.549346e+00,3.701284e+00,4.886852e+00,6.091591e+00,2.456646e+00
2.452865e+00,2.542297e+00,3.770608e+00,4.859390e+00,6.152822e+00,2.645617e+00
2.452865e+00,2.538748e+00,3.841005e+00,4.833619e+00,6.214887e+00,2.834589e+00
2.452865e+00,2.538712e+00,3.912418e+00,4.809567e+00,6.277760e+00,3.023561e+00
2.452865e+00,2.542192e+00,3.984792e+00,4.787259e+00,6.341418e+00,3.212536e+00
2.452865e+00,2.549171e+00,4.058075e+00,4.766720e+00,6.405837e+00,3.401507e+00
2.452865e+00,2.573499e+00,4.207177e+00,4.731038e+00,6.536868e+00,3.779451e+00
2.452865e+00,2.611312e+00,4.359374e+00,4.702686e+00,6.670680e+00,4.157398e+00
2.452865e+00,2.662033e+00,4.514350e+00,4.681794e+00,6.807107e+00,4.535341e+00
2.452865e+00,2.724944e+00,4.671830e+00,4.668465e+00,6.945997e+00,4.913288e+00
2.452865e+00,2.799221e+00,4.831569e+00,4.662764e+00,7.087204e+00,5.291235e+00
2.452865e+00,2.883985e+00,4.993349e+00,4.664716e+00,7.230592e+00,5.669178e+00
2.452865e+00,3.135949e+00,5.405525e+00,4.702932e+00,7.597792e+00,6.614040e+00
2.452865e+00,3.434731e+00,5.826857e+00,4.787688e+00,7.976077e+00,7.558905e+00
2.452865e+00,3.769210e+00,6.255493e+00,4.916576e+00,8.363944e+00,8.503767e+00
2.452865e+00,4.130728e+00,6.690032e+00,5.086244e+00,8.760120e+00,9.448632e+00
2.452865e+00,4.512788e+00,7.129391e+00,5.292769e+00,9.163526e+00,1.039349e+01
2.452865e+00,4.910598e+00,7.572734e+00,5.532026e+00,9.573249e+00,1.133836e+01
2.452865e+00,5.740259e+00,8.468862e+00,6.092807e+00,1.040865e+01,1.322808e+01
2.452865e+00,6.600963e+00,9.374566e+00,6.739942e+00,1.126137e+01,1.511781e+01
2.452865e+00,7.482003e+00,1.028732e+01,7.450962e+00,1.212776e+01,1.700753e+01
2.452865e+00,8.376967e+00,1.120539e+01,8.209289e+00,1.300508e+01,1.889726e+01
2.452865e+00,3.003179e+00,3.744520e+00,5.423481e+00,6.174520e+00,1.511780e+00
2.452865e+00,2.976274e+00,3.806028e+00,5.387162e+00,6.230640e+00,1.700752e+00
2.452865e+00,2.952150e+00,3.868866e+00,5.352264e+00,6.287679e+00,1.889727e+00
2.452865e+00,2.930874e+00,3.932970e+00,5.318816e+00,6.345612e+00,2.078699e+00
2.452865e+00,2.912509e+00,3.998279e+00,5.286845e+00,6.404416e+00,2.267671e+00
2.452865e+00,2.897112e+00,4.064735e+00,5.256378e+00,6.464065e+00,2.456646e+00
2.452865e+00,2.884728e+00,4.132283e+00,5.227442e+00,6.524538e+00,2.645617e+00
2.452865e+00,2.875398e+00,4.200870e+00,5.200062e+00,6.585811e+00,2.834589e+00
2.452865e+00,2.869150e+00,4.270447e+00,5.174262e+00,6.647862e+00,3.023561e+00
2.452865e+00,2.866006e+00,4.340965e+00,5.150068e+00,6.710670e+00,3.212536e+00
2.452865e+00,2.865975e+00,4.412379e+00,5.127500e+00,6.774214e+00,3.401507e+00
2.452865e+00,2.875242e+00,4.557728e+00,5.087331e+00,6.903426e+00,3.779451e+00
2.452865e+00,2.896834e+00,4.706177e+00,5.053914e+00,7.035342e+00,4.157398e+00
2.452865e+00,2.930477e+00,4.857442e+00,5.027382e+00,7.169811e+00,4.535341e+00
2.452865e+00,2.975764e+00,5.011268e+00,5.007846e+00,7.306694e+00,4.913288e+00
2.452865e+00,3.032173e+00,5.167426e+00,4.995387e+00,7.445857e+00,5.291235e+00
2.452865e+00,3.099094e+00,5.325710e+00,4.990058e+00,7.587174e+00,5.669178e+00
2.452865e+00,3.307965e+00,5.729564e+00,5.008006e+00,7.949135e+00,6.614040e+00
2.452865e+00,3.567531e+00,6.143209e+00,5.070104e+00,8.322179e+00,7.558905e+00
2.452865e+00,3.867596e+00,6.564793e+00,5.174762e+00,8.704881e+00,8.503767e+00
2.452865e+00,4.199490e+00,6.992881e+00,5.319471e+00,9.096024e+00,9.448632e+00
2.452865e+00,4.556259e+00,7.426348e+00,5.501068e+00,9.494562e+00,1.039349e+01
2.452865e+00,4.932511e+00,7.864304e+00,5.716039e+00,9.899604e+00,1.133836e+01
2.452865e+00,5.727928e+00,8.750983e+00,6.231772e+00,1.072624e+01,1.322808e+01
2.452865e+00,6.563094e+00,9.648714e+00,6.839765e+00,1.157099e+01,1.511781e+01
2.452865e+00,7.424603e+00,1.055467e+01,7.517666e+00,1.243016e+01,1.700753e+01
2.452865e+00,8.304266e+00,1.146692e+01,8.248260e+00,1.330096e+01,1.889726e+01
2.452865e+00,3.373042e+00,4.117175e+00,5.798843e+00,6.550457e+00,1.511780e+00
2.452865e+00,3.343774e+00,4.177471e+00,5.761790e+00,6.606086e+00,1.700752e+00
2.452865e+00,3.316941e+00,4.239015e+00,5.726058e+00,6.662592e+00,1.889727e+00
2.452865e+00,3.292601e+00,4.301753e+00,5.691669e+00,6.719950e+00,2.078699e+00
2.452865e+00,3.270810e+00,4.365636e+00,5.658649e+00,6.778140e+00,2.267671e+00
2.452865e+00,3.251620e+00,4.430613e+00,5.627023e+00,6.837141e+00,2.456646e+00
2.452865e+00,3.235077e+00,4.496635e+00,5.596813e+00,6.896931e+00,2.645617e+00
2.452865e+00,3.221221e+00,4.563660e+00,5.568042e+00,6.957491e+00,2.834589e+00
2.452865e+00,3.210088e+00,4.631641e+00,5.540734e+00,7.018800e+00,3.023561e+00
2.452865e+00,3.201707e+00,4.700540e+00,5.514910e+00,7.080840e+00,3.212536e+00
2.452865e+00,3.196097e+00,4.770315e+00,5.490590e+00,7.143590e+00,3.401507e+00
2.452865e+00,3.193246e+00,4.912343e+00,5.446544e+00,7.271150e+00,3.779451e+00
2.452865e+00,3.201567e+00,5.057446e+00,5.408745e+00,7.401336e+00,4.157398e+00
2.452865e+00,3.220972e+00,5.205364e+00,5.377325e+00,7.534014e+00,4.535341e+00
2.452865e+00,3.251263e+00,5.355866e+00,5.352397e+00,7.669053e+00,4.913288e+00
2.452865e+00,3.292141e+00,5.508739e+00,5.334052e+00,7.806331e+00,5.291235e+00
2.452865e+00,3.343214e+00,5.663790e+00,5.322356e+00,7.945731e+00,5.669178e+00
2.452865e+00,3.512375e+00,6.059851e+00,5.322440e+00,8.302814e+00,6.614040e+00
2.452865e+00,3.734015e+00,6.466178e+00,5.364294e+00,8.670940e+00,7.558905e+00
2.452865e+00,3.999417e+00,6.880952e+00,5.446953e+00,9.048760e+00,8.503767e+00
2.452865e+00,4.300488e+00,7.302735e+00,5.568604e+00,9.435110e+00,9.448632e+00
2.452865e+00,4.630273e+00,7.730378e+00,5.726759e+00,9.828983e+00,1.039349e+01
2.452865e+00,4.983076e+00,8.162961e+00,5.918494e+00,1.022951e+01,1.133836e+01
2.452865e+00,5.740508e+00,9.040103e+00,6.390098e+00,1.104763e+01,1.322808e+01
2.452865e+00,6.546859e+00,9.929680e+00,6.958711e+00,1.188456e+01,1.511781e+01
2.452865e+00,7.386122e+00,1.082863e+01,7.602596e+00,1.273660e+01,1.700753e+01
2.452865e+00,8.248260e+00,1.173479e+01,8.304266e+00,1.360091e+01,1.889726e+01
2.452865e+00,3.744520e+00,4.490715e+00,6.174520e+00,6.926613e+00,1.511780e+00
2.452865e+00,3.713372e+00,4.549984e+00,6.136826e+00,6.981803e+00,1.700752e+00
2.452865e+00,3.684385e+00,4.610429e+00,6.100363e+00,7.037829e+00,1.889727e+00
2.452865e+00,3.657609e+00,4.672002e+00,6.065153e+00,7.094670e+00,2.078699e+00
2.452865e+00,3.633094e+00,4.734660e+00,6.031217e+00,7.152308e+00,2.267671e+00
2.452865e+00,3.610886e+00,4.798361e+00,5.998579e+00,7.210723e+00,2.456646e+00
2.452865e+00,3.591027e+00,4.863063e+00,5.967258e+00,7.269897e+00,2.645617e+00
2.452865e+00,3.573557e+00,4.928727e+00,5.937275e+00,7.329812e+00,2.834589e+00
2.452865e+00,3.558511e+00,4.995315e+00,5.908651e+00,7.390448e+00,3.023561e+00
2.452865e+00,3.545920e+00,5.062792e+00,5.881407e+00,7.451790e+00,3.212536e+00
2.452865e+00,3.535809e+00,5.131120e+00,5.855560e+00,7.513818e+00,3.401507e+00
2.452865e+00,3.523111e+00,5.270202e+00,5.808134e+00,7.639871e+00,3.779451e+00
2.452865e+00,3.520525e+00,5.412309e+00,5.766514e+00,7.768476e+00,4.157398e+00
2.452865e+00,3.528074e+00,5.557209e+00,5.730826e+00,7.899507e+00,4.535341e+00
2.452865e+00,3.545693e+00,5.704689e+00,5.701182e+00,8.032848e+00,4.913288e+00
2.452865e+00,3.573233e+00,5.854554e+00,5.677676e+00,8.168384e+00,5.291235e+00
2.452865e+00,3.610465e+00,6.006625e+00,5.660385e+00,8.306008e+00,5.669178e+00
2.452865e+00,3.743876e+00,6.395418e+00,5.644669e+00,8.658545e+00,6.614040e+00
2.452865e+00,3.929904e+00,6.794821e+00,5.668423e+00,9.022052e+00,7.558905e+00
2.452865e+00,4.161497e+00,7.203067e+00,5.731153e+00,9.395256e+00,8.503767e+00
2.452865e+00,4.431520e+00,7.618738e+00,5.831605e+00,9.777046e+00,9.448632e+00
2.452865e+00,4.733397e+00,8.040680e+00,5.967871e+00,1.016645e+01,1.039349e+01
2.452865e+00,5.061433e+00,8.467955e+00,6.137567e+00,1.056264e+01,1.133836e+01
2.452865e+00,5.777836e+00,9.335572e+00,6.566384e+00,1.137249e+01,1.322808e+01
2.452865e+00,6.552420e+00,1.021690e+01,7.095816e+00,1.220178e+01,1.511781e+01
2.452865e+00,7.366854e+00,1.110868e+01,7.705148e+00,1.304679e+01,1.700753e+01
2.452865e+00,8.209289e+00,1.200858e+01,8.376967e+00,1.390466e+01,1.889726e+01
2.452865e+00,4.117175e+00,4.864935e+00,6.550457e+00,7.302954e+00,1.511780e+00
2.452865e+00,4.084498e+00,4.923326e+00,6.512198e+00,7.357748e+00,1.700752e+00
2.452865e+00,4.053760e+00,4.982825e+00,6.475091e+00,7.413341e+00,1.889727e+00
2.452865e+00,4.025006e+00,5.043392e+00,6.439157e+00,7.469715e+00,2.078699e+00
2.452865e+00,3.998279e+00,5.104990e+00,6.404416e+00,7.526853e+00,2.267671e+00
2.452865e+00,3.973619e+00,5.167581e+00,6.370886e+00,7.584738e+00,2.456646e+00
2.452865e+00,3.951065e+00,5.231130e+00,6.338588e+00,7.643353e+00,2.645617e+00
2.452865e+00,3.930653e+00,5.295602e+00,6.307540e+00,7.702680e+00,2.834589e+00
2.452865e+00,3.912418e+00,5.360964e+00,6.277760e+00,7.762704e+00,3.023561e+00
2.452865e+00,3.896390e+00,5.427184e+00,6.249268e+00,7.823409e+00,3.212536e+00
2.452865e+00,3.882595e+00,5.494231e+00,6.222080e+00,7.884779e+00,3.401507e+00
2.452865e+00,3.861798e+00,5.630686e+00,6.171685e+00,8.009452e+00,3.779451e+00
2.452865e+00,3.850175e+00,5.770105e+00,6.126707e+00,8.136604e+00,4.157398e+00
2.452865e+00,3.847809e+00,5.912276e+00,6.087265e+00,8.266121e+00,4.535341e+00
2.452865e+00,3.854717e+00,6.057007e+00,6.053469e+00,8.397893e+00,4.913288e+00
2.452865e+00,3.870850e+00,6.204119e+00,6.025412e+00,8.531816e+00,5.291235e+00
2.452865e+00,3.896091e+00,6.353444e+00,6.003176e+00,8.667789e+00,5.669178e+00
2.452865e+00,3.997764e+00,6.735475e+00,5.973433e+00,9.016083e+00,6.614040e+00
2.452865e+00,4.151037e+00,7.128352e+00,5.980976e+00,9.375251e+00,7.558905e+00
