#Idx,Group
1,83
2,83
3,83
4,83
5,83
6,83
7,83
8,83
9,83
10,83
11,83
12,83
13,83
14,83
15,83
16,83
17,83
18,83
19,83
20,83
21,83
22,83
23,83
24,83
25,83
26,83
27,83
28,83
29,83
30,83
31,83
32,83
33,83
34,82
35,83
36,82
37,82
38,82
39,82
40,82
41,82
42,82
43,83
44,82
45,82
46,82
47,82
48,83
49,82
50,82
51,82
52,83
53,82
54,82
55,83
56,82
57,82
58,83
59,82
60,82
61,83
62,82
63,82
64,83
65,82
66,82
67,83
68,82
69,83
70,82
71,82
72,83
73,82
74,83
75,82
76,82
77,83
78,82
79,83
80,82
81,43
82,43
83,82
84,43
85,43
86,43
87,64
88,43
89,43
90,43
91,43
92,82
93,43
94,43
95,64
96,43
97,82
98,43
99,43
100,43
101,82
102,64
103,43
104,43
105,82
106,43
107,64
108,43
109,82
110,43
111,64
112,43
113,82
114,43
115,43
116,64
117,82
118,43
119,43
120,82
121,64
122,43
123,82
124,43
125,64
126,43
127,82
128,43
129,64
130,82
131,43
132,43
133,82
134,64
135,43
136,82
137,43
138,64
139,74
140,74
141,74
142,43
143,74
144,74
145,82
146,74
147,74
148,74
149,74
150,43
151,64
152,74
153,74
154,82
155,74
156,43
157,74
158,74
159,64
160,74
161,43
162,82
163,74
164,74
165,43
166,74
167,64
168,82
169,74
170,43
171,74
172,74
173,82
174,64
175,43
176,74
177,74
178,43
179,82
180,74
181,64
182,74
183,43
184,82
185,74
186,64
187,43
188,74
189,82
190,74
191,43
192,74
193,64
194,82
195,43
196,74
197,74
198,64
199,43
200,82
201,74
202,43
203,74
204,82
205,64
206,72
207,72
208,72
209,72
210,74
211,72
212,72
213,43
214,72
215,72
216,72
217,74
218,72
219,82
220,72
221,64
222,72
223,43
224,74
225,72
226,72
227,82
228,72
229,74
230,43
231,72
232,64
233,72
234,74
235,72
236,82
237,43
238,72
239,74
240,72
241,64
242,72
243,43
244,74
245,82
246,72
247,72
248,64
249,74
250,43
251,72
252,82
253,72
254,74
255,43
256,72
257,64
258,74
259,72
260,82
261,43
262,72
263,74
264,72
265,64
266,82
267,43
268,72
269,74
270,72
271,74
272,82
273,64
274,43
275,72
276,74
277,72
278,43
279,82
280,66
281,66
282,66
283,64
284,66
285,72
286,66
287,66
288,66
289,74
290,66
291,66
292,72
293,66
294,43
295,66
296,82
297,66
298,74
299,72
300,66
301,64
302,66
303,66
304,43
305,72
306,74
307,66
308,82
309,66
310,72
311,66
312,64
313,74
314,43
315,66
316,72
317,66
318,82
319,66
320,74
321,72
322,66
323,43
324,64
325,66
326,72
327,82
328,74
329,66
330,43
331,66
332,72
333,64
334,66
335,74
336,82
337,66
338,72
339,43
340,66
341,74
342,64
343,72
344,66
345,82
346,43
347,66
