# Bin  Energy [eV]
   1    -11.094
   2    -10.918
   3    -10.742
   4    -10.566
   5    -10.390
   6    -10.214
   7    -10.038
   8     -9.862
   9     -9.686
  10     -9.510
  11     -9.334
  12     -9.158
  13     -8.982
  14     -8.806
  15     -8.630
  16     -8.454
  17     -8.278
  18     -8.102
  19     -7.926
  20     -7.750
  21     -7.574
  22     -7.398
  23     -7.222
  24     -7.046
  25     -6.870
  26     -6.694
  27     -6.519
  28     -6.343
  29     -6.167
  30     -5.991
  31     -5.815
  32     -5.639
  33     -5.463
  34     -5.287
  35     -5.111
  36     -4.935
  37     -4.759
  38     -4.583
  39     -4.407
  40     -4.231
  41     -4.055
  42     -3.879
  43     -3.703
  44     -3.527
  45     -3.351
  46     -3.175
  47     -2.999
  48     -2.823
  49     -2.647
  50     -2.471
  51     -2.295
  52     -2.119
  53     -1.943
  54     -1.767
  55     -1.591
  56     -1.415
  57     -1.239
  58     -1.063
  59     -0.887
  60     -0.711
  61     -0.535
  62     -0.359
  63     -0.183
  64     -0.007
  65      0.169
  66      0.345
  67      0.521
  68      0.697
  69      0.873
  70      1.049
  71      1.225
  72      1.401
  73      1.577
  74      1.753
  75      1.929
  76      2.105
  77      2.281
  78      2.457
  79      2.633
  80      2.809
  81      2.985
  82      3.161
  83      3.337
