Id,Group
1,124
2,124
3,124
4,124
5,124
6,124
7,124
8,124
9,124
10,124
11,124
12,124
13,124
14,124
15,124
16,138
17,124
18,138
19,138
20,138
21,138
22,138
23,138
24,138
25,138
26,138
27,138
28,138
29,138
30,138
31,138
32,67
33,138
34,24
35,24
36,24
37,24
38,24
39,67
40,24
41,24
42,24
43,24
44,24
45,67
46,24
47,24
48,24
49,67
50,24
51,24
52,39
53,67
54,39
55,39
56,67
57,39
58,39
59,67
60,39
61,39
62,67
63,39
64,67
65,39
66,39
67,67
68,39
69,39
70,67
71,39
72,67
73,39
74,39
75,67
76,39
77,67
78,39
79,39
80,67
81,27
82,27
83,27
84,27
85,27
86,27
87,123
88,27
89,27
90,27
91,67
92,27
93,39
94,27
95,27
96,27
97,123
98,67
99,105
100,27
101,105
102,123
103,105
104,71
105,105
106,123
107,105
108,67
109,105
110,123
111,105
112,105
113,123
114,71
115,105
116,105
117,123
118,71
119,105
120,123
121,105
122,71
123,105
124,123
125,105
126,71
127,123
128,105
129,105
130,123
131,71
132,105
133,123
134,105
135,71
136,105
137,123
138,12
139,12
140,12
141,12
142,12
143,12
144,64
145,12
146,12
147,71
148,12
149,12
150,123
151,64
152,12
153,12
154,12
155,71
156,64
157,12
158,123
159,12
160,12
161,64
162,12
163,123
164,71
165,12
166,64
167,12
168,12
169,123
170,64
171,71
172,12
173,38
174,64
175,56
176,12
177,71
178,38
179,64
180,56
181,38
182,64
183,38
184,71
185,38
186,56
187,64
188,38
189,71
190,38
191,56
192,64
193,38
194,64
195,71
196,56
197,38
198,38
199,64
200,56
201,71
202,38
203,18
204,18
205,18
206,64
207,18
208,18
209,18
210,18
211,38
212,18
213,18
214,56
215,18
216,64
217,18
218,71
219,38
220,18
221,18
222,18
223,38
224,56
225,64
226,18
227,61
228,99
229,38
230,18
231,94
232,61
233,56
234,38
235,61
236,61
237,71
238,94
239,38
240,61
241,56
242,61
243,80
244,94
245,61
246,99
247,61
248,56
249,38
250,61
251,94
252,80
253,61
254,99
255,56
256,61
257,94
258,80
259,61
260,56
261,61
262,99
263,80
264,94
265,61
266,80
267,61
268,94
269,56
270,99
271,61
272,80
273,94
274,61
275,33
276,33
277,56
278,33
279,33
280,33
281,80
282,33
283,99
284,33
285,90
286,33
287,33
288,33
289,94
290,33
291,80
292,90
293,33
294,56
295,33
296,21
297,99
298,90
299,33
300,94
301,80
302,21
303,90
304,33
305,96
306,21
307,80
308,94
309,90
310,21
311,99
312,21
313,56
314,80
315,90
316,21
317,94
318,21
319,90
320,99
321,21
322,80
323,96
324,21
325,90
326,94
327,21
328,80
329,21
330,90
331,99
332,96
333,94
334,21
335,80
336,90
337,21
338,21
339,99
340,90
341,94
342,80
343,96
344,21
345,90
346,21
347,80
348,94
349,99
350,96
351,21
352,90
353,21
354,80
355,16
356,16
357,16
358,16
359,16
360,17
361,16
362,90
363,16
364,16
365,21
366,96
367,16
368,99
369,16
370,46
371,16
372,21
373,90
374,16
375,16
376,17
377,16
378,82
379,16
380,96
381,90
382,80
383,122
384,99
385,21
386,16
387,17
388,122
389,90
390,122
391,82
392,46
393,96
394,122
395,99
396,82
397,122
398,90
399,17
400,122
401,46
402,82
403,122
404,75
405,96
406,122
407,17
408,82
409,99
410,46
411,122
412,90
413,122
414,82
415,96
416,122
417,17
418,46
419,75
420,82
421,99
422,122
423,122
424,82
425,96
426,46
427,75
428,17
429,122
430,82
431,86
432,122
433,75
434,46
435,122
436,96
437,17
438,82
439,122
440,32
441,32
442,32
443,75
444,32
445,32
446,32
447,32
448,82
449,99
450,46
451,32
452,122
453,32
454,32
455,17
456,32
457,96
458,75
459,122
460,32
461,82
462,32
463,46
464,32
465,77
466,32
467,86
468,82
469,89
470,75
471,17
472,89
473,122
474,96
475,89
476,46
477,82
478,89
479,77
480,75
481,89
482,17
483,86
484,89
485,77
486,82
487,96
488,46
489,89
490,75
491,77
492,89
493,116
494,89
495,17
496,77
497,86
498,46
499,89
500,75
501,96
502,82
503,89
504,77
505,89
506,17
507,75
508,46
509,116
510,77
511,89
512,86
513,96
514,89
515,77
516,116
517,75
518,89
519,17
520,46
521,77
522,89
523,86
524,53
525,116
526,75
527,62
528,77
529,46
530,17
531,15
532,89
533,15
534,15
