# Bin  Energy [eV]
   1    -11.094
   2    -10.948
   3    -10.801
   4    -10.655
   5    -10.509
   6    -10.362
   7    -10.216
   8    -10.070
   9     -9.923
  10     -9.777
  11     -9.630
  12     -9.484
  13     -9.338
  14     -9.191
  15     -9.045
  16     -8.899
  17     -8.752
  18     -8.606
  19     -8.460
  20     -8.313
  21     -8.167
  22     -8.020
  23     -7.874
  24     -7.728
  25     -7.581
  26     -7.435
  27     -7.289
  28     -7.142
  29     -6.996
  30     -6.850
  31     -6.703
  32     -6.557
  33     -6.410
  34     -6.264
  35     -6.118
  36     -5.971
  37     -5.825
  38     -5.679
  39     -5.532
  40     -5.386
  41     -5.240
  42     -5.093
  43     -4.947
  44     -4.800
  45     -4.654
  46     -4.508
  47     -4.361
  48     -4.215
  49     -4.069
  50     -3.922
  51     -3.776
  52     -3.630
  53     -3.483
  54     -3.337
  55     -3.190
  56     -3.044
  57     -2.898
  58     -2.751
  59     -2.605
  60     -2.459
  61     -2.312
  62     -2.166
  63     -2.020
  64     -1.873
  65     -1.727
  66     -1.581
  67     -1.434
  68     -1.288
  69     -1.141
  70     -0.995
  71     -0.849
  72     -0.702
  73     -0.556
  74     -0.410
  75     -0.263
  76     -0.117
  77      0.029
  78      0.176
  79      0.322
  80      0.469
  81      0.615
  82      0.761
  83      0.908
  84      1.054
  85      1.200
  86      1.347
  87      1.493
  88      1.639
  89      1.786
  90      1.932
  91      2.079
  92      2.225
  93      2.371
  94      2.518
  95      2.664
  96      2.810
  97      2.957
  98      3.103
  99      3.249
 100      3.396
