Id,Group
1,147
2,147
3,147
4,147
5,147
6,147
7,147
8,147
9,147
10,147
11,147
12,135
13,147
14,135
15,147
16,135
17,135
18,135
19,135
20,135
21,135
22,135
23,135
24,135
25,135
26,135
27,135
28,135
29,135
30,74
31,135
32,74
33,74
34,43
35,43
36,43
37,43
38,43
39,74
40,43
41,43
42,43
43,43
44,43
45,74
46,43
47,43
48,43
49,74
50,36
51,43
52,36
53,74
54,36
55,36
56,74
57,36
58,36
59,74
60,36
61,36
62,74
63,36
64,74
65,36
66,36
67,74
68,36
69,36
70,74
71,36
72,74
73,36
74,36
75,74
76,36
77,121
78,93
79,93
80,74
81,34
82,34
83,34
84,34
85,34
86,34
87,93
88,34
89,34
90,34
91,121
92,34
93,93
94,34
95,34
96,34
97,93
98,121
99,114
100,34
101,114
102,93
103,114
104,121
105,114
106,93
107,114
108,121
109,114
110,93
111,114
112,114
113,93
114,121
115,114
116,114
117,93
118,121
119,114
120,93
121,114
122,121
123,114
124,93
125,114
126,121
127,93
128,114
129,114
130,93
131,121
132,114
133,93
134,61
135,121
136,114
137,93
138,24
139,24
140,24
141,24
142,24
143,24
144,61
145,24
146,24
147,121
148,24
149,24
150,93
151,61
152,24
153,24
154,24
155,121
156,61
157,51
158,93
159,24
160,51
161,61
162,51
163,60
164,121
165,51
166,61
167,51
168,51
169,93
170,61
171,121
172,51
173,51
174,61
175,60
176,51
177,88
178,51
179,61
180,60
181,51
182,61
183,51
184,121
185,51
186,60
187,61
188,51
189,88
190,51
191,60
192,61
193,51
194,61
195,88
196,60
197,51
198,97
199,61
200,60
201,88
202,51
203,131
204,131
205,131
206,61
207,131
208,131
209,131
210,131
211,97
212,131
213,131
214,60
215,131
216,61
217,131
218,88
219,97
220,131
221,131
222,131
223,97
224,60
225,61
226,131
227,125
228,88
229,97
230,131
231,134
232,125
233,60
234,97
235,125
236,125
237,88
238,61
239,97
240,125
241,60
242,125
243,97
244,134
245,125
246,88
247,125
248,60
249,97
250,125
251,134
252,97
253,125
254,88
255,60
256,125
257,134
258,97
259,125
260,60
261,125
262,88
263,97
264,134
265,125
266,97
267,125
268,134
269,60
270,88
271,125
272,97
273,134
274,125
275,145
276,145
277,60
278,145
279,145
280,145
281,97
282,145
283,88
284,145
285,75
286,145
287,145
288,145
289,134
290,145
291,97
292,125
293,145
294,60
295,145
296,145
297,88
298,75
299,145
300,134
301,97
302,129
303,75
304,145
305,150
306,129
307,76
308,134
309,75
310,129
311,88
312,129
313,150
314,97
315,75
316,129
317,134
318,129
319,75
320,88
321,129
322,76
323,150
324,129
325,75
326,134
327,129
328,76
329,129
330,75
331,128
332,150
333,134
334,129
335,76
336,75
337,129
338,129
339,88
340,75
341,134
342,76
343,150
344,129
345,75
346,129
347,76
348,134
349,128
350,150
351,129
352,75
353,129
354,76
355,137
356,137
357,137
358,137
359,137
360,80
361,137
362,75
363,137
364,137
365,62
366,150
367,137
368,128
369,137
370,76
371,137
372,129
373,75
374,137
375,137
376,134
377,17
378,62
379,137
380,150
381,75
382,76
383,17
384,128
385,62
386,17
387,80
388,17
389,75
390,17
391,62
392,76
393,150
394,17
395,128
396,62
397,17
398,75
399,80
400,17
401,76
402,62
403,17
404,109
405,150
406,17
407,80
408,62
409,128
410,76
411,17
412,75
413,17
414,62
415,150
416,17
417,80
418,76
419,109
420,62
421,128
422,17
423,17
424,62
425,150
426,76
427,109
428,80
429,17
430,62
431,128
432,17
433,109
434,76
435,94
436,150
437,80
438,62
439,94
440,18
441,18
442,18
443,109
444,18
445,18
446,18
447,18
448,62
449,128
450,15
451,18
452,94
453,18
454,18
455,80
456,18
457,150
458,109
459,94
460,18
461,62
462,18
463,76
464,18
465,94
466,18
467,128
468,62
469,95
470,109
471,80
472,18
473,94
474,150
475,95
476,15
477,62
478,95
479,94
480,109
481,95
482,80
483,128
484,95
485,94
486,62
487,150
488,15
489,95
490,109
491,94
492,95
493,111
494,95
495,80
496,94
497,128
498,15
499,95
500,109
501,150
502,62
503,95
504,94
505,95
506,80
507,109
508,15
509,111
510,94
511,95
512,128
513,150
514,95
515,94
516,111
517,109
518,95
519,80
520,15
521,94
522,95
523,128
524,55
525,111
526,109
527,59
528,94
529,15
530,80
531,22
532,95
533,22
534,22
535,22
536,22
537,111
538,22
539,22
540,94
541,22
542,59
543,109
544,22
545,150
546,22
547,128
548,22
549,15
550,22
551,59
552,111
553,80
554,65
555,22
556,22
557,109
558,59
559,22
560,48
561,94
562,111
563,55
564,48
565,15
566,59
567,128
568,48
569,80
570,109
571,48
572,65
573,59
574,111
575,48
576,48
577,15
578,59
579,65
580,55
581,48
582,109
583,80
584,128
585,111
586,48
587,59
588,65
589,48
590,15
591,59
592,48
593,83
594,111
595,55
596,107
597,48
598,65
