# Bin  Energy [eV]
   1    -11.100
   2    -10.300
   3     -9.500
   4     -8.800
   5     -8.100
   6     -7.400
   7     -6.700
   8     -6.000
   9     -5.500
  10     -5.000
  11     -4.750
  12     -4.500
  13     -4.250
  14     -4.000
  15     -3.750
  16     -3.500
  17     -3.250
  18     -3.000
  19     -2.750
  20     -2.500
  21     -2.250
  22     -2.000
  23     -1.800
  24     -1.600
  25     -1.400
  26     -1.200
  27     -1.000
  28     -0.900
  29     -0.800
  30     -0.700
  31     -0.600
  32     -0.500
  33     -0.400
  34     -0.300
  35     -0.250
  36     -0.200
  37     -0.150
  38     -0.100
  39     -0.050
  40      0.000
  41      0.050
  42      0.100
  43      0.200
  44      0.350
  45      0.500
  46      0.650
  47      0.800
  48      1.000
  49      1.200
  50      1.400
  51      1.600
  52      1.800
  53      2.000
  54      2.200
  55      2.400
  56      2.600
  57      2.800
  58      3.000
  59      3.200
  60      3.500
