# Bin  Energy [eV]
   1    -11.094
   2    -10.617
   3    -10.140
   4     -9.663
   5     -9.187
   6     -8.710
   7     -8.233
   8     -7.756
   9     -7.279
  10     -6.802
  11     -6.325
  12     -5.849
  13     -5.372
  14     -4.895
  15     -4.418
  16     -3.941
  17     -3.464
  18     -2.987
  19     -2.511
  20     -2.034
  21     -1.557
  22     -1.080
  23     -0.603
  24      0.000
  25      0.351
  26      0.827
  27      1.304
  28      1.781
  29      2.258
  30      2.735
