Id,Group
1,59
2,59
3,59
4,59
5,59
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,59
14,21
15,21
16,21
17,21
18,21
19,21
20,21
21,21
22,21
23,21
24,21
25,21
26,21
27,21
28,21
29,21
30,21
31,21
32,60
33,21
34,35
35,35
36,35
37,35
38,35
39,60
40,35
41,35
42,35
43,35
44,35
45,60
46,35
47,35
48,35
49,60
50,18
51,35
52,18
53,60
54,18
55,18
56,60
57,18
58,18
59,60
60,18
61,18
62,60
63,18
64,60
65,18
66,18
67,60
68,18
69,18
70,60
71,18
72,60
73,18
74,18
75,60
76,18
77,60
78,52
79,18
80,60
81,62
82,62
83,62
84,62
85,62
86,62
87,52
88,62
89,62
90,62
91,2
92,62
93,52
94,62
95,62
96,62
97,52
98,60
99,13
100,62
101,13
102,52
103,13
104,2
105,13
106,52
107,13
108,2
109,13
110,52
111,13
112,13
113,52
114,2
115,13
116,13
117,52
118,2
119,13
120,52
121,13
122,2
123,13
124,52
125,13
126,2
127,52
128,13
129,13
130,52
131,2
132,13
133,52
134,13
135,2
136,13
137,52
138,24
139,24
140,24
141,24
142,24
143,24
144,48
145,24
146,24
147,2
148,24
149,24
150,52
151,13
152,24
153,24
154,24
155,2
156,48
157,19
158,52
159,24
160,19
161,48
162,19
163,147
164,2
165,19
166,48
167,19
168,19
169,52
170,48
171,2
172,19
173,19
174,48
175,147
176,19
177,2
178,19
179,48
180,147
181,19
182,48
183,19
184,2
185,19
186,147
187,48
188,19
189,99
190,19
191,147
192,48
193,19
194,48
195,2
196,147
197,19
198,71
199,48
200,147
201,99
202,19
203,46
204,46
205,46
206,48
207,46
208,46
209,46
210,46
211,71
212,46
213,46
214,147
215,46
216,48
217,46
218,99
219,71
220,46
221,46
222,26
223,71
224,147
225,48
226,46
227,26
228,99
229,71
230,26
231,48
232,26
233,147
234,71
235,26
236,26
237,99
238,48
239,71
240,26
241,147
242,26
243,71
244,142
245,26
246,99
247,26
248,147
249,71
250,26
251,48
252,71
253,26
254,99
255,147
256,26
257,142
258,71
259,26
260,147
261,26
262,99
263,71
264,142
265,26
266,71
267,26
268,142
269,147
270,99
271,77
272,71
273,142
274,26
275,61
276,61
277,147
278,61
279,61
280,61
281,71
282,61
283,99
284,61
285,77
286,61
287,61
288,61
289,142
290,61
291,71
292,77
293,61
294,147
295,61
296,34
297,99
298,77
299,61
300,142
301,71
302,34
303,77
304,34
305,102
306,34
307,15
308,142
309,77
310,34
311,99
312,34
313,147
314,71
315,77
316,34
317,142
318,34
319,77
320,99
321,34
322,15
323,102
324,34
325,77
326,142
327,34
328,15
329,34
330,77
331,99
332,102
333,142
334,34
335,15
336,77
337,34
338,34
339,99
340,77
341,142
342,15
343,102
344,53
345,77
346,34
347,15
348,142
349,99
350,102
351,53
352,77
353,53
354,15
355,55
356,55
357,55
358,55
359,55
360,142
361,55
362,77
363,55
364,55
365,53
366,102
367,55
368,99
369,55
370,15
371,55
372,53
373,77
374,55
375,55
376,142
377,43
378,53
379,43
380,102
381,77
382,15
383,43
384,79
385,53
386,43
387,142
388,43
389,119
390,43
391,53
392,15
393,102
394,43
395,79
396,53
397,43
398,77
399,142
400,43
401,15
402,53
403,43
404,119
405,102
406,43
407,39
408,53
409,79
410,15
411,43
412,119
413,43
414,53
415,102
416,43
417,142
418,15
419,119
420,53
421,79
422,43
423,43
424,53
425,102
426,15
427,119
428,39
429,150
430,53
431,79
432,43
433,119
434,15
435,150
436,102
437,39
438,53
439,150
440,130
441,130
442,130
443,119
444,130
445,130
446,130
447,130
448,53
449,79
450,87
451,130
452,150
453,130
454,130
455,39
456,130
457,102
458,119
459,150
460,130
461,69
462,130
463,15
464,130
465,150
466,130
467,79
468,53
469,129
470,119
471,39
472,130
473,150
474,102
475,129
476,87
477,69
478,129
479,150
480,119
481,129
482,39
483,79
484,129
485,150
486,69
487,102
488,87
489,129
490,119
491,150
492,129
493,69
494,129
495,39
496,150
497,79
498,87
499,129
500,119
501,102
502,69
503,129
504,150
505,129
506,39
507,119
508,87
509,69
510,150
511,129
512,79
513,102
514,129
515,150
516,69
517,119
518,129
519,39
520,87
521,150
522,129
523,79
524,57
525,69
526,119
527,129
528,82
529,87
530,39
531,20
532,129
533,20
534,20
535,20
536,20
537,69
538,20
539,20
540,150
541,20
542,29
543,92
544,20
545,102
546,20
547,79
548,20
549,87
550,20
551,129
552,69
553,39
554,82
555,20
556,30
557,119
558,29
559,20
560,30
561,82
562,69
563,57
564,30
565,87
566,29
567,79
568,30
569,39
570,92
571,30
572,82
573,29
574,69
575,30
576,30
577,87
578,29
579,82
580,57
581,30
582,92
583,39
584,79
585,69
586,30
587,29
588,82
589,30
590,87
591,29
592,30
593,92
594,69
595,57
596,39
597,30
598,82
599,29
600,79
601,30
602,87
603,69
604,29
605,30
606,82
607,92
608,30
609,57
610,39
611,29
612,82
613,30
614,110
615,79
616,87
617,92
618,29
619,30
620,82
621,66
622,39
623,57
624,110
625,29
626,33
627,92
628,33
629,33
630,30
631,33
632,87
633,33
634,33
635,126
636,33
637,82
638,33
639,29
640,33
641,66
642,110
643,33
644,33
645,39
646,33
647,66
648,57
649,92
650,33
651,82
652,29
653,87
654,47
655,33
656,66
657,110
658,79
659,47
660,29
661,47
662,82
663,66
664,92
665,93
666,47
667,57
668,47
669,87
670,29
671,66
672,110
673,47
674,82
675,47
676,66
677,126
678,29
679,92
680,47
681,39
682,110
683,47
684,87
685,66
686,82
687,57
688,47
689,131
690,66
691,47
692,92
693,110
694,90
695,126
696,47
697,29
