"J","v","rIn","rOut","DeltaR","E","DeltaEDiss","ERot","EVib","g","dVIn","dVOut","rMin","VMin","rMax","VMax","Tau","Egam"
20,0,2.19380e+00,2.38932e+00,2.29470e+00,-5.03832e+00,-5.04236e+00,7.47247e-02,0.00000e+00,8.20000e+01,0.00000e+00,0.00000e+00,2.28522e+00,-5.13603e+00,8.23388e+00,4.04114e-03,8.77742e+02,1.00000e-300
21,0,2.19410e+00,2.38966e+00,2.29502e+00,-5.03086e+00,-5.03549e+00,8.21857e-02,0.00000e+00,4.30000e+01,0.00000e+00,0.00000e+00,2.28554e+00,-5.12853e+00,8.06876e+00,4.63153e-03,8.78119e+02,1.00000e-300
22,0,2.19441e+00,2.39002e+00,2.29536e+00,-5.02305e+00,-5.02832e+00,8.99997e-02,0.00000e+00,9.00000e+01,0.00000e+00,0.00000e+00,2.28587e+00,-5.12066e+00,7.91476e+00,5.27495e-03,8.78514e+02,1.00000e-300
23,0,2.19474e+00,2.39039e+00,2.29572e+00,-5.01488e+00,-5.02085e+00,9.81664e-02,0.00000e+00,4.70000e+01,0.00000e+00,0.00000e+00,2.28622e+00,-5.11245e+00,7.77083e+00,5.97339e-03,8.78927e+02,1.00000e-300
24,0,2.19509e+00,2.39078e+00,2.29608e+00,-5.00636e+00,-5.01309e+00,1.06686e-01,0.00000e+00,9.80000e+01,0.00000e+00,0.00000e+00,2.28659e+00,-5.10388e+00,7.63602e+00,6.72877e-03,8.79359e+02,1.00000e-300
25,0,2.19545e+00,2.39118e+00,2.29647e+00,-4.99749e+00,-5.00503e+00,1.15557e-01,0.00000e+00,5.10000e+01,0.00000e+00,0.00000e+00,2.28696e+00,-5.09495e+00,7.50949e+00,7.54300e-03,8.79810e+02,1.00000e-300
26,0,2.19582e+00,2.39160e+00,2.29687e+00,-4.98827e+00,-4.99669e+00,1.24780e-01,0.00000e+00,1.06000e+02,0.00000e+00,0.00000e+00,2.28736e+00,-5.08567e+00,7.39044e+00,8.41791e-03,8.80279e+02,1.00000e-300
27,0,2.19621e+00,2.39204e+00,2.29728e+00,-4.97869e+00,-4.98805e+00,1.34354e-01,0.00000e+00,5.50000e+01,0.00000e+00,0.00000e+00,2.28777e+00,-5.07604e+00,7.27811e+00,9.35533e-03,8.80767e+02,1.00000e-300
28,0,2.19661e+00,2.39249e+00,2.29771e+00,-4.96877e+00,-4.97912e+00,1.44279e-01,0.00000e+00,1.14000e+02,0.00000e+00,0.00000e+00,2.28819e+00,-5.06605e+00,7.17178e+00,1.03571e-02,8.81273e+02,1.00000e-300
29,0,2.19703e+00,2.39297e+00,2.29816e+00,-4.95849e+00,-4.96992e+00,1.54555e-01,0.00000e+00,5.90000e+01,0.00000e+00,0.00000e+00,2.28864e+00,-5.05571e+00,7.07073e+00,1.14250e-02,8.81798e+02,1.00000e-300
