"J","v","rIn","rOut","DeltaR","E","DeltaEDiss","ERot","EVib","g","dVIn","dVOut","rMin","VMin","rMax","VMax","Tau","Egam"
36,14,1.91158e+00,3.08063e+00,2.60195e+00,-2.47198e+00,-2.49291e+00,1.99864e-01,2.44120e+00,1.46000e+02,0.00000e+00,0.00000e+00,2.29216e+00,-4.97350e+00,6.45341e+00,2.09317e-02,1.12679e+03,1.00000e-300
48,13,1.92736e+00,3.05396e+00,2.58925e+00,-2.47156e+00,-2.52418e+00,3.55977e-01,2.28551e+00,1.94000e+02,0.00000e+00,0.00000e+00,2.29999e+00,-4.79288e+00,4.96654e+00,5.26137e-02,1.12067e+03,1.00000e-300
97,6,2.06502e+00,2.83992e+00,2.50050e+00,-2.46979e+00,-2.83033e+00,1.52628e+00,1.11698e+00,1.95000e+02,0.00000e+00,0.00000e+00,2.35752e+00,-3.56079e+00,4.48997e+00,3.60537e-01,1.07986e+03,1.00000e-300
107,4,2.11991e+00,2.76287e+00,2.47483e+00,-2.46930e+00,-2.92617e+00,1.88674e+00,7.57012e-01,2.15000e+02,0.00000e+00,0.00000e+00,2.37493e+00,-3.21897e+00,4.42608e+00,4.56871e-01,1.06828e+03,1.00000e-300
18,15,1.89664e+00,3.10708e+00,2.61502e+00,-2.46807e+00,-2.47108e+00,5.08637e-02,2.59411e+00,7.40000e+01,0.00000e+00,0.00000e+00,2.28463e+00,-5.14998e+00,8.60273e+00,3.01127e-03,1.13345e+03,1.00000e-300
86,8,2.01938e+00,2.90792e+00,2.52618e+00,-2.46670e+00,-2.73501e+00,1.18125e+00,1.46509e+00,3.46000e+02,0.00000e+00,0.00000e+00,2.34076e+00,-3.90319e+00,4.56562e+00,2.68312e-01,1.09165e+03,1.00000e-300
66,11,1.96135e+00,2.99876e+00,2.56423e+00,-2.46657e+00,-2.60217e+00,6.80714e-01,1.96576e+00,2.66000e+02,0.00000e+00,0.00000e+00,2.31616e+00,-4.43012e+00,4.72936e+00,1.35594e-01,1.10914e+03,1.00000e-300
80,9,1.99898e+00,2.93963e+00,2.53907e+00,-2.46380e+00,-2.68766e+00,1.01443e+00,1.63482e+00,3.22000e+02,0.00000e+00,0.00000e+00,2.33261e+00,-4.07451e+00,4.61023e+00,2.23862e-01,1.09769e+03,1.00000e-300
58,12,1.94417e+00,3.02722e+00,2.57712e+00,-2.46375e+00,-2.55830e+00,5.22273e-01,2.12702e+00,2.34000e+02,0.00000e+00,0.00000e+00,2.30830e+00,-4.60473e+00,4.81422e+00,9.45509e-02,1.11536e+03,1.00000e-300
19,15,1.89688e+00,3.10760e+00,2.61544e+00,-2.46243e+00,-2.46593e+00,5.65063e-02,2.59411e+00,3.90000e+01,0.00000e+00,0.00000e+00,2.28492e+00,-5.14318e+00,8.41137e+00,3.50174e-03,1.13400e+03,1.00000e-300
37,14,1.91205e+00,3.08162e+00,2.60277e+00,-2.46094e+00,-2.48355e+00,2.10904e-01,2.44120e+00,7.50000e+01,0.00000e+00,0.00000e+00,2.29272e+00,-4.96035e+00,6.36893e+00,2.26125e-02,1.12785e+03,1.00000e-300
92,7,2.04175e+00,2.87558e+00,2.51399e+00,-2.45864e+00,-2.77550e+00,1.36192e+00,1.29249e+00,3.70000e+02,0.00000e+00,0.00000e+00,2.34960e+00,-3.72089e+00,4.52352e+00,3.16867e-01,1.08660e+03,1.00000e-300
112,3,2.15329e+00,2.71969e+00,2.46259e+00,-2.45743e+00,-2.96709e+00,2.08315e+00,5.72467e-01,4.50000e+02,0.00000e+00,0.00000e+00,2.38447e+00,-3.03764e+00,4.39541e+00,5.09659e-01,1.06337e+03,1.00000e-300
49,13,1.92798e+00,3.05525e+00,2.59032e+00,-2.45688e+00,-2.51322e+00,3.70663e-01,2.28551e+00,9.90000e+01,0.00000e+00,0.00000e+00,2.30075e+00,-4.77559e+00,4.94652e+00,5.63379e-02,1.12207e+03,1.00000e-300
20,15,1.89713e+00,3.10814e+00,2.61590e+00,-2.45649e+00,-2.46053e+00,6.24441e-02,2.59411e+00,8.20000e+01,0.00000e+00,0.00000e+00,2.28522e+00,-5.13603e+00,8.23388e+00,4.04114e-03,1.13459e+03,1.00000e-300
125,0,2.31373e+00,2.52528e+00,2.42320e+00,-2.45466e+00,-3.11655e+00,2.65839e+00,0.00000e+00,2.51000e+02,0.00000e+00,0.00000e+00,2.41204e+00,-2.53540e+00,4.31854e+00,6.61893e-01,1.04512e+03,1.00000e-300
21,15,1.89739e+00,3.10872e+00,2.61637e+00,-2.45026e+00,-2.45489e+00,6.86765e-02,2.59411e+00,4.30000e+01,0.00000e+00,0.00000e+00,2.28554e+00,-5.12853e+00,8.06876e+00,4.63153e-03,1.13520e+03,1.00000e-300
74,10,1.98029e+00,2.97099e+00,2.55270e+00,-2.45010e+00,-2.63353e+00,8.61249e-01,1.80170e+00,2.98000e+02,0.00000e+00,0.00000e+00,2.32512e+00,-4.23459e+00,4.65815e+00,1.83424e-01,1.10476e+03,1.00000e-300
38,14,1.91253e+00,3.08264e+00,2.60361e+00,-2.44961e+00,-2.47399e+00,2.22235e-01,2.44120e+00,1.54000e+02,0.00000e+00,0.00000e+00,2.29330e+00,-4.94686e+00,6.28209e+00,2.43857e-02,1.12895e+03,1.00000e-300
121,1,2.24099e+00,2.61026e+00,2.43686e+00,-2.44860e+00,-3.06130e+00,2.47044e+00,1.94009e-01,2.43000e+02,0.00000e+00,0.00000e+00,2.40311e+00,-2.69453e+00,4.34182e+00,6.12701e-01,1.05194e+03,1.00000e-300
67,11,1.96223e+00,3.00048e+00,2.56566e+00,-2.44632e+00,-2.58751e+00,7.00971e-01,1.96576e+00,1.35000e+02,0.00000e+00,0.00000e+00,2.31722e+00,-4.40681e+00,4.71987e+00,1.41198e-01,1.11101e+03,1.00000e-300
59,12,1.94494e+00,3.02876e+00,2.57839e+00,-2.44599e+00,-2.54531e+00,5.40028e-01,2.12702e+00,1.19000e+02,0.00000e+00,0.00000e+00,2.30922e+00,-4.58407e+00,4.80253e+00,9.93155e-02,1.11702e+03,1.00000e-300
22,15,1.89766e+00,3.10932e+00,2.61686e+00,-2.44373e+00,-2.44901e+00,7.52035e-02,2.59411e+00,9.00000e+01,0.00000e+00,0.00000e+00,2.28587e+00,-5.12066e+00,7.91476e+00,5.27495e-03,1.13584e+03,1.00000e-300
50,13,1.92862e+00,3.05658e+00,2.59142e+00,-2.44191e+00,-2.50207e+00,3.85636e-01,2.28551e+00,2.02000e+02,0.00000e+00,0.00000e+00,2.30152e+00,-4.75796e+00,4.92813e+00,6.01676e-02,1.12349e+03,1.00000e-300
103,5,2.09234e+00,2.80497e+00,2.48949e+00,-2.44136e+00,-2.85824e+00,1.73319e+00,9.38498e-01,2.07000e+02,0.00000e+00,0.00000e+00,2.36771e+00,-3.35909e+00,4.45119e+00,4.16877e-01,1.07653e+03,1.00000e-300
87,8,2.02058e+00,2.91006e+00,2.52797e+00,-2.44003e+00,-2.71615e+00,1.20792e+00,1.46509e+00,1.75000e+02,0.00000e+00,0.00000e+00,2.34218e+00,-3.87356e+00,4.55844e+00,2.76117e-01,1.09402e+03,1.00000e-300
98,6,2.06641e+00,2.84224e+00,2.50246e+00,-2.43947e+00,-2.80910e+00,1.55660e+00,1.11698e+00,3.94000e+02,0.00000e+00,0.00000e+00,2.35917e+00,-3.52789e+00,4.48340e+00,3.69626e-01,1.08250e+03,1.00000e-300
81,9,2.00008e+00,2.94165e+00,2.54076e+00,-2.43909e+00,-2.67008e+00,1.03914e+00,1.63482e+00,1.63000e+02,0.00000e+00,0.00000e+00,2.33392e+00,-4.04673e+00,4.60259e+00,2.30989e-01,1.09991e+03,1.00000e-300
39,14,1.91302e+00,3.08369e+00,2.60448e+00,-2.43799e+00,-2.46424e+00,2.33857e-01,2.44120e+00,7.90000e+01,0.00000e+00,0.00000e+00,2.29390e+00,-4.93302e+00,6.19058e+00,2.62579e-02,1.13007e+03,1.00000e-300
117,2,2.19290e+00,2.67108e+00,2.45071e+00,-2.43768e+00,-3.00330e+00,2.29055e+00,3.84816e-01,2.35000e+02,0.00000e+00,0.00000e+00,2.39458e+00,-2.84962e+00,4.36541e+00,5.65613e-01,1.05902e+03,1.00000e-300
23,15,1.89795e+00,3.10994e+00,2.61738e+00,-2.43691e+00,-2.44289e+00,8.20245e-02,2.59411e+00,4.70000e+01,0.00000e+00,0.00000e+00,2.28622e+00,-5.11245e+00,7.77083e+00,5.97339e-03,1.13651e+03,1.00000e-300
108,4,2.12152e+00,2.76532e+00,2.47694e+00,-2.43557e+00,-2.90274e+00,1.92047e+00,7.57012e-01,4.34000e+02,0.00000e+00,0.00000e+00,2.37679e+00,-3.18325e+00,4.41989e+00,4.67179e-01,1.07117e+03,1.00000e-300
93,7,2.04305e+00,2.87783e+00,2.51588e+00,-2.43001e+00,-2.75538e+00,1.39054e+00,1.29249e+00,1.87000e+02,0.00000e+00,0.00000e+00,2.35114e+00,-3.68946e+00,4.51671e+00,3.25366e-01,1.08912e+03,1.00000e-300
24,15,1.89825e+00,3.11060e+00,2.61792e+00,-2.42980e+00,-2.43653e+00,8.91392e-02,2.59411e+00,9.80000e+01,0.00000e+00,0.00000e+00,2.28659e+00,-5.10388e+00,7.63602e+00,6.72877e-03,1.13722e+03,1.00000e-300
60,12,1.94571e+00,3.03033e+00,2.57969e+00,-2.42795e+00,-2.53214e+00,5.58067e-01,2.12702e+00,2.42000e+02,0.00000e+00,0.00000e+00,2.31016e+00,-4.56307e+00,4.79120e+00,1.04184e-01,1.11872e+03,1.00000e-300
75,10,1.98130e+00,2.97290e+00,2.55428e+00,-2.42734e+00,-2.61723e+00,8.84008e-01,1.80170e+00,1.51000e+02,0.00000e+00,0.00000e+00,2.32633e+00,-4.20870e+00,4.64989e+00,1.89889e-01,1.10684e+03,1.00000e-300
51,13,1.92927e+00,3.05793e+00,2.59254e+00,-2.42665e+00,-2.49075e+00,4.00896e-01,2.28551e+00,1.03000e+02,0.00000e+00,0.00000e+00,2.30231e+00,-4.73999e+00,4.91105e+00,6.41022e-02,1.12495e+03,1.00000e-300
40,14,1.91353e+00,3.08477e+00,2.60537e+00,-2.42607e+00,-2.45431e+00,2.45770e-01,2.44120e+00,1.62000e+02,0.00000e+00,0.00000e+00,2.29451e+00,-4.91883e+00,6.09026e+00,2.82382e-02,1.13123e+03,1.00000e-300
68,11,1.96312e+00,3.00224e+00,2.56711e+00,-2.42578e+00,-2.57269e+00,7.21508e-01,1.96576e+00,2.74000e+02,0.00000e+00,0.00000e+00,2.31829e+00,-4.38318e+00,4.71057e+00,1.46908e-01,1.11291e+03,1.00000e-300
25,15,1.89856e+00,3.11128e+00,2.61849e+00,-2.42239e+00,-2.42993e+00,9.65475e-02,2.59411e+00,5.10000e+01,0.00000e+00,0.00000e+00,2.28696e+00,-5.09495e+00,7.50949e+00,7.54300e-03,1.13795e+03,1.00000e-300
113,3,2.15501e+00,2.72220e+00,2.46477e+00,-2.42199e+00,-2.94258e+00,2.11859e+00,5.72467e-01,2.27000e+02,0.00000e+00,0.00000e+00,2.38644e+00,-3.00056e+00,4.38936e+00,5.20595e-01,1.06639e+03,1.00000e-300
26,15,1.89889e+00,3.11200e+00,2.61908e+00,-2.41469e+00,-2.42311e+00,1.04249e-01,2.59411e+00,1.06000e+02,0.00000e+00,0.00000e+00,2.28736e+00,-5.08567e+00,7.39044e+00,8.41791e-03,1.13871e+03,1.00000e-300
126,0,2.31589e+00,2.52775e+00,2.42553e+00,-2.41454e+00,-3.08907e+00,2.69850e+00,0.00000e+00,5.06000e+02,0.00000e+00,0.00000e+00,2.41434e+00,-2.49501e+00,4.31276e+00,6.74524e-01,1.04847e+03,1.00000e-300
82,9,2.00119e+00,2.94371e+00,2.54246e+00,-2.41411e+00,-2.65234e+00,1.06412e+00,1.63482e+00,3.30000e+02,0.00000e+00,0.00000e+00,2.33525e+00,-4.01864e+00,4.59504e+00,2.38229e-01,1.10217e+03,1.00000e-300
41,14,1.91405e+00,3.08588e+00,2.60628e+00,-2.41387e+00,-2.44421e+00,2.57972e-01,2.44120e+00,8.30000e+01,0.00000e+00,0.00000e+00,2.29514e+00,-4.90429e+00,5.97144e+00,3.03417e-02,1.13242e+03,1.00000e-300
88,8,2.02179e+00,2.91222e+00,2.52978e+00,-2.41310e+00,-2.69714e+00,1.23485e+00,1.46509e+00,3.54000e+02,0.00000e+00,0.00000e+00,2.34363e+00,-3.84363e+00,4.55133e+00,2.84036e-01,1.09643e+03,1.00000e-300
52,13,1.92994e+00,3.05932e+00,2.59368e+00,-2.41110e+00,-2.47924e+00,4.16443e-01,2.28551e+00,2.10000e+02,0.00000e+00,0.00000e+00,2.30312e+00,-4.72168e+00,4.89505e+00,6.81409e-02,1.12644e+03,1.00000e-300
122,1,2.24297e+00,2.61280e+00,2.43915e+00,-2.40996e+00,-3.03477e+00,2.50907e+00,1.94009e-01,4.90000e+02,0.00000e+00,0.00000e+00,2.40530e+00,-2.65512e+00,4.33597e+00,6.24800e-01,1.05520e+03,1.00000e-300
61,12,1.94651e+00,3.03193e+00,2.58101e+00,-2.40963e+00,-2.51879e+00,5.76388e-01,2.12702e+00,1.23000e+02,0.00000e+00,0.00000e+00,2.31112e+00,-4.54174e+00,4.78021e+00,1.09157e-01,1.12045e+03,1.00000e-300
104,5,2.09385e+00,2.80739e+00,2.49155e+00,-2.40908e+00,-2.83577e+00,1.76547e+00,9.38498e-01,4.18000e+02,0.00000e+00,0.00000e+00,2.36948e+00,-3.32448e+00,4.44486e+00,4.26691e-01,1.07933e+03,1.00000e-300
99,6,2.06782e+00,2.84459e+00,2.50445e+00,-2.40889e+00,-2.78773e+00,1.58718e+00,1.11698e+00,1.99000e+02,0.00000e+00,0.00000e+00,2.36083e+00,-3.49470e+00,4.47688e+00,3.78835e-01,1.08518e+03,1.00000e-300
27,15,1.89923e+00,3.11274e+00,2.61969e+00,-2.40669e+00,-2.41605e+00,1.12243e-01,2.59411e+00,5.50000e+01,0.00000e+00,0.00000e+00,2.28777e+00,-5.07604e+00,7.27811e+00,9.35533e-03,1.13951e+03,1.00000e-300
69,11,1.96403e+00,3.00402e+00,2.56859e+00,-2.40496e+00,-2.55769e+00,7.42324e-01,1.96576e+00,1.39000e+02,0.00000e+00,0.00000e+00,2.31939e+00,-4.35922e+00,4.70145e+00,1.52726e-01,1.11485e+03,1.00000e-300
76,10,1.98231e+00,2.97483e+00,2.55589e+00,-2.40431e+00,-2.60077e+00,9.07041e-01,1.80170e+00,3.06000e+02,0.00000e+00,0.00000e+00,2.32755e+00,-4.18249e+00,4.64175e+00,1.96463e-01,1.10895e+03,1.00000e-300
109,4,2.12313e+00,2.76781e+00,2.47907e+00,-2.40158e+00,-2.87919e+00,1.95445e+00,7.57012e-01,2.19000e+02,0.00000e+00,0.00000e+00,2.37868e+00,-3.14726e+00,4.41373e+00,4.77611e-01,1.07410e+03,1.00000e-300
42,14,1.91458e+00,3.08701e+00,2.60722e+00,-2.40138e+00,-2.43398e+00,2.70463e-01,2.44120e+00,1.70000e+02,0.00000e+00,0.00000e+00,2.29579e+00,-4.88941e+00,5.78880e+00,3.26018e-02,1.13364e+03,1.00000e-300
94,7,2.04436e+00,2.88010e+00,2.51779e+00,-2.40113e+00,-2.73511e+00,1.41943e+00,1.29249e+00,3.78000e+02,0.00000e+00,0.00000e+00,2.35271e+00,-3.65773e+00,4.50995e+00,3.33981e-01,1.09168e+03,1.00000e-300
118,2,2.19475e+00,2.67362e+00,2.45296e+00,-2.40053e+00,-2.97771e+00,2.32771e+00,3.84816e-01,4.74000e+02,0.00000e+00,0.00000e+00,2.39668e+00,-2.81123e+00,4.35948e+00,5.77190e-01,1.06218e+03,1.00000e-300
28,15,1.89958e+00,3.11350e+00,2.62032e+00,-2.39841e+00,-2.40876e+00,1.20529e-01,2.59411e+00,1.14000e+02,0.00000e+00,0.00000e+00,2.28819e+00,-5.06605e+00,7.17178e+00,1.03571e-02,1.14034e+03,1.00000e-300
53,13,1.93062e+00,3.06073e+00,2.59485e+00,-2.39527e+00,-2.46755e+00,4.32275e-01,2.28551e+00,1.07000e+02,0.00000e+00,0.00000e+00,2.30394e+00,-4.70303e+00,4.87995e+00,7.22836e-02,1.12796e+03,1.00000e-300
62,12,1.94731e+00,3.03356e+00,2.58236e+00,-2.39103e+00,-2.50527e+00,5.94991e-01,2.12702e+00,2.50000e+02,0.00000e+00,0.00000e+00,2.31209e+00,-4.52007e+00,4.76952e+00,1.14234e-01,1.12221e+03,1.00000e-300
29,15,1.89994e+00,3.11430e+00,2.62098e+00,-2.38983e+00,-2.40125e+00,1.29108e-01,2.59411e+00,5.90000e+01,0.00000e+00,0.00000e+00,2.28864e+00,-5.05571e+00,7.07073e+00,1.14250e-02,1.14119e+03,1.00000e-300
83,9,2.00231e+00,2.94579e+00,2.54420e+00,-2.38886e+00,-2.63444e+00,1.08937e+00,1.63482e+00,1.67000e+02,0.00000e+00,0.00000e+00,2.33660e+00,-3.99024e+00,4.58757e+00,2.45580e-01,1.10447e+03,1.00000e-300
43,14,1.91512e+00,3.08818e+00,2.60818e+00,-2.38860e+00,-2.42425e+00,2.83242e-01,2.44120e+00,8.70000e+01,0.00000e+00,0.00000e+00,2.29645e+00,-4.87418e+00,5.12452e+00,3.56482e-02,1.13489e+03,1.00000e-300
114,3,2.15675e+00,2.72473e+00,2.46698e+00,-2.38630e+00,-2.91795e+00,2.15428e+00,5.72467e-01,4.58000e+02,0.00000e+00,0.00000e+00,2.38844e+00,-2.96322e+00,4.38334e+00,5.31657e-01,1.06946e+03,1.00000e-300
89,8,2.02301e+00,2.91442e+00,2.53161e+00,-2.38590e+00,-2.67797e+00,1.26205e+00,1.46509e+00,1.79000e+02,0.00000e+00,0.00000e+00,2.34509e+00,-3.81340e+00,4.54429e+00,2.92070e-01,1.09887e+03,1.00000e-300
70,11,1.96495e+00,3.00583e+00,2.57009e+00,-2.38387e+00,-2.54252e+00,7.63417e-01,1.96576e+00,2.82000e+02,0.00000e+00,0.00000e+00,2.32050e+00,-4.33494e+00,4.69250e+00,1.58650e-01,1.11682e+03,1.00000e-300
77,10,1.98334e+00,2.97679e+00,2.55751e+00,-2.38100e+00,-2.58415e+00,9.30350e-01,1.80170e+00,1.55000e+02,0.00000e+00,0.00000e+00,2.32878e+00,-4.15597e+00,4.63372e+00,2.03147e-01,1.11110e+03,1.00000e-300
30,15,1.90032e+00,3.11513e+00,2.62166e+00,-2.38096e+00,-2.39352e+00,1.37977e-01,2.59411e+00,1.22000e+02,0.00000e+00,0.00000e+00,2.28909e+00,-5.04502e+00,6.97427e+00,1.25611e-02,1.14208e+03,1.00000e-300
54,13,1.93131e+00,3.06217e+00,2.59604e+00,-2.37915e+00,-2.45568e+00,4.48391e-01,2.28551e+00,2.18000e+02,0.00000e+00,0.00000e+00,2.30478e+00,-4.68404e+00,4.86562e+00,7.65299e-02,1.12952e+03,1.00000e-300
100,6,2.06925e+00,2.84697e+00,2.50646e+00,-2.37805e+00,-2.76621e+00,1.61802e+00,1.11698e+00,4.02000e+02,0.00000e+00,0.00000e+00,2.36252e+00,-3.46123e+00,4.47039e+00,3.88164e-01,1.08790e+03,1.00000e-300
105,5,2.09538e+00,2.80984e+00,2.49364e+00,-2.37654e+00,-2.81317e+00,1.79801e+00,9.38498e-01,2.11000e+02,0.00000e+00,0.00000e+00,2.37128e+00,-3.28959e+00,4.43857e+00,4.36628e-01,1.08217e+03,1.00000e-300
44,14,1.91568e+00,3.08937e+00,2.60917e+00,-2.37553e+00,-2.41434e+00,2.96309e-01,2.44120e+00,1.78000e+02,0.00000e+00,0.00000e+00,2.29712e+00,-4.85861e+00,5.07770e+00,3.88071e-02,1.13618e+03,1.00000e-300
127,0,2.31808e+00,2.53025e+00,2.42788e+00,-2.37419e+00,-3.06148e+00,2.73886e+00,0.00000e+00,2.55000e+02,0.00000e+00,0.00000e+00,2.41666e+00,-2.45437e+00,4.30700e+00,6.87289e-01,1.05188e+03,1.00000e-300
63,12,1.94813e+00,3.03522e+00,2.58373e+00,-2.37215e+00,-2.49156e+00,6.13875e-01,2.12702e+00,1.27000e+02,0.00000e+00,0.00000e+00,2.31308e+00,-4.49808e+00,4.75912e+00,1.19416e-01,1.12401e+03,1.00000e-300
95,7,2.04569e+00,2.88241e+00,2.51973e+00,-2.37197e+00,-2.71469e+00,1.44858e+00,1.29249e+00,1.91000e+02,0.00000e+00,0.00000e+00,2.35429e+00,-3.62571e+00,4.50324e+00,3.42715e-01,1.09428e+03,1.00000e-300
31,15,1.90071e+00,3.11598e+00,2.62236e+00,-2.37180e+00,-2.38557e+00,1.47138e-01,2.59411e+00,6.30000e+01,0.00000e+00,0.00000e+00,2.28956e+00,-5.03397e+00,6.88172e+00,1.37672e-02,1.14300e+03,1.00000e-300
123,1,2.24498e+00,2.61536e+00,2.44147e+00,-2.37109e+00,-3.00812e+00,2.54795e+00,1.94009e-01,2.47000e+02,0.00000e+00,0.00000e+00,2.40752e+00,-2.61546e+00,4.33014e+00,6.37032e-01,1.05850e+03,1.00000e-300
0,16,1.88629e+00,3.14199e+00,2.63558e+00,-2.36884e+00,-2.36884e+00,0.00000e+00,2.74421e+00,2.00000e+00,0.00000e+00,0.00000e+00,2.28205e+00,-5.21122e+00,4.62857e+01,0.00000e+00,1.14991e+03,1.00000e-300
1,16,1.88630e+00,3.14202e+00,2.63560e+00,-2.36855e+00,-2.36855e+00,2.93900e-04,2.74421e+00,3.00000e+00,0.00000e+00,0.00000e+00,2.28206e+00,-5.21086e+00,2.70335e+01,1.93249e-06,1.14994e+03,1.00000e-300
2,16,1.88632e+00,3.14208e+00,2.63564e+00,-2.36796e+00,-2.36797e+00,8.82000e-04,2.74421e+00,1.00000e+01,0.00000e+00,0.00000e+00,2.28210e+00,-5.21014e+00,2.11626e+01,8.80127e-06,1.15000e+03,1.00000e-300
110,4,2.12477e+00,2.77032e+00,2.48124e+00,-2.36734e+00,-2.85551e+00,1.98869e+00,7.57012e-01,4.42000e+02,0.00000e+00,0.00000e+00,2.38058e+00,-3.11099e+00,4.40760e+00,4.88168e-01,1.07708e+03,1.00000e-300
3,16,1.88636e+00,3.14216e+00,2.63571e+00,-2.36708e+00,-2.36710e+00,1.76390e-03,2.74421e+00,7.00000e+00,0.00000e+00,0.00000e+00,2.28214e+00,-5.20906e+00,1.80607e+01,2.37837e-05,1.15009e+03,1.00000e-300
4,16,1.88641e+00,3.14227e+00,2.63581e+00,-2.36590e+00,-2.36595e+00,2.93970e-03,2.74421e+00,1.80000e+01,0.00000e+00,0.00000e+00,2.28220e+00,-5.20763e+00,1.60724e+01,4.98280e-05,1.15021e+03,1.00000e-300
5,16,1.88647e+00,3.14241e+00,2.63592e+00,-2.36443e+00,-2.36452e+00,4.40940e-03,2.74421e+00,1.10000e+01,0.00000e+00,0.00000e+00,2.28228e+00,-5.20584e+00,1.46606e+01,8.97528e-05,1.15036e+03,1.00000e-300
84,9,2.00346e+00,2.94790e+00,2.54596e+00,-2.36334e+00,-2.61638e+00,1.11490e+00,1.63482e+00,3.38000e+02,0.00000e+00,0.00000e+00,2.33796e+00,-3.96153e+00,4.58018e+00,2.53044e-01,1.10680e+03,1.00000e-300
119,2,2.19663e+00,2.67620e+00,2.45523e+00,-2.36312e+00,-2.95202e+00,2.36511e+00,3.84816e-01,2.39000e+02,0.00000e+00,0.00000e+00,2.39879e+00,-2.77258e+00,4.35358e+00,5.88897e-01,1.06539e+03,1.00000e-300
55,13,1.93202e+00,3.06364e+00,2.59725e+00,-2.36275e+00,-2.44363e+00,4.64791e-01,2.28551e+00,1.11000e+02,0.00000e+00,0.00000e+00,2.30564e+00,-4.66472e+00,4.85196e+00,8.08798e-02,1.13111e+03,1.00000e-300
6,16,1.88655e+00,3.14258e+00,2.63606e+00,-2.36267e+00,-2.36281e+00,6.17270e-03,2.74421e+00,2.60000e+01,0.00000e+00,0.00000e+00,2.28237e+00,-5.20369e+00,1.35920e+01,1.46268e-04,1.15055e+03,1.00000e-300
71,11,1.96589e+00,3.00767e+00,2.57161e+00,-2.36250e+00,-2.52718e+00,7.84788e-01,1.96576e+00,1.43000e+02,0.00000e+00,0.00000e+00,2.32163e+00,-4.31033e+00,4.68370e+00,1.64681e-01,1.11883e+03,1.00000e-300
32,15,1.90111e+00,3.11686e+00,2.62309e+00,-2.36235e+00,-2.37739e+00,1.56589e-01,2.59411e+00,1.30000e+02,0.00000e+00,0.00000e+00,2.29005e+00,-5.02258e+00,6.79242e+00,1.50455e-02,1.14395e+03,1.00000e-300
45,14,1.91625e+00,3.09059e+00,2.61017e+00,-2.36218e+00,-2.40427e+00,3.09664e-01,2.44120e+00,9.10000e+01,0.00000e+00,0.00000e+00,2.29782e+00,-4.84269e+00,5.04251e+00,4.20894e-02,1.13750e+03,1.00000e-300
7,16,1.88663e+00,3.14277e+00,2.63622e+00,-2.36061e+00,-2.36083e+00,8.22980e-03,2.74421e+00,1.50000e+01,0.00000e+00,0.00000e+00,2.28247e+00,-5.20118e+00,1.27469e+01,2.21993e-04,1.15076e+03,1.00000e-300
90,8,2.02426e+00,2.91665e+00,2.53348e+00,-2.35843e+00,-2.65865e+00,1.28952e+00,1.46509e+00,3.62000e+02,0.00000e+00,0.00000e+00,2.34657e+00,-3.78286e+00,4.53731e+00,3.00220e-01,1.10136e+03,1.00000e-300
8,16,1.88673e+00,3.14300e+00,2.63641e+00,-2.35826e+00,-2.35858e+00,1.05804e-02,2.74421e+00,3.40000e+01,0.00000e+00,0.00000e+00,2.28259e+00,-5.19831e+00,1.20566e+01,3.19465e-04,1.15100e+03,1.00000e-300
78,10,1.98438e+00,2.97878e+00,2.55917e+00,-2.35742e+00,-2.56736e+00,9.53931e-01,1.80170e+00,3.14000e+02,0.00000e+00,0.00000e+00,2.33004e+00,-4.12913e+00,4.62579e+00,2.09942e-01,1.11329e+03,1.00000e-300
9,16,1.88684e+00,3.14325e+00,2.63662e+00,-2.35561e+00,-2.35606e+00,1.32245e-02,2.74421e+00,1.90000e+01,0.00000e+00,0.00000e+00,2.28273e+00,-5.19509e+00,1.14788e+01,4.41158e-04,1.15127e+03,1.00000e-300
64,12,1.94897e+00,3.03690e+00,2.58512e+00,-2.35298e+00,-2.47769e+00,6.33038e-01,2.12702e+00,2.58000e+02,0.00000e+00,0.00000e+00,2.31409e+00,-4.47575e+00,4.74897e+00,1.24703e-01,1.12584e+03,1.00000e-300
10,16,1.88697e+00,3.14353e+00,2.63685e+00,-2.35268e+00,-2.35327e+00,1.61620e-02,2.74421e+00,4.20000e+01,0.00000e+00,0.00000e+00,2.28288e+00,-5.19151e+00,1.09858e+01,5.89486e-04,1.15157e+03,1.00000e-300
33,15,1.90152e+00,3.11777e+00,2.62384e+00,-2.35261e+00,-2.36901e+00,1.66330e-01,2.59411e+00,6.70000e+01,0.00000e+00,0.00000e+00,2.29055e+00,-5.01084e+00,6.70567e+00,1.63984e-02,1.14493e+03,1.00000e-300
115,3,2.15850e+00,2.72730e+00,2.46921e+00,-2.35035e+00,-2.89320e+00,2.19022e+00,5.72467e-01,2.31000e+02,0.00000e+00,0.00000e+00,2.39046e+00,-2.92562e+00,4.37734e+00,5.42848e-01,1.07257e+03,1.00000e-300
11,16,1.88711e+00,3.14384e+00,2.63710e+00,-2.34945e+00,-2.35021e+00,1.93925e-02,2.74421e+00,2.30000e+01,0.00000e+00,0.00000e+00,2.28305e+00,-5.18757e+00,1.05583e+01,7.66813e-04,1.15190e+03,1.00000e-300
46,14,1.91684e+00,3.09184e+00,2.61121e+00,-2.34854e+00,-2.39403e+00,3.23305e-01,2.44120e+00,1.86000e+02,0.00000e+00,0.00000e+00,2.29853e+00,-4.82643e+00,5.01359e+00,4.54872e-02,1.13885e+03,1.00000e-300
