 ######################################################################################################################################################
 # jqn   : the rotational q.n. of the i'th quantum state
 # vqn   : the vibrational q.n. of the i'th quantum state
 # eint  : internal energy of i'th quantum state [Eh]
 # egam  : Half width of i'th quantum state
 # rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
 # vmin  : the value of the potential minimun (inc. cent. pot.)
 # vmax  : the value of the local potential maximum (inc. cent. pot.)
 # tau   : the vibrational period of the i'th quantum state
 # ri    : inner turning point
 # ro    : outter turning point
 # rmax  : location of maximum in centrifugal barrier
 ######################################################################################################################################################
 #   vqn  jqn      eint           egam           rmin           rmax           vmin           vmax            tau             ri             ro
 ######################################################################################################################################################
     1    0  1.0744122E-02  0.0000000E+00  2.2820503E+00  4.6284577E+01  1.6140915E-06  1.9151028E-01  8.8840677E+02  2.1308881E+00  2.4713859E+00
     1    1  1.0757080E-02  0.0000000E+00  2.2820654E+00  2.7033300E+01  1.4789189E-05  1.9151035E-01  8.8842516E+02  2.1309018E+00  2.4714031E+00
     1    2  1.0782989E-02  0.0000000E+00  2.2820955E+00  2.1162559E+01  4.1138863E-05  1.9151060E-01  8.8846190E+02  2.1309293E+00  2.4714376E+00
     1    3  1.0821854E-02  0.0000000E+00  2.2821407E+00  1.8060669E+01  8.0662069E-05  1.9151115E-01  8.8851703E+02  2.1309705E+00  2.4714893E+00
     1    4  1.0873674E-02  0.0000000E+00  2.2822010E+00  1.6072401E+01  1.3335724E-04  1.9151211E-01  8.8859055E+02  2.1310254E+00  2.4715583E+00
     0   33  1.0935228E-02  0.0000000E+00  2.2905534E+00  6.7056712E+00  7.3655080E-03  1.9211290E-01  8.8386134E+02  2.1987675E+00  2.3951266E+00
     1    5  1.0938440E-02  0.0000000E+00  2.2822764E+00  1.4660629E+01  1.9922229E-04  1.9151357E-01  8.8868245E+02  2.1310941E+00  2.4716444E+00
     1    6  1.1016157E-02  0.0000000E+00  2.2823668E+00  1.3592011E+01  2.7825461E-04  1.9151565E-01  8.8879278E+02  2.1311765E+00  2.4717479E+00
     1    7  1.1106820E-02  0.0000000E+00  2.2824723E+00  1.2746859E+01  3.7045106E-04  1.9151843E-01  8.8892154E+02  2.1312726E+00  2.4718687E+00
     1    8  1.1210420E-02  0.0000000E+00  2.2825929E+00  1.2056607E+01  4.7580799E-04  1.9152201E-01  8.8906872E+02  2.1313825E+00  2.4720066E+00
     1    9  1.1326959E-02  0.0000000E+00  2.2827287E+00  1.1478858E+01  5.9432123E-04  1.9152649E-01  8.8923440E+02  2.1315062E+00  2.4721619E+00
     0   34  1.1377244E-02  0.0000000E+00  2.2910717E+00  6.6207836E+00  7.8100440E-03  1.9216546E-01  8.8448186E+02  2.1992568E+00  2.3956839E+00
     1   10  1.1456426E-02  0.0000000E+00  2.2828796E+00  1.0985789E+01  7.2598608E-04  1.9153194E-01  8.8941853E+02  2.1316437E+00  2.4723344E+00
     1   11  1.1598829E-02  0.0000000E+00  2.2830454E+00  1.0558333E+01  8.7079731E-04  1.9153845E-01  8.8962120E+02  2.1317948E+00  2.4725244E+00
     1   12  1.1754149E-02  0.0000000E+00  2.2832267E+00  1.0182886E+01  1.0287492E-03  1.9154612E-01  8.8984241E+02  2.1319598E+00  2.4727315E+00
     0   35  1.1832054E-02  0.0000000E+00  2.2916060E+00  6.5369894E+00  8.2674444E-03  1.9222095E-01  8.8512168E+02  2.1997607E+00  2.3962582E+00
     1   13  1.1922379E-02  0.0000000E+00  2.2834229E+00  9.8494819E+00  1.1998354E-03  1.9155502E-01  8.9008218E+02  2.1321386E+00  2.4729560E+00
     1   14  1.2103520E-02  0.0000000E+00  2.2836342E+00  9.5506172E+00  1.3840493E-03  1.9156525E-01  8.9034056E+02  2.1323312E+00  2.4731979E+00
     1   15  1.2297564E-02  0.0000000E+00  2.2838607E+00  9.2805413E+00  1.5813834E-03  1.9157687E-01  8.9061759E+02  2.1325376E+00  2.4734571E+00
     0   36  1.2299711E-02  0.0000000E+00  2.2921559E+00  6.4534053E+00  8.7376909E-03  1.9227950E-01  8.8578103E+02  2.2002785E+00  2.3968504E+00
     1   16  1.2504497E-02  0.0000000E+00  2.2841025E+00  9.0347744E+00  1.7918300E-03  1.9158997E-01  8.9091328E+02  2.1327579E+00  2.4737337E+00
     1   17  1.2724317E-02  0.0000000E+00  2.2843595E+00  8.8097749E+00  2.0153807E-03  1.9160463E-01  8.9122771E+02  2.1329919E+00  2.4740277E+00
     0   37  1.2780055E-02  0.0000000E+00  2.2927214E+00  6.3689350E+00  9.2207647E-03  1.9234127E-01  8.8645973E+02  2.2008118E+00  2.3974586E+00
     1   18  1.2957015E-02  0.0000000E+00  2.2846317E+00  8.6027272E+00  2.2520266E-03  1.9162094E-01  8.9156091E+02  2.1332398E+00  2.4743391E+00
     1   19  1.3202574E-02  0.0000000E+00  2.2849190E+00  8.4113723E+00  2.5017584E-03  1.9163896E-01  8.9191291E+02  2.1335016E+00  2.4746679E+00
     0   38  1.3273136E-02  0.0000000E+00  2.2933026E+00  6.2820893E+00  9.7166464E-03  1.9240643E-01  8.8715802E+02  2.2013600E+00  2.3980838E+00
     1   20  1.3460993E-02  0.0000000E+00  2.2852218E+00  8.2338798E+00  2.7645660E-03  1.9165878E-01  8.9228378E+02  2.1337773E+00  2.4750143E+00
     1   21  1.3732253E-02  0.0000000E+00  2.2855396E+00  8.0687572E+00  3.0404391E-03  1.9168048E-01  8.9267355E+02  2.1340668E+00  2.4753780E+00
     0   39  1.3778936E-02  0.0000000E+00  2.2938997E+00  6.1905772E+00  1.0225316E-02  1.9247523E-01  8.8787599E+02  2.2019230E+00  2.3987260E+00
     1   22  1.4016351E-02  0.0000000E+00  2.2858726E+00  7.9147605E+00  3.3293667E-03  1.9170413E-01  8.9308231E+02  2.1343703E+00  2.4757594E+00
     0   40  1.4297434E-02  0.0000000E+00  2.2945126E+00  6.0902644E+00  1.0746754E-02  1.9254801E-01  8.8861377E+02  2.2025008E+00  2.3993854E+00
     1   23  1.4313267E-02  0.0000000E+00  2.2862213E+00  7.7708263E+00  3.6313373E-03  1.9172979E-01  8.9351007E+02  2.1346877E+00  2.4761582E+00
     1   24  1.4622998E-02  0.0000000E+00  2.2865850E+00  7.6360191E+00  3.9463389E-03  1.9175755E-01  8.9395693E+02  2.1350191E+00  2.4765746E+00
     0   41  1.4828608E-02  0.0000000E+00  2.2951414E+00  5.9714370E+00  1.1280938E-02  1.9262531E-01  8.8937144E+02  2.2030935E+00  2.4000619E+00
     1   25  1.4945530E-02  0.0000000E+00  2.2869643E+00  7.5094888E+00  4.2743590E-03  1.9178747E-01  8.9442295E+02  2.1353644E+00  2.4770086E+00
     1   26  1.5280843E-02  0.0000000E+00  2.2873588E+00  7.3904407E+00  4.6153845E-03  1.9181963E-01  8.9490818E+02  2.1357237E+00  2.4774602E+00
     0   42  1.5372438E-02  0.0000000E+00  2.2957860E+00  5.2051529E+00  1.1827848E-02  1.9270948E-01  8.9014914E+02  2.2037011E+00  2.4007557E+00
     1   27  1.5628925E-02  0.0000000E+00  2.2877687E+00  7.2781152E+00  4.9694018E-03  1.9185408E-01  8.9541268E+02  2.1360971E+00  2.4779295E+00
     0   43  1.5928901E-02  0.0000000E+00  2.2964466E+00  5.1245223E+00  1.2387461E-02  1.9282032E-01  8.9094697E+02  2.2043236E+00  2.4014667E+00
     1   28  1.5989767E-02  0.0000000E+00  2.2881941E+00  7.1717820E+00  5.3363969E-03  1.9189089E-01  8.9593655E+02  2.1364845E+00  2.4784165E+00
     1   29  1.6363348E-02  0.0000000E+00  2.2886349E+00  7.0707307E+00  5.7163550E-03  1.9193014E-01  8.9647985E+02  2.1368859E+00  2.4789211E+00
     0   44  1.6497975E-02  0.0000000E+00  2.2971233E+00  5.0777032E+00  1.2959755E-02  1.9293641E-01  8.9176504E+02  2.2049612E+00  2.4021950E+00
     1   30  1.6749660E-02  0.0000000E+00  2.2890912E+00  6.9742690E+00  6.1092611E-03  1.9197189E-01  8.9704266E+02  2.1373014E+00  2.4794436E+00
     0   45  1.7079637E-02  0.0000000E+00  2.2978159E+00  5.0425123E+00  1.3544707E-02  1.9305703E-01  8.9260350E+02  2.2056138E+00  2.4029407E+00
     1   31  1.7148730E-02  0.0000000E+00  2.2895630E+00  6.8817216E+00  6.5150996E-03  1.9201621E-01  8.9762515E+02  2.1377307E+00  2.4799843E+00
     1   32  1.7560414E-02  0.0000000E+00  2.2900504E+00  6.7924145E+00  6.9338541E-03  1.9206319E-01  8.9822715E+02  2.1381747E+00  2.4805421E+00
     0   46  1.7673793E-02  0.0000000E+00  2.2985245E+00  5.0135858E+00  1.4142293E-02  1.9318190E-01  8.9346230E+02  2.2062823E+00  2.4037027E+00
     2    0  1.7758192E-02  0.0000000E+00  2.2820503E+00  4.6284577E+01  1.6140915E-06  1.9151028E-01  9.0333785E+02  2.0927715E+00  2.5354116E+00
     2    1  1.7771010E-02  0.0000000E+00  2.2820654E+00  2.7033300E+01  1.4789189E-05  1.9151035E-01  9.0335684E+02  2.0927849E+00  2.5354298E+00
     2    2  1.7796639E-02  0.0000000E+00  2.2820955E+00  2.1162559E+01  4.1138863E-05  1.9151060E-01  9.0339481E+02  2.0928117E+00  2.5354660E+00
     2    3  1.7835084E-02  0.0000000E+00  2.2821407E+00  1.8060669E+01  8.0662069E-05  1.9151115E-01  9.0345179E+02  2.0928520E+00  2.5355204E+00
     2    4  1.7886274E-02  0.0000000E+00  2.2822010E+00  1.6072401E+01  1.3335724E-04  1.9151211E-01  9.0352762E+02  2.0929060E+00  2.5355923E+00
     2    5  1.7950340E-02  0.0000000E+00  2.2822764E+00  1.4660629E+01  1.9922229E-04  1.9151357E-01  9.0362260E+02  2.0929732E+00  2.5356829E+00
     1   33  1.7984858E-02  0.0000000E+00  2.2905534E+00  6.7056712E+00  7.3655080E-03  1.9211290E-01  8.9884909E+02  2.1386323E+00  2.4811185E+00
     2    6  1.8027147E-02  0.0000000E+00  2.2823668E+00  1.3592011E+01  2.7825461E-04  1.9151565E-01  9.0373647E+02  2.0930541E+00  2.5357911E+00
     2    7  1.8116830E-02  0.0000000E+00  2.2824723E+00  1.2746859E+01  3.7045106E-04  1.9151843E-01  9.0386954E+02  2.0931481E+00  2.5359181E+00
     2    8  1.8219240E-02  0.0000000E+00  2.2825929E+00  1.2056607E+01  4.7580799E-04  1.9152201E-01  9.0402150E+02  2.0932558E+00  2.5360626E+00
     0   47  1.8280560E-02  0.0000000E+00  2.2992494E+00  4.9886604E+00  1.4752490E-02  1.9331085E-01  8.9434189E+02  2.2069650E+00  2.4044832E+00
     2    9  1.8334449E-02  0.0000000E+00  2.2827287E+00  1.1478858E+01  5.9432123E-04  1.9152649E-01  9.0419256E+02  2.0933771E+00  2.5362252E+00
     1   34  1.8421904E-02  0.0000000E+00  2.2910717E+00  6.6207836E+00  7.8100440E-03  1.9216546E-01  8.9949074E+02  2.1391045E+00  2.4817122E+00
     2   10  1.8462446E-02  0.0000000E+00  2.2828796E+00  1.0985789E+01  7.2598608E-04  1.9153194E-01  9.0438271E+02  2.0935118E+00  2.5364061E+00
     2   11  1.8603239E-02  0.0000000E+00  2.2830454E+00  1.0558333E+01  8.7079731E-04  1.9153845E-01  9.0459201E+02  2.0936599E+00  2.5366052E+00
     2   12  1.8756809E-02  0.0000000E+00  2.2832267E+00  1.0182886E+01  1.0287492E-03  1.9154612E-01  9.0482046E+02  2.0938215E+00  2.5368224E+00
     1   35  1.8871604E-02  0.0000000E+00  2.2916060E+00  6.5369894E+00  8.2674444E-03  1.9222095E-01  9.0015236E+02  2.1395908E+00  2.4823241E+00
     0   48  1.8899772E-02  0.0000000E+00  2.2999903E+00  4.9665435E+00  1.5375272E-02  1.9344379E-01  8.9524208E+02  2.2076638E+00  2.4052802E+00
     2   13  1.8923149E-02  0.0000000E+00  2.2834229E+00  9.8494819E+00  1.1998354E-03  1.9155502E-01  9.0506810E+02  2.0939966E+00  2.5370579E+00
     2   14  1.9102260E-02  0.0000000E+00  2.2836342E+00  9.5506172E+00  1.3840493E-03  1.9156525E-01  9.0533497E+02  2.0941852E+00  2.5373116E+00
     2   15  1.9294134E-02  0.0000000E+00  2.2838607E+00  9.2805413E+00  1.5813834E-03  1.9157687E-01  9.0562111E+02  2.0943873E+00  2.5375836E+00
     1   36  1.9333871E-02  0.0000000E+00  2.2921559E+00  6.4534053E+00  8.7376909E-03  1.9227950E-01  9.0083389E+02  2.1400917E+00  2.4829533E+00
     2   16  1.9498687E-02  0.0000000E+00  2.2841025E+00  9.0347744E+00  1.7918300E-03  1.9158997E-01  9.0592640E+02  2.0946033E+00  2.5378732E+00
     0   49  1.9531545E-02  0.0000000E+00  2.3007474E+00  4.9465221E+00  1.6010615E-02  1.9358065E-01  8.9616333E+02  2.2083770E+00  2.4060959E+00
