######################################################################################################################################################
# jqn   : the rotational q.n. of the i'th quantum state
# vqn   : the vibrational q.n. of the i'th quantum state
# eint  : internal energy of i'th quantum state [Eh]
# egam  : Half width of i'th quantum state
# rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
# vmin  : the value of the potential minimun (inc. cent. pot.)
# vmax  : the value of the local potential maximum (inc. cent. pot.)
# tau   : the vibrational period of the i'th quantum state
# ri    : inner turning point
# ro    : outter turning point
# rmax  : location of maximum in centrifugal barrier
######################################################################################################################################################
#    vqn  jqn   eint            egam            rmin          rmax          vmin            vmax            tau           ri             ro
######################################################################################################################################################
     1    0  1.0738940E-02  0.0000000E+00  2.2820490E+00  2.0000000E+02 -2.1001227E-07  1.9151014E-01  8.8863666E+02  2.1309079E+00  2.4713498E+00
     1    1  1.0751889E-02  0.0000000E+00  2.2820498E+00  2.7818720E+01  1.2957871E-05  1.9151020E-01  8.8865503E+02  2.1309217E+00  2.4713670E+00
     1    2  1.0777785E-02  0.0000000E+00  2.2820925E+00  2.1371474E+01  3.9292903E-05  1.9151044E-01  8.8869177E+02  2.1309491E+00  2.4714015E+00
     1    3  1.0816629E-02  0.0000000E+00  2.2821277E+00  1.8150288E+01  7.8794301E-05  1.9151098E-01  8.8874688E+02  2.1309903E+00  2.4714532E+00
     1    4  1.0868419E-02  0.0000000E+00  2.2821957E+00  1.6120612E+01  1.3146029E-04  1.9151193E-01  8.8882037E+02  2.1310452E+00  2.4715221E+00
     0   33  1.0928053E-02  0.0000000E+00  2.2905419E+00  6.7067620E+00  7.3596269E-03  1.9211210E-01  8.8408872E+02  2.1987773E+00  2.3950986E+00
     1    5  1.0933151E-02  0.0000000E+00  2.2822725E+00  1.4690098E+01  1.9728892E-04  1.9151339E-01  8.8891226E+02  2.1311138E+00  2.4716082E+00
     1    6  1.1010825E-02  0.0000000E+00  2.2823550E+00  1.3611934E+01  2.7627758E-04  1.9151546E-01  8.8902255E+02  2.1311962E+00  2.4717116E+00
     1    7  1.1101436E-02  0.0000000E+00  2.2824834E+00  1.2761178E+01  3.6842309E-04  1.9151824E-01  8.8915126E+02  2.1312923E+00  2.4718323E+00
     1    8  1.1204981E-02  0.0000000E+00  2.2825991E+00  1.2067349E+01  4.7372175E-04  1.9152181E-01  8.8929841E+02  2.1314021E+00  2.4719702E+00
     1    9  1.1321456E-02  0.0000000E+00  2.2827212E+00  1.1487289E+01  5.9216947E-04  1.9152627E-01  8.8946402E+02  2.1315257E+00  2.4721254E+00
     0   34  1.1369854E-02  0.0000000E+00  2.2910631E+00  6.6218820E+00  7.8039190E-03  1.9216461E-01  8.8470910E+02  2.1992660E+00  2.3956560E+00
     1   10  1.1450856E-02  0.0000000E+00  2.2828689E+00  1.0992549E+01  7.2376157E-04  1.9153171E-01  8.8964811E+02  2.1316631E+00  2.4722978E+00
     1   11  1.1593176E-02  0.0000000E+00  2.2830381E+00  1.0563986E+01  8.6849277E-04  1.9153822E-01  8.8985071E+02  2.1318142E+00  2.4724876E+00
