id,v,Longitude,Latitude,rIn,EeVVib,EeVRot
197,1,-5.600000e+01,-8.691543e+01,1.957431e+00,2.888725e-01,7.732735e-01
198,3,-2.900000e+01,-8.689301e+01,1.882958e+00,8.559607e-01,2.084278e-01
199,2,-4.500000e+01,-8.680860e+01,1.916330e+00,5.741937e-01,4.986355e-01
200,0,-6.600000e+01,-8.676750e+01,2.018914e+00,0.000000e+00,1.076939e+00
201,3,-3.000000e+01,-8.674966e+01,1.883280e+00,8.559607e-01,2.227625e-01
202,1,-5.700000e+01,-8.664193e+01,1.958071e+00,2.888725e-01,8.006231e-01
203,3,-3.100000e+01,-8.660159e+01,1.883613e+00,8.559607e-01,2.375693e-01
204,2,-4.600000e+01,-8.658840e+01,1.916834e+00,5.741937e-01,5.206555e-01
205,3,-3.200000e+01,-8.644880e+01,1.883957e+00,8.559607e-01,2.528479e-01
206,0,-6.700000e+01,-8.644547e+01,2.019695e+00,0.000000e+00,1.109142e+00
207,1,-5.800000e+01,-8.636383e+01,1.958723e+00,2.888725e-01,8.284334e-01
208,2,-4.700000e+01,-8.636354e+01,1.917350e+00,5.741937e-01,5.431416e-01
209,3,-3.300000e+01,-8.629130e+01,1.884311e+00,8.559607e-01,2.685982e-01
210,4,-0.000000e+00,-8.619516e+01,1.856118e+00,1.134173e+00,0.000000e+00
211,4,-1.000000e+00,-8.619040e+01,1.856129e+00,1.134173e+00,4.759000e-04
212,4,-2.000000e+00,-8.618088e+01,1.856150e+00,1.134173e+00,1.428000e-03
213,4,-3.000000e+00,-8.616660e+01,1.856181e+00,1.134173e+00,2.856100e-03
214,4,-4.000000e+00,-8.614756e+01,1.856224e+00,1.134173e+00,4.760100e-03
215,2,-4.800000e+01,-8.613402e+01,1.917876e+00,5.741937e-01,5.660933e-01
216,3,-3.400000e+01,-8.612909e+01,1.884677e+00,8.559607e-01,2.848191e-01
217,4,-5.000000e+00,-8.612376e+01,1.856277e+00,1.134173e+00,7.139700e-03
218,0,-6.800000e+01,-8.611889e+01,2.020489e+00,0.000000e+00,1.141800e+00
219,4,-6.000000e+00,-8.609521e+01,1.856340e+00,1.134173e+00,9.995300e-03
220,1,-5.900000e+01,-8.608113e+01,1.959387e+00,2.888725e-01,8.567039e-01
221,4,-7.000000e+00,-8.606189e+01,1.856414e+00,1.134173e+00,1.332680e-02
222,4,-8.000000e+00,-8.602382e+01,1.856499e+00,1.134173e+00,1.713340e-02
223,4,-9.000000e+00,-8.598100e+01,1.856594e+00,1.134173e+00,2.141560e-02
224,3,-3.500000e+01,-8.596218e+01,1.885053e+00,8.559607e-01,3.015101e-01
225,4,-1.000000e+01,-8.593343e+01,1.856700e+00,1.134173e+00,2.617330e-02
226,2,-4.900000e+01,-8.589986e+01,1.918414e+00,5.741937e-01,5.895098e-01
227,4,-1.100000e+01,-8.588110e+01,1.856816e+00,1.134173e+00,3.140570e-02
228,4,-1.200000e+01,-8.582403e+01,1.856943e+00,1.134173e+00,3.711330e-02
229,1,-6.000000e+01,-8.579383e+01,1.960062e+00,2.888725e-01,8.854334e-01
230,3,-3.600000e+01,-8.579057e+01,1.885441e+00,8.559607e-01,3.186709e-01
231,0,-6.900000e+01,-8.578778e+01,2.021295e+00,0.000000e+00,1.174911e+00
232,4,-1.300000e+01,-8.576220e+01,1.857081e+00,1.134173e+00,4.329550e-02
