id,bin
1,17
2,18
3,17
4,18
5,17
6,18
7,17
8,18
9,17
10,18
11,17
12,18
13,17
14,18
15,17
16,18
17,17
18,18
19,17
20,18
21,17
22,18
23,17
24,18
25,17
26,18
27,17
28,18
29,17
30,18
31,17
32,18
33,17
34,18
35,20
36,14
37,20
38,14
39,17
40,20
41,14
42,20
43,14
44,20
45,18
46,14
47,20
48,14
49,20
50,17
51,14
52,20
53,18
54,14
55,20
56,14
57,17
58,20
59,14
60,18
61,20
62,14
63,17
64,20
65,18
66,14
67,20
68,17
69,14
70,20
71,18
72,14
73,17
74,20
75,14
76,18
77,20
78,17
79,14
80,20
81,18
82,14
83,5
84,14
85,5
86,17
87,14
88,20
89,5
90,14
91,5
92,14
93,5
94,14
95,14
96,18
97,5
98,14
99,5
100,20
101,14
102,17
103,5
104,14
105,14
106,5
107,14
108,18
109,20
110,5
111,14
112,14
113,17
114,5
115,14
116,20
117,5
118,18
119,14
120,14
121,5
122,17
123,20
124,14
125,5
126,14
127,18
128,14
129,20
130,5
131,17
132,14
133,14
134,5
135,18
136,14
137,20
138,5
139,17
140,14
141,14
142,16
143,2
144,16
145,2
146,20
147,16
148,5
149,2
150,18
151,16
152,2
153,16
154,2
155,14
156,16
157,14
158,2
159,17
160,16
161,5
162,2
163,16
164,20
165,14
166,2
167,16
168,18
169,2
170,5
171,14
172,16
173,2
174,14
175,17
176,16
177,20
178,2
179,5
180,16
181,14
182,18
183,2
184,14
185,16
186,20
187,5
188,2
189,17
190,16
191,14
192,14
193,2
194,18
195,16
196,5
197,20
198,2
199,14
200,17
201,16
202,14
203,2
204,5
205,16
206,18
207,20
208,14
209,2
210,16
211,2
212,16
213,2
214,16
215,5
216,16
217,2
218,17
219,16
220,14
221,2
222,16
223,2
224,2
225,16
226,14
227,2
228,16
229,20
230,16
231,18
232,2
233,16
234,5
235,2
236,2
237,16
238,14
239,2
240,17
241,16
242,14
243,16
244,2
245,2
246,20
247,16
248,5
249,18
250,2
251,16
252,16
253,14
254,14
255,2
256,2
257,16
258,17
259,16
260,5
261,2
262,20
263,16
264,2
265,18
266,2
267,14
268,14
269,16
270,16
271,5
272,2
273,17
274,2
275,16
276,20
277,14
278,2
279,16
280,18
281,16
282,14
283,2
284,5
285,2
286,16
287,11
288,16
289,11
290,16
291,11
292,16
293,16
294,16
295,17
296,20
297,11
298,14
299,16
300,11
301,2
302,16
303,11
304,2
305,16
306,16
307,5
308,11
309,14
310,18
311,16
312,16
313,11
314,2
315,16
316,14
317,11
318,16
319,20
320,2
321,16
322,17
323,11
324,2
325,16
326,5
327,16
328,11
329,14
330,16
331,16
332,18
333,2
334,11
335,14
336,2
337,16
338,20
339,16
340,11
341,16
342,17
343,5
344,16
345,2
346,11
347,2
348,14
349,16
350,14
351,16
352,18
353,11
354,16
355,2
356,20
357,16
358,5
359,11
360,2
361,16
362,17
363,16
364,14
365,14
366,2
367,16
368,11
369,19
370,11
371,19
372,11
373,19
374,18
375,11
376,16
377,19
378,16
379,11
380,20
381,5
382,19
383,2
384,11
385,11
386,19
387,11
388,2
389,19
390,16
391,11
392,17
393,16
394,14
395,19
396,14
397,11
398,16
399,11
400,19
401,11
402,2
403,16
404,19
405,2
406,5
407,18
408,11
409,20
410,11
411,19
412,16
413,16
414,11
415,16
416,14
417,19
418,14
419,17
420,11
421,2
422,11
423,2
424,19
425,5
426,11
427,16
428,16
429,16
430,19
431,5
432,18
433,11
434,11
435,2
436,14
437,19
438,16
439,2
440,14
441,11
442,16
443,17
444,11
445,19
446,5
447,16
448,11
449,2
450,16
451,5
452,19
453,18
454,14
455,2
456,11
457,16
458,11
459,19
460,11
461,19
462,11
463,19
464,11
465,19
466,19
467,14
468,16
469,11
470,19
471,16
472,2
473,5
474,11
475,17
476,19
477,11
478,11
479,11
480,19
481,11
482,19
483,16
484,19
485,5
486,2
487,11
488,14
489,16
490,11
491,19
492,18
493,11
494,2
495,19
496,19
497,11
498,16
499,11
500,14
501,5
502,11
503,19
504,16
505,16
506,11
507,17
508,19
509,19
510,2
511,11
512,14
513,11
514,5
515,11
516,2
517,19
518,11
519,16
520,19
521,18
522,16
523,19
524,16
525,5
526,14
527,11
528,11
529,11
530,2
531,19
532,19
533,2
534,17
535,11
536,14
537,16
538,11
539,5
540,19
541,16
542,16
543,11
544,11
545,19
546,5
547,18
548,19
549,2
550,14
551,11
552,2
553,11
554,16
555,19
556,13
557,19
558,13
559,19
560,13
561,19
562,19
563,13
564,19
565,19
566,14
567,13
568,11
569,16
570,17
571,19
572,16
573,11
574,13
575,5
576,19
577,11
578,13
579,19
580,19
581,16
582,13
583,2
584,5
585,19
586,11
587,2
588,19
589,1
590,13
591,14
592,19
593,19
594,11
595,11
596,13
597,16
598,11
599,19
600,14
601,16
602,13
603,19
604,16
605,19
606,5
607,19
608,5
609,2
610,13
611,11
612,11
613,2
614,5
615,11
616,19
617,13
618,19
619,16
620,19
621,19
622,14
623,1
624,16
625,16
626,11
627,13
628,14
629,11
630,19
631,2
632,19
633,11
634,13
635,5
636,19
637,5
638,2
639,11
640,19
641,5
642,16
643,16
644,13
645,19
646,11
647,19
648,16
649,14
650,11
651,1
652,2
653,13
654,11
655,14
656,19
657,19
658,13
659,19
660,13
661,19
662,13
663,19
664,19
665,13
666,19
667,19
668,13
669,2
670,19
671,11
672,13
673,16
674,13
675,16
676,5
677,19
678,11
679,5
680,13
681,5
682,19
683,19
684,19
685,13
686,11
687,13
688,19
689,19
690,16
691,2
692,13
693,14
694,19
695,19
696,11
697,14
698,11
699,13
700,1
701,16
702,19
703,13
704,16
705,2
706,13
707,19
708,19
709,19
710,19
711,5
712,11
713,5
714,13
715,11
716,13
717,19
718,5
719,2
720,11
721,16
722,13
723,19
724,19
725,16
726,19
727,14
728,19
729,14
730,13
731,13
732,16
733,2
734,11
735,19
736,1
737,11
738,19
739,13
740,11
741,19
742,5
743,19
744,13
745,2
746,5
747,16
748,5
749,13
750,19
751,19
752,11
753,5
754,19
755,16
756,13
757,1
758,13
759,15
760,13
761,11
762,11
763,15
764,19
765,13
766,14
767,15
768,2
769,13
770,15
771,19
772,13
773,15
774,19
775,13
776,15
777,1
778,13
779,11
780,13
781,2
782,19
783,15
784,5
785,13
786,5
787,13
788,19
789,5
790,15
791,5
792,13
793,19
794,13
795,15
796,19
797,11
798,16
799,13
800,11
801,15
802,5
803,19
804,11
805,1
806,13
807,13
808,1
809,15
810,19
811,13
812,14
813,13
814,5
815,2
816,19
817,19
818,19
819,15
820,13
821,11
822,1
823,5
824,5
825,13
826,13
827,15
828,11
829,11
830,13
831,5
832,16
833,19
834,19
835,15
836,19
837,19
838,13
839,13
840,1
841,1
842,5
843,5
844,13
845,15
846,1
847,19
848,11
849,1
850,13
851,11
852,19
853,15
854,13
855,11
856,5
857,5
858,13
859,19
860,16
861,19
862,1
863,19
864,13
865,15
866,5
867,13
868,13
869,5
870,15
871,13
872,15
873,13
874,15
875,11
876,1
877,19
878,11
879,13
880,15
881,13
882,1
883,15
884,1
885,15
886,19
887,13
888,15
889,5
890,13
891,13
892,13
893,15
894,19
895,11
896,1
897,13
898,19
899,13
900,15
901,15
902,5
903,13
904,5
905,19
906,5
907,15
908,13
909,19
910,11
911,13
912,5
913,11
914,15
915,15
916,1
917,13
918,13
919,13
920,5
921,1
922,15
923,1
924,13
925,19
926,13
927,1
928,19
929,19
930,15
931,11
932,15
933,19
934,13
935,11
936,5
937,13
938,15
939,13
940,5
941,1
942,5
943,13
944,13
945,11
946,15
947,5
948,5
949,15
950,19
951,19
952,13
953,13
954,19
955,1
956,15
957,19
958,13
959,1
960,1
961,5
962,15
963,11
964,13
965,11
966,13
967,1
968,15
969,19
970,13
971,11
972,13
973,5
974,5
975,19
976,19
977,15
978,5
979,13
980,15
981,5
982,1
983,13
984,15
985,5
986,13
987,12
988,15
989,12
990,15
991,19
992,12
993,19
994,13
995,15
996,11
997,12
998,1
999,15
1000,15
1001,12
1002,1
1003,15
1004,1
1005,15
1006,12
1007,13
1008,15
1009,13
1010,5
1011,19
1012,1
1013,12
1014,11
1015,13
1016,15
1017,19
1018,15
1019,1
1020,12
1021,5
1022,15
1023,5
1024,19
1025,13
1026,15
1027,12
1028,5
1029,13
1030,15
1031,15
1032,11
1033,19
1034,12
1035,13
1036,13
1037,1
1038,15
1039,5
